none,[]
0,"[0.07784431137724551, 0.082, 0.118, 0.108, 0.13, 0.118, 0.098, 0.102, 0.106, 0.076, 0.09, 0.106, 0.11, 0.098, 0.098, 0.082, 0.106, 0.078, 0.08, 0.09619238476953908]"
1,"[0.07784431137724551, 0.116, 0.094, 0.12, 0.09, 0.102, 0.098, 0.112, 0.112, 0.098, 0.084, 0.142, 0.11, 0.098, 0.092, 0.116, 0.106, 0.074, 0.11, 0.14228456913827656]"
2,"[0.10778443113772455, 0.116, 0.094, 0.1, 0.08, 0.094, 0.1, 0.112, 0.112, 0.098, 0.084, 0.106, 0.11, 0.098, 0.098, 0.116, 0.134, 0.08, 0.08, 0.12224448897795591]"
3,"[0.07784431137724551, 0.116, 0.094, 0.1, 0.08, 0.102, 0.098, 0.112, 0.07, 0.076, 0.084, 0.106, 0.11, 0.14, 0.104, 0.084, 0.106, 0.092, 0.106, 0.10420841683366733]"
4,"[0.1157684630738523, 0.144, 0.118, 0.1, 0.08, 0.094, 0.1, 0.112, 0.076, 0.11, 0.084, 0.106, 0.162, 0.092, 0.098, 0.144, 0.134, 0.092, 0.08, 0.12224448897795591]"
5,"[0.09780439121756487, 0.116, 0.094, 0.1, 0.08, 0.102, 0.098, 0.112, 0.07, 0.19, 0.084, 0.106, 0.11, 0.108, 0.092, 0.158, 0.156, 0.092, 0.082, 0.10420841683366733]"
6,"[0.1157684630738523, 0.102, 0.118, 0.1, 0.08, 0.114, 0.078, 0.112, 0.092, 0.098, 0.084, 0.106, 0.156, 0.096, 0.164, 0.166, 0.134, 0.092, 0.08, 0.12224448897795591]"
7,"[0.1157684630738523, 0.116, 0.144, 0.1, 0.08, 0.102, 0.098, 0.112, 0.07, 0.11, 0.084, 0.106, 0.11, 0.122, 0.092, 0.188, 0.128, 0.092, 0.092, 0.10420841683366733]"
8,"[0.1157684630738523, 0.098, 0.118, 0.1, 0.08, 0.134, 0.12, 0.112, 0.074, 0.166, 0.084, 0.106, 0.156, 0.096, 0.106, 0.116, 0.134, 0.092, 0.08, 0.12224448897795591]"
9,"[0.1157684630738523, 0.116, 0.13, 0.1, 0.124, 0.102, 0.156, 0.112, 0.07, 0.098, 0.084, 0.116, 0.11, 0.126, 0.094, 0.16, 0.152, 0.092, 0.168, 0.10420841683366733]"
10,"[0.1157684630738523, 0.098, 0.118, 0.1, 0.08, 0.15, 0.168, 0.112, 0.078, 0.118, 0.084, 0.106, 0.184, 0.096, 0.104, 0.116, 0.134, 0.092, 0.08, 0.12224448897795591]"
11,"[0.16367265469061876, 0.116, 0.104, 0.1, 0.164, 0.102, 0.166, 0.112, 0.07, 0.098, 0.128, 0.182, 0.11, 0.128, 0.134, 0.184, 0.14, 0.092, 0.13, 0.10420841683366733]"
