eigenvector_centrality,"[8, 6]"
0,"[0.088, 0.107, 0.106, 0.125, 0.094, 0.105, 0.113, 0.113, 0.1, 0.102]"
1,"[0.088, 0.177, 0.106, 0.117, 0.094, 0.102, 0.102, 0.113, 0.1, 0.103]"
2,"[0.087, 0.085, 0.106, 0.117, 0.094, 0.102, 0.092, 0.111, 0.1, 0.103]"
3,"[0.088, 0.085, 0.131, 0.137, 0.094, 0.102, 0.137, 0.113, 0.1, 0.103]"
4,"[0.095, 0.085, 0.106, 0.117, 0.094, 0.102, 0.092, 0.125, 0.099, 0.103]"
5,"[0.088, 0.085, 0.105, 0.12, 0.094, 0.092, 0.102, 0.113, 0.1, 0.103]"
6,"[0.103, 0.086, 0.172, 0.135, 0.106, 0.107, 0.148, 0.102, 0.097, 0.118]"
7,"[0.16, 0.137, 0.104, 0.101, 0.094, 0.092, 0.102, 0.16, 0.178, 0.172]"
8,"[0.117, 0.266, 0.212, 0.208, 0.206, 0.199, 0.192, 0.106, 0.127, 0.148]"
9,"[0.263, 0.255, 0.104, 0.102, 0.094, 0.095, 0.102, 0.232, 0.261, 0.33]"
10,"[0.183, 0.336, 0.233, 0.238, 0.242, 0.261, 0.285, 0.147, 0.225, 0.234]"
11,"[0.264, 0.356, 0.171, 0.168, 0.163, 0.164, 0.181, 0.276, 0.327, 0.342]"
12,"[0.266, 0.325, 0.263, 0.279, 0.248, 0.261, 0.288, 0.261, 0.31, 0.45]"
13,"[0.302, 0.371, 0.196, 0.185, 0.22, 0.201, 0.235, 0.329, 0.391, 0.344]"
14,"[0.29, 0.378, 0.315, 0.32, 0.279, 0.294, 0.31, 0.305, 0.343, 0.513]"
15,"[0.367, 0.422, 0.243, 0.231, 0.271, 0.235, 0.276, 0.42, 0.443, 0.386]"
16,"[0.329, 0.413, 0.363, 0.374, 0.334, 0.358, 0.355, 0.337, 0.397, 0.406]"
17,"[0.371, 0.465, 0.267, 0.251, 0.296, 0.272, 0.328, 0.413, 0.437, 0.383]"
18,"[0.448, 0.405, 0.357, 0.369, 0.34, 0.375, 0.369, 0.418, 0.446, 0.397]"
