none,[]
0,"[0.11182108626198083, 0.10862619808306709, 0.054313099041533544, 0.134185303514377, 0.09584664536741214, 0.1182108626198083, 0.09904153354632587, 0.10862619808306709, 0.07667731629392971, 0.0670926517571885, 0.0926517571884984, 0.10543130990415335, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.10223642172523961, 0.11858974358974358, 0.09935897435897435, 0.10576923076923077, 0.08653846153846154, 0.11858974358974358, 0.10897435897435898, 0.09615384615384616, 0.10256410256410256, 0.08333333333333333, 0.09935897435897435, 0.09294871794871795, 0.11858974358974358, 0.1282051282051282, 0.07051282051282051, 0.12179487179487179, 0.09935897435897435]"
1,"[0.0926517571884984, 0.10543130990415335, 0.11501597444089456, 0.08626198083067092, 0.09904153354632587, 0.09904153354632587, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.12140575079872204, 0.08945686900958466, 0.07667731629392971, 0.08945686900958466, 0.10223642172523961, 0.10223642172523961, 0.07028753993610223, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.09615384615384616, 0.10576923076923077, 0.09294871794871795, 0.10897435897435898, 0.0673076923076923, 0.07371794871794872, 0.08333333333333333, 0.11858974358974358, 0.1282051282051282, 0.10897435897435898, 0.10256410256410256, 0.11858974358974358]"
2,"[0.11182108626198083, 0.10543130990415335, 0.11501597444089456, 0.08945686900958466, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.10862619808306709, 0.08945686900958466, 0.0670926517571885, 0.0926517571884984, 0.10543130990415335, 0.08945686900958466, 0.10223642172523961, 0.10862619808306709, 0.06070287539936102, 0.125, 0.09935897435897435, 0.10576923076923077, 0.08653846153846154, 0.11858974358974358, 0.09294871794871795, 0.09615384615384616, 0.10897435897435898, 0.09935897435897435, 0.12179487179487179, 0.08333333333333333, 0.11858974358974358, 0.1282051282051282, 0.07051282051282051, 0.10256410256410256, 0.09935897435897435]"
3,"[0.11182108626198083, 0.10543130990415335, 0.11501597444089456, 0.08626198083067092, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.054313099041533544, 0.0926517571884984, 0.07667731629392971, 0.08945686900958466, 0.10223642172523961, 0.10862619808306709, 0.07028753993610223, 0.1346153846153846, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.08974358974358974, 0.11538461538461539, 0.10897435897435898, 0.0673076923076923, 0.09294871794871795, 0.08333333333333333, 0.11858974358974358, 0.1282051282051282, 0.10897435897435898, 0.10256410256410256, 0.09935897435897435]"
4,"[0.11182108626198083, 0.10543130990415335, 0.11501597444089456, 0.08945686900958466, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.10862619808306709, 0.08945686900958466, 0.0670926517571885, 0.0926517571884984, 0.07348242811501597, 0.08945686900958466, 0.10223642172523961, 0.10862619808306709, 0.10862619808306709, 0.028846153846153848, 0.09935897435897435, 0.10576923076923077, 0.08653846153846154, 0.11858974358974358, 0.09294871794871795, 0.09615384615384616, 0.1346153846153846, 0.10897435897435898, 0.12179487179487179, 0.08333333333333333, 0.11858974358974358, 0.1282051282051282, 0.10256410256410256, 0.10256410256410256, 0.09935897435897435]"
5,"[0.11182108626198083, 0.10543130990415335, 0.09904153354632587, 0.012779552715654952, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.0670926517571885, 0.051118210862619806, 0.11501597444089456, 0.08945686900958466, 0.10223642172523961, 0.10862619808306709, 0.07028753993610223, 0.1346153846153846, 0.07692307692307693, 0.060897435897435896, 0.08653846153846154, 0.10576923076923077, 0.08974358974358974, 0.09615384615384616, 0.10897435897435898, 0.03205128205128205, 0.09294871794871795, 0.08333333333333333, 0.11858974358974358, 0.1282051282051282, 0.10897435897435898, 0.10256410256410256, 0.03205128205128205]"
6,"[0.11182108626198083, 0.10543130990415335, 0.09904153354632587, 0.08945686900958466, 0.003194888178913738, 0.08306709265175719, 0.09904153354632587, 0.07348242811501597, 0.03194888178913738, 0.0670926517571885, 0.0926517571884984, 0.03514376996805112, 0.08945686900958466, 0.006389776357827476, 0.10862619808306709, 0.10862619808306709, 0.08653846153846154, 0.09935897435897435, 0.08974358974358974, 0.07051282051282051, 0.11858974358974358, 0.041666666666666664, 0.060897435897435896, 0.1346153846153846, 0.10897435897435898, 0.12179487179487179, 0.016025641025641024, 0.07692307692307693, 0.08653846153846154, 0.10256410256410256, 0.08974358974358974, 0.09935897435897435]"
7,"[0.05750798722044728, 0.10543130990415335, 0.09904153354632587, 0.08945686900958466, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.054313099041533544, 0.006389776357827476, 0.11501597444089456, 0.003194888178913738, 0.10223642172523961, 0.10862619808306709, 0.022364217252396165, 0.0, 0.03205128205128205, 0.08653846153846154, 0.041666666666666664, 0.11858974358974358, 0.08974358974358974, 0.09615384615384616, 0.022435897435897436, 0.0673076923076923, 0.09294871794871795, 0.009615384615384616, 0.02564102564102564, 0.1282051282051282, 0.08012820512820513, 0.028846153846153848, 0.08012820512820513]"
8,"[0.11182108626198083, 0.09904153354632587, 0.09904153354632587, 0.08945686900958466, 0.006389776357827476, 0.003194888178913738, 0.09904153354632587, 0.11182108626198083, 0.09584664536741214, 0.0670926517571885, 0.0926517571884984, 0.003194888178913738, 0.08945686900958466, 0.07667731629392971, 0.003194888178913738, 0.10862619808306709, 0.1346153846153846, 0.03205128205128205, 0.10576923076923077, 0.028846153846153848, 0.03205128205128205, 0.016025641025641024, 0.11538461538461539, 0.041666666666666664, 0.10897435897435898, 0.022435897435897436, 0.07051282051282051, 0.019230769230769232, 0.019230769230769232, 0.10256410256410256, 0.10256410256410256, 0.10576923076923077]"
9,"[0.11182108626198083, 0.0, 0.09904153354632587, 0.08945686900958466, 0.0, 0.07348242811501597, 0.09904153354632587, 0.003194888178913738, 0.08945686900958466, 0.02875399361022364, 0.006389776357827476, 0.054313099041533544, 0.08945686900958466, 0.054313099041533544, 0.10862619808306709, 0.003194888178913738, 0.019230769230769232, 0.07692307692307693, 0.03205128205128205, 0.03205128205128205, 0.019230769230769232, 0.07371794871794872, 0.09615384615384616, 0.1346153846153846, 0.038461538461538464, 0.09935897435897435, 0.08333333333333333, 0.11538461538461539, 0.0, 0.08012820512820513, 0.08974358974358974, 0.0]"
