none,[]
0,"[0.0926517571884984, 0.10862619808306709, 0.14057507987220447, 0.10862619808306709, 0.09904153354632587, 0.08306709265175719, 0.07667731629392971, 0.08306709265175719, 0.08945686900958466, 0.0670926517571885, 0.13099041533546327, 0.13099041533546327, 0.11501597444089456, 0.10543130990415335, 0.1182108626198083, 0.12140575079872204, 0.125, 0.09294871794871795, 0.08653846153846154, 0.10897435897435898, 0.2403846153846154, 0.09935897435897435, 0.09615384615384616, 0.09615384615384616, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.12179487179487179, 0.09615384615384616, 0.12179487179487179, 0.08653846153846154, 0.09935897435897435]"
1,"[0.08626198083067092, 0.10543130990415335, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.11501597444089456, 0.11182108626198083, 0.0926517571884984, 0.10862619808306709, 0.10223642172523961, 0.10223642172523961, 0.09904153354632587, 0.15654952076677317, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08333333333333333, 0.10897435897435898, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.125, 0.08333333333333333, 0.12179487179487179, 0.1282051282051282, 0.09615384615384616, 0.10256410256410256, 0.125]"
2,"[0.0926517571884984, 0.10862619808306709, 0.14057507987220447, 0.10862619808306709, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08306709265175719, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.1182108626198083, 0.12140575079872204, 0.125, 0.09935897435897435, 0.10576923076923077, 0.08653846153846154, 0.11858974358974358, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.09615384615384616, 0.09615384615384616, 0.09935897435897435, 0.10256410256410256, 0.11858974358974358]"
3,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.12779552715654952, 0.11501597444089456, 0.08945686900958466, 0.13099041533546327, 0.07348242811501597, 0.13738019169329074, 0.10223642172523961, 0.09904153354632587, 0.14696485623003194, 0.125, 0.07692307692307693, 0.10576923076923077, 0.08012820512820513, 0.10897435897435898, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.035256410256410256, 0.08012820512820513, 0.08653846153846154, 0.09615384615384616, 0.10897435897435898, 0.09935897435897435, 0.11858974358974358]"
4,"[0.0926517571884984, 0.10862619808306709, 0.09904153354632587, 0.08626198083067092, 0.07667731629392971, 0.09584664536741214, 0.09904153354632587, 0.08306709265175719, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.09904153354632587, 0.12460063897763578, 0.125, 0.03205128205128205, 0.10576923076923077, 0.08653846153846154, 0.10897435897435898, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.12179487179487179, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.07371794871794872, 0.11538461538461539, 0.11858974358974358]"
5,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.10543130990415335, 0.07987220447284345, 0.09584664536741214, 0.09904153354632587, 0.09904153354632587, 0.11501597444089456, 0.08945686900958466, 0.13099041533546327, 0.07028753993610223, 0.13738019169329074, 0.10862619808306709, 0.09904153354632587, 0.16293929712460065, 0.08653846153846154, 0.07692307692307693, 0.10576923076923077, 0.09294871794871795, 0.10897435897435898, 0.08012820512820513, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.07371794871794872, 0.07692307692307693, 0.11538461538461539, 0.09615384615384616, 0.10897435897435898, 0.11858974358974358, 0.11858974358974358]"
6,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.08945686900958466, 0.09904153354632587, 0.07028753993610223, 0.11501597444089456, 0.09904153354632587, 0.1182108626198083, 0.12140575079872204, 0.13738019169329074, 0.10223642172523961, 0.09904153354632587, 0.10862619808306709, 0.12179487179487179, 0.05128205128205128, 0.0641025641025641, 0.10897435897435898, 0.10897435897435898, 0.10576923076923077, 0.09615384615384616, 0.08333333333333333, 0.08974358974358974, 0.0673076923076923, 0.0673076923076923, 0.10576923076923077, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.11858974358974358]"
7,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.09584664536741214, 0.09904153354632587, 0.03194888178913738, 0.11501597444089456, 0.08945686900958466, 0.0670926517571885, 0.11182108626198083, 0.13738019169329074, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.07692307692307693, 0.07692307692307693, 0.07371794871794872, 0.10897435897435898, 0.10897435897435898, 0.10576923076923077, 0.08974358974358974, 0.10576923076923077, 0.10576923076923077, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.10897435897435898, 0.12179487179487179, 0.11858974358974358]"
8,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.0926517571884984, 0.11501597444089456, 0.09904153354632587, 0.13738019169329074, 0.12140575079872204, 0.13738019169329074, 0.11182108626198083, 0.09904153354632587, 0.10862619808306709, 0.07692307692307693, 0.0641025641025641, 0.10256410256410256, 0.11217948717948718, 0.10576923076923077, 0.10576923076923077, 0.09615384615384616, 0.1346153846153846, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.11858974358974358]"
9,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.11182108626198083, 0.11501597444089456, 0.08945686900958466, 0.0926517571884984, 0.11501597444089456, 0.13738019169329074, 0.10862619808306709, 0.054313099041533544, 0.10862619808306709, 0.07692307692307693, 0.07692307692307693, 0.10256410256410256, 0.11217948717948718, 0.10897435897435898, 0.10576923076923077, 0.11538461538461539, 0.1346153846153846, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.07051282051282051, 0.12179487179487179, 0.03205128205128205]"
10,"[0.08945686900958466, 0.07348242811501597, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.006389776357827476, 0.11182108626198083, 0.11501597444089456, 0.09904153354632587, 0.12779552715654952, 0.12140575079872204, 0.13738019169329074, 0.11501597444089456, 0.09904153354632587, 0.10862619808306709, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11217948717948718, 0.10576923076923077, 0.10576923076923077, 0.09615384615384616, 0.1346153846153846, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.07051282051282051, 0.12179487179487179, 0.11858974358974358]"
11,"[0.0926517571884984, 0.07348242811501597, 0.0926517571884984, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.11182108626198083, 0.09904153354632587, 0.08945686900958466, 0.0926517571884984, 0.11501597444089456, 0.13738019169329074, 0.10862619808306709, 0.08945686900958466, 0.10862619808306709, 0.07692307692307693, 0.07692307692307693, 0.10256410256410256, 0.11217948717948718, 0.10897435897435898, 0.10576923076923077, 0.11538461538461539, 0.1346153846153846, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.07051282051282051, 0.12179487179487179, 0.10256410256410256]"
