none,[]
0,"[0.11501597444089456, 0.09904153354632587, 0.09904153354632587, 0.08626198083067092, 0.1182108626198083, 0.09904153354632587, 0.18849840255591055, 0.11182108626198083, 0.11501597444089456, 0.11182108626198083, 0.10543130990415335, 0.12140575079872204, 0.12460063897763578, 0.09904153354632587, 0.09904153354632587, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.16666666666666666, 0.11217948717948718, 0.10897435897435898, 0.15064102564102563, 0.09615384615384616, 0.09615384615384616, 0.13782051282051283, 0.07371794871794872, 0.16346153846153846, 0.10576923076923077, 0.09615384615384616, 0.08974358974358974, 0.11858974358974358, 0.11858974358974358]"
1,"[0.0926517571884984, 0.09904153354632587, 0.09904153354632587, 0.08626198083067092, 0.08306709265175719, 0.09904153354632587, 0.09904153354632587, 0.12779552715654952, 0.11182108626198083, 0.07987220447284345, 0.13099041533546327, 0.12140575079872204, 0.13738019169329074, 0.10862619808306709, 0.07987220447284345, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10576923076923077, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.009615384615384616, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.125]"
2,"[0.0926517571884984, 0.03514376996805112, 0.09904153354632587, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.10223642172523961, 0.12779552715654952, 0.11501597444089456, 0.12140575079872204, 0.10543130990415335, 0.12140575079872204, 0.12460063897763578, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.08333333333333333, 0.11217948717948718, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.08333333333333333, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
3,"[0.0926517571884984, 0.10223642172523961, 0.09904153354632587, 0.10543130990415335, 0.08306709265175719, 0.05750798722044728, 0.07987220447284345, 0.12779552715654952, 0.11182108626198083, 0.08945686900958466, 0.13099041533546327, 0.07028753993610223, 0.13738019169329074, 0.10862619808306709, 0.10543130990415335, 0.12140575079872204, 0.11858974358974358, 0.09935897435897435, 0.10256410256410256, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.08333333333333333, 0.08974358974358974, 0.07692307692307693, 0.10576923076923077, 0.08653846153846154, 0.07051282051282051, 0.12179487179487179, 0.125]"
4,"[0.10223642172523961, 0.10862619808306709, 0.13099041533546327, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.08306709265175719, 0.09904153354632587, 0.12140575079872204, 0.11501597444089456, 0.12140575079872204, 0.10862619808306709, 0.10223642172523961, 0.11501597444089456, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.08333333333333333, 0.11217948717948718, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.08653846153846154, 0.07371794871794872, 0.07692307692307693, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
5,"[0.09904153354632587, 0.10223642172523961, 0.08626198083067092, 0.10543130990415335, 0.08306709265175719, 0.09584664536741214, 0.06389776357827476, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.10223642172523961, 0.10862619808306709, 0.10543130990415335, 0.12140575079872204, 0.11858974358974358, 0.09935897435897435, 0.10256410256410256, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.08333333333333333, 0.08974358974358974, 0.11217948717948718, 0.10576923076923077, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.125]"
6,"[0.10223642172523961, 0.10862619808306709, 0.14057507987220447, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.08306709265175719, 0.09904153354632587, 0.12140575079872204, 0.11501597444089456, 0.12140575079872204, 0.10862619808306709, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.08333333333333333, 0.11217948717948718, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.08653846153846154, 0.07371794871794872, 0.07692307692307693, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
7,"[0.09904153354632587, 0.10223642172523961, 0.08626198083067092, 0.10543130990415335, 0.08306709265175719, 0.09584664536741214, 0.06389776357827476, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.10223642172523961, 0.10862619808306709, 0.10543130990415335, 0.12140575079872204, 0.11858974358974358, 0.09935897435897435, 0.10256410256410256, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.08333333333333333, 0.08974358974358974, 0.11217948717948718, 0.10576923076923077, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.125]"
8,"[0.10223642172523961, 0.10862619808306709, 0.14057507987220447, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.08306709265175719, 0.09904153354632587, 0.12140575079872204, 0.11501597444089456, 0.12140575079872204, 0.10862619808306709, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.08333333333333333, 0.11217948717948718, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.08653846153846154, 0.07371794871794872, 0.07692307692307693, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
9,"[0.09904153354632587, 0.10223642172523961, 0.08626198083067092, 0.10543130990415335, 0.08306709265175719, 0.09584664536741214, 0.06389776357827476, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.10223642172523961, 0.10862619808306709, 0.10543130990415335, 0.12140575079872204, 0.11858974358974358, 0.09935897435897435, 0.10256410256410256, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.08333333333333333, 0.08974358974358974, 0.11217948717948718, 0.10576923076923077, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.125]"
10,"[0.10223642172523961, 0.10862619808306709, 0.14057507987220447, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.08306709265175719, 0.09904153354632587, 0.12140575079872204, 0.11501597444089456, 0.10862619808306709, 0.10862619808306709, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.10897435897435898, 0.08333333333333333, 0.09294871794871795, 0.08333333333333333, 0.10576923076923077, 0.09615384615384616, 0.09615384615384616, 0.08653846153846154, 0.07371794871794872, 0.07692307692307693, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
11,"[0.09904153354632587, 0.10223642172523961, 0.08626198083067092, 0.08306709265175719, 0.08306709265175719, 0.0926517571884984, 0.06389776357827476, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.07348242811501597, 0.07028753993610223, 0.10223642172523961, 0.10862619808306709, 0.10543130990415335, 0.12140575079872204, 0.11858974358974358, 0.09935897435897435, 0.10256410256410256, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.08333333333333333, 0.08974358974358974, 0.11217948717948718, 0.07692307692307693, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.125]"
12,"[0.10223642172523961, 0.07348242811501597, 0.12460063897763578, 0.07028753993610223, 0.08306709265175719, 0.09904153354632587, 0.10223642172523961, 0.06389776357827476, 0.08945686900958466, 0.12140575079872204, 0.11501597444089456, 0.06070287539936102, 0.10862619808306709, 0.10223642172523961, 0.05750798722044728, 0.10543130990415335, 0.0641025641025641, 0.10897435897435898, 0.08333333333333333, 0.05448717948717949, 0.08333333333333333, 0.10576923076923077, 0.08653846153846154, 0.09615384615384616, 0.08653846153846154, 0.0673076923076923, 0.07371794871794872, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
13,"[0.07987220447284345, 0.10223642172523961, 0.08626198083067092, 0.06070287539936102, 0.08306709265175719, 0.07028753993610223, 0.05750798722044728, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.04472843450479233, 0.07028753993610223, 0.09584664536741214, 0.10862619808306709, 0.10543130990415335, 0.09584664536741214, 0.11858974358974358, 0.08333333333333333, 0.07371794871794872, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08333333333333333, 0.08012820512820513, 0.08974358974358974, 0.11217948717948718, 0.05448717948717949, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.125]"
14,"[0.10223642172523961, 0.09584664536741214, 0.08626198083067092, 0.07028753993610223, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.051118210862619806, 0.07348242811501597, 0.12140575079872204, 0.11501597444089456, 0.07667731629392971, 0.10862619808306709, 0.10223642172523961, 0.05750798722044728, 0.10543130990415335, 0.0641025641025641, 0.10897435897435898, 0.08333333333333333, 0.05448717948717949, 0.08333333333333333, 0.10576923076923077, 0.08012820512820513, 0.09615384615384616, 0.08653846153846154, 0.05448717948717949, 0.04487179487179487, 0.10256410256410256, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.11858974358974358]"
15,"[0.08945686900958466, 0.10223642172523961, 0.08626198083067092, 0.08306709265175719, 0.08306709265175719, 0.0926517571884984, 0.06070287539936102, 0.12779552715654952, 0.07667731629392971, 0.08945686900958466, 0.06070287539936102, 0.07028753993610223, 0.09584664536741214, 0.10862619808306709, 0.10543130990415335, 0.07667731629392971, 0.11858974358974358, 0.08974358974358974, 0.0673076923076923, 0.09294871794871795, 0.10576923076923077, 0.09935897435897435, 0.08012820512820513, 0.08974358974358974, 0.07051282051282051, 0.08974358974358974, 0.11217948717948718, 0.05448717948717949, 0.10256410256410256, 0.0673076923076923, 0.12179487179487179, 0.125]"
