none,[]
0,"[0.12140575079872204, 0.10223642172523961, 0.08626198083067092, 0.07028753993610223, 0.09584664536741214, 0.09904153354632587, 0.10223642172523961, 0.13738019169329074, 0.12460063897763578, 0.12140575079872204, 0.11501597444089456, 0.10543130990415335, 0.08945686900958466, 0.10223642172523961, 0.11501597444089456, 0.07348242811501597, 0.09615384615384616, 0.12179487179487179, 0.08333333333333333, 0.09935897435897435, 0.11858974358974358, 0.11538461538461539, 0.08974358974358974, 0.13782051282051283, 0.11217948717948718, 0.08012820512820513, 0.09935897435897435, 0.21153846153846154, 0.07692307692307693, 0.07051282051282051, 0.11858974358974358, 0.09935897435897435]"
1,"[0.08945686900958466, 0.10223642172523961, 0.08626198083067092, 0.07028753993610223, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.12779552715654952, 0.10862619808306709, 0.12140575079872204, 0.10543130990415335, 0.07028753993610223, 0.09904153354632587, 0.08945686900958466, 0.11501597444089456, 0.07348242811501597, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.09294871794871795, 0.12179487179487179, 0.11538461538461539, 0.08012820512820513, 0.10256410256410256, 0.08333333333333333, 0.11538461538461539, 0.11217948717948718, 0.10256410256410256, 0.07051282051282051, 0.08974358974358974, 0.09615384615384616, 0.07692307692307693]"
2,"[0.10223642172523961, 0.09904153354632587, 0.08626198083067092, 0.07028753993610223, 0.09584664536741214, 0.0926517571884984, 0.10223642172523961, 0.12779552715654952, 0.10862619808306709, 0.12140575079872204, 0.11501597444089456, 0.06070287539936102, 0.08945686900958466, 0.10223642172523961, 0.11501597444089456, 0.10543130990415335, 0.08012820512820513, 0.10897435897435898, 0.08333333333333333, 0.09935897435897435, 0.08333333333333333, 0.11538461538461539, 0.0673076923076923, 0.09615384615384616, 0.08653846153846154, 0.10576923076923077, 0.09615384615384616, 0.10256410256410256, 0.07692307692307693, 0.08974358974358974, 0.11858974358974358, 0.09935897435897435]"
3,"[0.12140575079872204, 0.10223642172523961, 0.08626198083067092, 0.07028753993610223, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.12779552715654952, 0.10862619808306709, 0.12140575079872204, 0.10543130990415335, 0.07028753993610223, 0.08945686900958466, 0.10223642172523961, 0.10543130990415335, 0.07348242811501597, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.09294871794871795, 0.12179487179487179, 0.11538461538461539, 0.08012820512820513, 0.10256410256410256, 0.13141025641025642, 0.08974358974358974, 0.11217948717948718, 0.10256410256410256, 0.08974358974358974, 0.08974358974358974, 0.09615384615384616, 0.125]"
4,"[0.10223642172523961, 0.09904153354632587, 0.08626198083067092, 0.07028753993610223, 0.1182108626198083, 0.09904153354632587, 0.10223642172523961, 0.08945686900958466, 0.10862619808306709, 0.05750798722044728, 0.11501597444089456, 0.10543130990415335, 0.08945686900958466, 0.10223642172523961, 0.11501597444089456, 0.10543130990415335, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.11538461538461539, 0.125, 0.09615384615384616, 0.08653846153846154, 0.11538461538461539, 0.09294871794871795, 0.10256410256410256, 0.07692307692307693, 0.10256410256410256, 0.11858974358974358, 0.09935897435897435]"
5,"[0.12779552715654952, 0.10223642172523961, 0.08626198083067092, 0.07028753993610223, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.12779552715654952, 0.07667731629392971, 0.12140575079872204, 0.10543130990415335, 0.07028753993610223, 0.08945686900958466, 0.10223642172523961, 0.10543130990415335, 0.07348242811501597, 0.11858974358974358, 0.09615384615384616, 0.07051282051282051, 0.09294871794871795, 0.09935897435897435, 0.09935897435897435, 0.08012820512820513, 0.08333333333333333, 0.13141025641025642, 0.08974358974358974, 0.11217948717948718, 0.08333333333333333, 0.10256410256410256, 0.10256410256410256, 0.09615384615384616, 0.125]"
6,"[0.10223642172523961, 0.09904153354632587, 0.08626198083067092, 0.07028753993610223, 0.1182108626198083, 0.09904153354632587, 0.10223642172523961, 0.08945686900958466, 0.10862619808306709, 0.038338658146964855, 0.11501597444089456, 0.10543130990415335, 0.08945686900958466, 0.10223642172523961, 0.11501597444089456, 0.054313099041533544, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.08653846153846154, 0.08333333333333333, 0.09935897435897435, 0.125, 0.09615384615384616, 0.08653846153846154, 0.10576923076923077, 0.09294871794871795, 0.10256410256410256, 0.11538461538461539, 0.041666666666666664, 0.11858974358974358, 0.09935897435897435]"
7,"[0.12140575079872204, 0.10223642172523961, 0.08626198083067092, 0.08306709265175719, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.012779552715654952, 0.07667731629392971, 0.12140575079872204, 0.10543130990415335, 0.04153354632587859, 0.08945686900958466, 0.10223642172523961, 0.07667731629392971, 0.07348242811501597, 0.11858974358974358, 0.11858974358974358, 0.07051282051282051, 0.09294871794871795, 0.09935897435897435, 0.08012820512820513, 0.08012820512820513, 0.08333333333333333, 0.11217948717948718, 0.08974358974358974, 0.11217948717948718, 0.08333333333333333, 0.10256410256410256, 0.09935897435897435, 0.09615384615384616, 0.05448717948717949]"
8,"[0.10223642172523961, 0.09904153354632587, 0.08626198083067092, 0.012779552715654952, 0.1182108626198083, 0.054313099041533544, 0.012779552715654952, 0.08945686900958466, 0.10862619808306709, 0.1182108626198083, 0.11501597444089456, 0.10543130990415335, 0.022364217252396165, 0.10223642172523961, 0.11501597444089456, 0.025559105431309903, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.08653846153846154, 0.09935897435897435, 0.09935897435897435, 0.125, 0.016025641025641024, 0.08653846153846154, 0.09935897435897435, 0.09294871794871795, 0.0673076923076923, 0.09615384615384616, 0.009615384615384616, 0.09294871794871795, 0.09935897435897435]"
9,"[0.12140575079872204, 0.051118210862619806, 0.022364217252396165, 0.08306709265175719, 0.04792332268370607, 0.09904153354632587, 0.1182108626198083, 0.009584664536741214, 0.07667731629392971, 0.12140575079872204, 0.10543130990415335, 0.006389776357827476, 0.08945686900958466, 0.003194888178913738, 0.025559105431309903, 0.07348242811501597, 0.11858974358974358, 0.11858974358974358, 0.07051282051282051, 0.035256410256410256, 0.09935897435897435, 0.057692307692307696, 0.016025641025641024, 0.08333333333333333, 0.11217948717948718, 0.057692307692307696, 0.05448717948717949, 0.08333333333333333, 0.07371794871794872, 0.10256410256410256, 0.09615384615384616, 0.028846153846153848]"
