none,[]
0,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.0926517571884984, 0.1182108626198083, 0.08306709265175719, 0.13738019169329074, 0.08306709265175719, 0.11501597444089456, 0.0670926517571885, 0.08306709265175719, 0.07028753993610223, 0.22044728434504793, 0.11501597444089456, 0.11501597444089456, 0.1757188498402556, 0.125, 0.10256410256410256, 0.08333333333333333, 0.09935897435897435, 0.11858974358974358, 0.09935897435897435, 0.08974358974358974, 0.09615384615384616, 0.10897435897435898, 0.11538461538461539, 0.11217948717948718, 0.10256410256410256, 0.09615384615384616, 0.10256410256410256, 0.16346153846153846, 0.11858974358974358]"
1,"[0.0926517571884984, 0.10543130990415335, 0.054313099041533544, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.09904153354632587, 0.09584664536741214, 0.11501597444089456, 0.09904153354632587, 0.11501597444089456, 0.07028753993610223, 0.08945686900958466, 0.10223642172523961, 0.09584664536741214, 0.10543130990415335, 0.1346153846153846, 0.10256410256410256, 0.08333333333333333, 0.09294871794871795, 0.12179487179487179, 0.08974358974358974, 0.0673076923076923, 0.07051282051282051, 0.10256410256410256, 0.09294871794871795, 0.08653846153846154, 0.10256410256410256, 0.1282051282051282, 0.10256410256410256, 0.05448717948717949, 0.125]"
2,"[0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.10223642172523961, 0.07987220447284345, 0.0926517571884984, 0.13099041533546327, 0.10862619808306709, 0.11501597444089456, 0.022364217252396165, 0.054313099041533544, 0.07028753993610223, 0.13099041533546327, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.125, 0.09935897435897435, 0.08333333333333333, 0.09294871794871795, 0.11858974358974358, 0.09935897435897435, 0.09615384615384616, 0.08974358974358974, 0.10897435897435898, 0.11538461538461539, 0.11217948717948718, 0.10256410256410256, 0.09615384615384616, 0.10256410256410256, 0.07371794871794872, 0.09615384615384616]"
3,"[0.0926517571884984, 0.019169329073482427, 0.04472843450479233, 0.08626198083067092, 0.07987220447284345, 0.0926517571884984, 0.09904153354632587, 0.09584664536741214, 0.0926517571884984, 0.09904153354632587, 0.13099041533546327, 0.07028753993610223, 0.13738019169329074, 0.03514376996805112, 0.009584664536741214, 0.07028753993610223, 0.1346153846153846, 0.07692307692307693, 0.08333333333333333, 0.038461538461538464, 0.10897435897435898, 0.08974358974358974, 0.038461538461538464, 0.08333333333333333, 0.10256410256410256, 0.09294871794871795, 0.08653846153846154, 0.10256410256410256, 0.1282051282051282, 0.10256410256410256, 0.10256410256410256, 0.125]"
4,"[0.06070287539936102, 0.07348242811501597, 0.09904153354632587, 0.03194888178913738, 0.07987220447284345, 0.038338658146964855, 0.0670926517571885, 0.10862619808306709, 0.11501597444089456, 0.02875399361022364, 0.0926517571884984, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.125, 0.09935897435897435, 0.016025641025641024, 0.08653846153846154, 0.11858974358974358, 0.09294871794871795, 0.09615384615384616, 0.057692307692307696, 0.10897435897435898, 0.11538461538461539, 0.08333333333333333, 0.038461538461538464, 0.09615384615384616, 0.10256410256410256, 0.08974358974358974, 0.09935897435897435]"
5,"[0.0926517571884984, 0.10543130990415335, 0.07028753993610223, 0.08626198083067092, 0.09584664536741214, 0.0926517571884984, 0.09904153354632587, 0.02875399361022364, 0.08945686900958466, 0.09904153354632587, 0.13099041533546327, 0.11501597444089456, 0.13738019169329074, 0.025559105431309903, 0.10862619808306709, 0.07028753993610223, 0.1346153846153846, 0.07692307692307693, 0.08333333333333333, 0.07371794871794872, 0.10897435897435898, 0.08974358974358974, 0.11538461538461539, 0.10897435897435898, 0.10256410256410256, 0.09294871794871795, 0.08653846153846154, 0.11858974358974358, 0.1282051282051282, 0.10256410256410256, 0.10256410256410256, 0.041666666666666664]"
6,"[0.11182108626198083, 0.07348242811501597, 0.09904153354632587, 0.08945686900958466, 0.07987220447284345, 0.08306709265175719, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.0670926517571885, 0.0926517571884984, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.125, 0.09935897435897435, 0.08333333333333333, 0.08653846153846154, 0.11858974358974358, 0.09294871794871795, 0.09615384615384616, 0.1346153846153846, 0.10897435897435898, 0.12179487179487179, 0.08333333333333333, 0.057692307692307696, 0.09615384615384616, 0.10256410256410256, 0.08974358974358974, 0.09935897435897435]"
7,"[0.0926517571884984, 0.10543130990415335, 0.09904153354632587, 0.08626198083067092, 0.09904153354632587, 0.0926517571884984, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.09904153354632587, 0.13099041533546327, 0.11501597444089456, 0.13738019169329074, 0.10223642172523961, 0.10543130990415335, 0.07028753993610223, 0.1346153846153846, 0.11858974358974358, 0.10576923076923077, 0.07371794871794872, 0.10897435897435898, 0.08974358974358974, 0.11538461538461539, 0.10897435897435898, 0.10256410256410256, 0.09294871794871795, 0.08653846153846154, 0.08653846153846154, 0.1282051282051282, 0.10897435897435898, 0.10256410256410256, 0.10576923076923077]"
8,"[0.11182108626198083, 0.07348242811501597, 0.09904153354632587, 0.08945686900958466, 0.07987220447284345, 0.08306709265175719, 0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.0670926517571885, 0.0926517571884984, 0.07348242811501597, 0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.125, 0.09935897435897435, 0.08974358974358974, 0.08653846153846154, 0.11858974358974358, 0.09294871794871795, 0.09615384615384616, 0.1346153846153846, 0.10897435897435898, 0.12179487179487179, 0.09294871794871795, 0.057692307692307696, 0.09615384615384616, 0.10256410256410256, 0.08974358974358974, 0.09935897435897435]"
9,"[0.0926517571884984, 0.10543130990415335, 0.09904153354632587, 0.08626198083067092, 0.09904153354632587, 0.0926517571884984, 0.09904153354632587, 0.11182108626198083, 0.08945686900958466, 0.09904153354632587, 0.13099041533546327, 0.11501597444089456, 0.13738019169329074, 0.10223642172523961, 0.10862619808306709, 0.07028753993610223, 0.1346153846153846, 0.07692307692307693, 0.07051282051282051, 0.07371794871794872, 0.10897435897435898, 0.08974358974358974, 0.11538461538461539, 0.10897435897435898, 0.10256410256410256, 0.09294871794871795, 0.08653846153846154, 0.11858974358974358, 0.1282051282051282, 0.10897435897435898, 0.10256410256410256, 0.10576923076923077]"
