none,[]
0,"[0.08945686900958466, 0.11182108626198083, 0.08626198083067092, 0.10862619808306709, 0.08626198083067092, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.12460063897763578, 0.07987220447284345, 0.09584664536741214, 0.134185303514377, 0.19488817891373802, 0.10223642172523961, 0.1182108626198083, 0.09904153354632587, 0.13141025641025642, 0.08974358974358974, 0.125, 0.10897435897435898, 0.05448717948717949, 0.10897435897435898, 0.18269230769230768, 0.08974358974358974, 0.09615384615384616, 0.08974358974358974, 0.09935897435897435, 0.16666666666666666, 0.09935897435897435, 0.11217948717948718, 0.10256410256410256, 0.10576923076923077]"
1,"[0.12140575079872204, 0.10862619808306709, 0.08626198083067092, 0.0926517571884984, 0.02875399361022364, 0.0926517571884984, 0.06070287539936102, 0.07987220447284345, 0.12460063897763578, 0.07987220447284345, 0.09584664536741214, 0.09584664536741214, 0.12460063897763578, 0.08626198083067092, 0.07028753993610223, 0.11501597444089456, 0.09935897435897435, 0.11858974358974358, 0.125, 0.10576923076923077, 0.11858974358974358, 0.0673076923076923, 0.08974358974358974, 0.08974358974358974, 0.08653846153846154, 0.11538461538461539, 0.09935897435897435, 0.10256410256410256, 0.11858974358974358, 0.11217948717948718, 0.09615384615384616, 0.10576923076923077]"
2,"[0.12140575079872204, 0.11182108626198083, 0.134185303514377, 0.0926517571884984, 0.08626198083067092, 0.0926517571884984, 0.07348242811501597, 0.07987220447284345, 0.09584664536741214, 0.07987220447284345, 0.09584664536741214, 0.07667731629392971, 0.006389776357827476, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.08653846153846154, 0.09935897435897435, 0.125, 0.10576923076923077, 0.05448717948717949, 0.11538461538461539, 0.10576923076923077, 0.08974358974358974, 0.0673076923076923, 0.11538461538461539, 0.08974358974358974, 0.11538461538461539, 0.11858974358974358, 0.11217948717948718, 0.09935897435897435, 0.08653846153846154]"
3,"[0.07348242811501597, 0.10862619808306709, 0.08626198083067092, 0.0926517571884984, 0.08626198083067092, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.12460063897763578, 0.07987220447284345, 0.0926517571884984, 0.09584664536741214, 0.12460063897763578, 0.08626198083067092, 0.07987220447284345, 0.11501597444089456, 0.09935897435897435, 0.11858974358974358, 0.08653846153846154, 0.10576923076923077, 0.11217948717948718, 0.0673076923076923, 0.08974358974358974, 0.08974358974358974, 0.0673076923076923, 0.11538461538461539, 0.09935897435897435, 0.11538461538461539, 0.11858974358974358, 0.11217948717948718, 0.09615384615384616, 0.08653846153846154]"
4,"[0.12140575079872204, 0.11182108626198083, 0.134185303514377, 0.0926517571884984, 0.019169329073482427, 0.1182108626198083, 0.07348242811501597, 0.07987220447284345, 0.09584664536741214, 0.07987220447284345, 0.10543130990415335, 0.07667731629392971, 0.12460063897763578, 0.08626198083067092, 0.051118210862619806, 0.11501597444089456, 0.13141025641025642, 0.0673076923076923, 0.125, 0.10576923076923077, 0.05448717948717949, 0.11538461538461539, 0.10576923076923077, 0.08974358974358974, 0.08333333333333333, 0.11538461538461539, 0.08974358974358974, 0.11538461538461539, 0.11858974358974358, 0.11217948717948718, 0.09935897435897435, 0.08653846153846154]"
5,"[0.07348242811501597, 0.10862619808306709, 0.08626198083067092, 0.0926517571884984, 0.08626198083067092, 0.0926517571884984, 0.09584664536741214, 0.025559105431309903, 0.11182108626198083, 0.07987220447284345, 0.0926517571884984, 0.09584664536741214, 0.08945686900958466, 0.08626198083067092, 0.07987220447284345, 0.11501597444089456, 0.09935897435897435, 0.09294871794871795, 0.08653846153846154, 0.016025641025641024, 0.03205128205128205, 0.060897435897435896, 0.08974358974358974, 0.041666666666666664, 0.0673076923076923, 0.11538461538461539, 0.09935897435897435, 0.11538461538461539, 0.09615384615384616, 0.11217948717948718, 0.09615384615384616, 0.08653846153846154]"
6,"[0.12140575079872204, 0.02875399361022364, 0.134185303514377, 0.10862619808306709, 0.08626198083067092, 0.1182108626198083, 0.07348242811501597, 0.07348242811501597, 0.09584664536741214, 0.11182108626198083, 0.10543130990415335, 0.07667731629392971, 0.12460063897763578, 0.08626198083067092, 0.10223642172523961, 0.012779552715654952, 0.13141025641025642, 0.08974358974358974, 0.125, 0.041666666666666664, 0.05448717948717949, 0.0673076923076923, 0.0673076923076923, 0.1282051282051282, 0.08333333333333333, 0.11538461538461539, 0.08974358974358974, 0.09935897435897435, 0.11858974358974358, 0.10897435897435898, 0.09935897435897435, 0.08653846153846154]"
7,"[0.12140575079872204, 0.10862619808306709, 0.08626198083067092, 0.07348242811501597, 0.08626198083067092, 0.12140575079872204, 0.025559105431309903, 0.08306709265175719, 0.11182108626198083, 0.07987220447284345, 0.0926517571884984, 0.13099041533546327, 0.08945686900958466, 0.10862619808306709, 0.07987220447284345, 0.11501597444089456, 0.09935897435897435, 0.09294871794871795, 0.08333333333333333, 0.10897435897435898, 0.041666666666666664, 0.10897435897435898, 0.08974358974358974, 0.09615384615384616, 0.0673076923076923, 0.08012820512820513, 0.09935897435897435, 0.11538461538461539, 0.09615384615384616, 0.11217948717948718, 0.09615384615384616, 0.08974358974358974]"
8,"[0.12140575079872204, 0.09904153354632587, 0.04792332268370607, 0.10862619808306709, 0.07028753993610223, 0.1182108626198083, 0.07348242811501597, 0.09584664536741214, 0.09584664536741214, 0.11182108626198083, 0.10543130990415335, 0.07667731629392971, 0.12460063897763578, 0.08626198083067092, 0.10223642172523961, 0.10223642172523961, 0.03205128205128205, 0.08974358974358974, 0.125, 0.11858974358974358, 0.05448717948717949, 0.0641025641025641, 0.10897435897435898, 0.1282051282051282, 0.08333333333333333, 0.11538461538461539, 0.08974358974358974, 0.09935897435897435, 0.11858974358974358, 0.08653846153846154, 0.09935897435897435, 0.08653846153846154]"
9,"[0.04153354632587859, 0.10862619808306709, 0.08626198083067092, 0.10862619808306709, 0.08626198083067092, 0.12140575079872204, 0.12140575079872204, 0.08306709265175719, 0.11182108626198083, 0.07987220447284345, 0.0926517571884984, 0.13099041533546327, 0.08945686900958466, 0.10862619808306709, 0.07987220447284345, 0.11501597444089456, 0.09935897435897435, 0.09935897435897435, 0.1346153846153846, 0.10897435897435898, 0.09935897435897435, 0.10897435897435898, 0.08974358974358974, 0.09615384615384616, 0.0673076923076923, 0.08012820512820513, 0.09935897435897435, 0.11538461538461539, 0.09615384615384616, 0.11217948717948718, 0.09615384615384616, 0.08974358974358974]"
