eigenvector_centrality,[31 30 29]
0,"[0.07348242811501597, 0.10862619808306709, 0.1757188498402556, 0.08626198083067092, 0.10543130990415335, 0.10223642172523961, 0.09584664536741214, 0.08306709265175719, 0.07667731629392971, 0.17891373801916932, 0.0926517571884984, 0.12140575079872204, 0.12460063897763578, 0.09904153354632587, 0.11182108626198083, 0.11182108626198083, 0.07692307692307693, 0.1858974358974359, 0.08653846153846154, 0.09935897435897435, 0.12179487179487179, 0.10576923076923077, 0.1282051282051282, 0.10256410256410256, 0.13141025641025642, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.20512820512820512, 0.11538461538461539, 0.09615384615384616, 0.21474358974358973]"
1,"[0.08945686900958466, 0.10862619808306709, 0.134185303514377, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.06389776357827476, 0.12460063897763578, 0.12460063897763578, 0.1182108626198083, 0.0670926517571885, 0.07667731629392971, 0.08945686900958466, 0.08626198083067092, 0.10223642172523961, 0.11501597444089456, 0.08333333333333333, 0.02564102564102564, 0.057692307692307696, 0.09935897435897435, 0.08974358974358974, 0.11538461538461539, 0.10576923076923077, 0.1282051282051282, 0.08653846153846154, 0.08974358974358974, 0.08974358974358974, 0.10256410256410256, 0.07051282051282051, 0.08974358974358974, 0.09615384615384616, 0.09294871794871795]"
2,"[0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.10862619808306709, 0.08626198083067092, 0.12140575079872204, 0.03194888178913738, 0.08306709265175719, 0.12460063897763578, 0.1182108626198083, 0.0926517571884984, 0.09584664536741214, 0.08945686900958466, 0.09904153354632587, 0.10223642172523961, 0.11501597444089456, 0.060897435897435896, 0.060897435897435896, 0.08333333333333333, 0.09294871794871795, 0.12179487179487179, 0.10576923076923077, 0.0673076923076923, 0.10256410256410256, 0.13141025641025642, 0.10256410256410256, 0.08012820512820513, 0.041666666666666664, 0.0, 0.11538461538461539, 0.09615384615384616, 0.08012820512820513]"
3,"[0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.08945686900958466, 0.09904153354632587, 0.04472843450479233, 0.09584664536741214, 0.012779552715654952, 0.1182108626198083, 0.003194888178913738, 0.07667731629392971, 0.08945686900958466, 0.003194888178913738, 0.10223642172523961, 0.10543130990415335, 0.08333333333333333, 0.09294871794871795, 0.08653846153846154, 0.09935897435897435, 0.08974358974358974, 0.11538461538461539, 0.060897435897435896, 0.07051282051282051, 0.12179487179487179, 0.08653846153846154, 0.08974358974358974, 0.10256410256410256, 0.11858974358974358, 0.08974358974358974, 0.09615384615384616, 0.07371794871794872]"
4,"[0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.10862619808306709, 0.134185303514377, 0.12140575079872204, 0.12140575079872204, 0.09584664536741214, 0.12460063897763578, 0.0670926517571885, 0.0926517571884984, 0.09584664536741214, 0.08945686900958466, 0.09904153354632587, 0.10223642172523961, 0.11501597444089456, 0.060897435897435896, 0.08653846153846154, 0.11538461538461539, 0.11538461538461539, 0.12179487179487179, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.035256410256410256, 0.10256410256410256, 0.10897435897435898, 0.11538461538461539, 0.0673076923076923, 0.11217948717948718, 0.09615384615384616, 0.08012820512820513]"
5,"[0.08945686900958466, 0.09904153354632587, 0.11501597444089456, 0.1182108626198083, 0.08945686900958466, 0.09904153354632587, 0.03194888178913738, 0.09584664536741214, 0.09584664536741214, 0.1182108626198083, 0.09584664536741214, 0.07667731629392971, 0.09904153354632587, 0.08626198083067092, 0.10223642172523961, 0.10543130990415335, 0.00641025641025641, 0.09294871794871795, 0.11858974358974358, 0.11858974358974358, 0.08974358974358974, 0.0673076923076923, 0.10256410256410256, 0.07051282051282051, 0.12179487179487179, 0.09615384615384616, 0.08974358974358974, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.07051282051282051, 0.08653846153846154]"
6,"[0.051118210862619806, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.12140575079872204, 0.12140575079872204, 0.09584664536741214, 0.12460063897763578, 0.07667731629392971, 0.0926517571884984, 0.09584664536741214, 0.07987220447284345, 0.09904153354632587, 0.10543130990415335, 0.11501597444089456, 0.060897435897435896, 0.09935897435897435, 0.1346153846153846, 0.11538461538461539, 0.041666666666666664, 0.10576923076923077, 0.11538461538461539, 0.09615384615384616, 0.0673076923076923, 0.10256410256410256, 0.10897435897435898, 0.11538461538461539, 0.0673076923076923, 0.09615384615384616, 0.09615384615384616, 0.08012820512820513]"
7,"[0.08945686900958466, 0.006389776357827476, 0.11501597444089456, 0.1182108626198083, 0.012779552715654952, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.006389776357827476, 0.1182108626198083, 0.09584664536741214, 0.07667731629392971, 0.09904153354632587, 0.006389776357827476, 0.10223642172523961, 0.10543130990415335, 0.08653846153846154, 0.09294871794871795, 0.11858974358974358, 0.11858974358974358, 0.08974358974358974, 0.0673076923076923, 0.10897435897435898, 0.07051282051282051, 0.12179487179487179, 0.04487179487179487, 0.08974358974358974, 0.10576923076923077, 0.009615384615384616, 0.08974358974358974, 0.07051282051282051, 0.08653846153846154]"
8,"[0.006389776357827476, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.12140575079872204, 0.12140575079872204, 0.12779552715654952, 0.12460063897763578, 0.0, 0.0926517571884984, 0.09584664536741214, 0.003194888178913738, 0.09904153354632587, 0.10543130990415335, 0.11501597444089456, 0.060897435897435896, 0.08012820512820513, 0.1346153846153846, 0.038461538461538464, 0.060897435897435896, 0.10576923076923077, 0.03205128205128205, 0.09615384615384616, 0.060897435897435896, 0.10256410256410256, 0.10897435897435898, 0.11538461538461539, 0.0673076923076923, 0.09935897435897435, 0.09615384615384616, 0.08012820512820513]"
9,"[0.08945686900958466, 0.003194888178913738, 0.10223642172523961, 0.07028753993610223, 0.003194888178913738, 0.09904153354632587, 0.12779552715654952, 0.09584664536741214, 0.01597444089456869, 0.1182108626198083, 0.09584664536741214, 0.07667731629392971, 0.09904153354632587, 0.0, 0.10223642172523961, 0.10543130990415335, 0.028846153846153848, 0.09294871794871795, 0.08333333333333333, 0.00641025641025641, 0.04487179487179487, 0.03205128205128205, 0.038461538461538464, 0.09615384615384616, 0.12179487179487179, 0.0, 0.08974358974358974, 0.10256410256410256, 0.060897435897435896, 0.08974358974358974, 0.11858974358974358, 0.04807692307692308]"
10,"[0.03514376996805112, 0.08306709265175719, 0.054313099041533544, 0.025559105431309903, 0.09584664536741214, 0.006389776357827476, 0.03194888178913738, 0.12779552715654952, 0.09904153354632587, 0.0, 0.0, 0.07028753993610223, 0.054313099041533544, 0.10862619808306709, 0.10543130990415335, 0.0, 0.04807692307692308, 0.09294871794871795, 0.003205128205128205, 0.09935897435897435, 0.08012820512820513, 0.09935897435897435, 0.0673076923076923, 0.003205128205128205, 0.003205128205128205, 0.08974358974358974, 0.14743589743589744, 0.01282051282051282, 0.00641025641025641, 0.003205128205128205, 0.08974358974358974, 0.125]"
11,"[0.08945686900958466, 0.10862619808306709, 0.003194888178913738, 0.13738019169329074, 0.09584664536741214, 0.09904153354632587, 0.13099041533546327, 0.006389776357827476, 0.1182108626198083, 0.09584664536741214, 0.08306709265175719, 0.0, 0.06070287539936102, 0.019169329073482427, 0.0, 0.10543130990415335, 0.060897435897435896, 0.09615384615384616, 0.08333333333333333, 0.05448717948717949, 0.11858974358974358, 0.0673076923076923, 0.003205128205128205, 0.04487179487179487, 0.13141025641025642, 0.0, 0.0, 0.10256410256410256, 0.0, 0.11538461538461539, 0.13141025641025642, 0.0]"
12,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.051118210862619806, 0.09584664536741214, 0.09904153354632587, 0.01597444089456869, 0.12460063897763578, 0.10223642172523961, 0.10543130990415335, 0.06389776357827476, 0.134185303514377, 0.09904153354632587, 0.0926517571884984, 0.07028753993610223, 0.09904153354632587, 0.08333333333333333, 0.09294871794871795, 0.0673076923076923, 0.09935897435897435, 0.08974358974358974, 0.057692307692307696, 0.0673076923076923, 0.07051282051282051, 0.060897435897435896, 0.10576923076923077, 0.14743589743589744, 0.01282051282051282, 0.07692307692307693, 0.0, 0.003205128205128205, 0.08974358974358974]"
13,"[0.08945686900958466, 0.10862619808306709, 0.0670926517571885, 0.13738019169329074, 0.134185303514377, 0.09904153354632587, 0.13099041533546327, 0.09584664536741214, 0.12460063897763578, 0.09584664536741214, 0.08306709265175719, 0.09584664536741214, 0.06070287539936102, 0.09904153354632587, 0.08945686900958466, 0.09904153354632587, 0.060897435897435896, 0.09615384615384616, 0.08333333333333333, 0.11538461538461539, 0.12179487179487179, 0.10576923076923077, 0.11217948717948718, 0.10256410256410256, 0.13141025641025642, 0.10256410256410256, 0.028846153846153848, 0.10256410256410256, 0.038461538461538464, 0.08974358974358974, 0.13141025641025642, 0.060897435897435896]"
14,"[0.08945686900958466, 0.08306709265175719, 0.054313099041533544, 0.1182108626198083, 0.09584664536741214, 0.09904153354632587, 0.09584664536741214, 0.12460063897763578, 0.10223642172523961, 0.1182108626198083, 0.09584664536741214, 0.134185303514377, 0.09904153354632587, 0.0926517571884984, 0.07028753993610223, 0.10543130990415335, 0.08333333333333333, 0.09294871794871795, 0.11858974358974358, 0.09935897435897435, 0.08974358974358974, 0.11538461538461539, 0.0673076923076923, 0.07051282051282051, 0.12179487179487179, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.07692307692307693, 0.08974358974358974, 0.07051282051282051, 0.09294871794871795]"
15,"[0.08945686900958466, 0.10862619808306709, 0.09904153354632587, 0.13738019169329074, 0.134185303514377, 0.09904153354632587, 0.13099041533546327, 0.09584664536741214, 0.12460063897763578, 0.09584664536741214, 0.08306709265175719, 0.09584664536741214, 0.06070287539936102, 0.09904153354632587, 0.10543130990415335, 0.09904153354632587, 0.060897435897435896, 0.09615384615384616, 0.08333333333333333, 0.11538461538461539, 0.12179487179487179, 0.10576923076923077, 0.11538461538461539, 0.10256410256410256, 0.13141025641025642, 0.10256410256410256, 0.10897435897435898, 0.10256410256410256, 0.0673076923076923, 0.08974358974358974, 0.13141025641025642, 0.08012820512820513]"
