none,[]
0,"[0.10223642172523961, 0.10862619808306709, 0.11501597444089456, 0.10862619808306709, 0.134185303514377, 0.08306709265175719, 0.10223642172523961, 0.10862619808306709, 0.0670926517571885, 0.12140575079872204, 0.08626198083067092, 0.134185303514377, 0.10862619808306709, 0.10223642172523961, 0.11501597444089456, 0.14376996805111822, 0.13141025641025642, 0.11858974358974358, 0.1346153846153846, 0.11217948717948718, 0.11858974358974358, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.10256410256410256, 0.11538461538461539, 0.08333333333333333, 0.10897435897435898, 0.09935897435897435, 0.15384615384615385, 0.07371794871794872, 0.09935897435897435]"
1,"[0.09904153354632587, 0.10223642172523961, 0.11501597444089456, 0.07028753993610223, 0.08306709265175719, 0.09904153354632587, 0.07348242811501597, 0.10862619808306709, 0.07667731629392971, 0.07987220447284345, 0.08306709265175719, 0.07667731629392971, 0.12460063897763578, 0.10862619808306709, 0.10543130990415335, 0.07028753993610223, 0.13141025641025642, 0.09935897435897435, 0.1346153846153846, 0.10576923076923077, 0.08974358974358974, 0.11538461538461539, 0.09615384615384616, 0.10897435897435898, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.15064102564102563, 0.09935897435897435, 0.10897435897435898, 0.10256410256410256, 0.10256410256410256]"
2,"[0.09904153354632587, 0.09904153354632587, 0.11501597444089456, 0.10862619808306709, 0.134185303514377, 0.09904153354632587, 0.12140575079872204, 0.10862619808306709, 0.09584664536741214, 0.01597444089456869, 0.08626198083067092, 0.07667731629392971, 0.10862619808306709, 0.10223642172523961, 0.07987220447284345, 0.012779552715654952, 0.08653846153846154, 0.11858974358974358, 0.08653846153846154, 0.009615384615384616, 0.11858974358974358, 0.10576923076923077, 0.09615384615384616, 0.10897435897435898, 0.10256410256410256, 0.11538461538461539, 0.08974358974358974, 0.10897435897435898, 0.11858974358974358, 0.12179487179487179, 0.07371794871794872, 0.09935897435897435]"
3,"[0.09904153354632587, 0.09904153354632587, 0.11182108626198083, 0.10862619808306709, 0.08945686900958466, 0.09904153354632587, 0.12140575079872204, 0.09584664536741214, 0.07667731629392971, 0.07987220447284345, 0.0926517571884984, 0.07667731629392971, 0.12460063897763578, 0.03194888178913738, 0.09584664536741214, 0.07028753993610223, 0.13141025641025642, 0.09935897435897435, 0.1346153846153846, 0.10576923076923077, 0.09935897435897435, 0.11538461538461539, 0.10576923076923077, 0.10897435897435898, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.11538461538461539, 0.09935897435897435, 0.019230769230769232, 0.10256410256410256, 0.10256410256410256]"
4,"[0.09904153354632587, 0.09904153354632587, 0.11501597444089456, 0.07667731629392971, 0.08945686900958466, 0.12140575079872204, 0.1182108626198083, 0.05750798722044728, 0.09584664536741214, 0.08306709265175719, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.10862619808306709, 0.03514376996805112, 0.09904153354632587, 0.08653846153846154, 0.11858974358974358, 0.08653846153846154, 0.11858974358974358, 0.0673076923076923, 0.0673076923076923, 0.09615384615384616, 0.08974358974358974, 0.10256410256410256, 0.11538461538461539, 0.08974358974358974, 0.10897435897435898, 0.11858974358974358, 0.12179487179487179, 0.07371794871794872, 0.09935897435897435]"
5,"[0.09904153354632587, 0.09584664536741214, 0.134185303514377, 0.10862619808306709, 0.08945686900958466, 0.11182108626198083, 0.12140575079872204, 0.09584664536741214, 0.07667731629392971, 0.07987220447284345, 0.0926517571884984, 0.07667731629392971, 0.07667731629392971, 0.08945686900958466, 0.09584664536741214, 0.10223642172523961, 0.08333333333333333, 0.09935897435897435, 0.1346153846153846, 0.10576923076923077, 0.09935897435897435, 0.0673076923076923, 0.07692307692307693, 0.10897435897435898, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.11538461538461539, 0.09935897435897435, 0.11217948717948718, 0.0, 0.10256410256410256]"
6,"[0.07348242811501597, 0.09904153354632587, 0.11501597444089456, 0.0926517571884984, 0.025559105431309903, 0.12140575079872204, 0.019169329073482427, 0.022364217252396165, 0.09584664536741214, 0.09584664536741214, 0.08626198083067092, 0.07667731629392971, 0.09904153354632587, 0.10862619808306709, 0.07987220447284345, 0.04472843450479233, 0.08653846153846154, 0.11858974358974358, 0.08653846153846154, 0.11858974358974358, 0.10897435897435898, 0.0673076923076923, 0.10897435897435898, 0.08974358974358974, 0.10256410256410256, 0.11538461538461539, 0.08974358974358974, 0.10897435897435898, 0.11858974358974358, 0.12179487179487179, 0.07371794871794872, 0.038461538461538464]"
7,"[0.09904153354632587, 0.11182108626198083, 0.134185303514377, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.022364217252396165, 0.06389776357827476, 0.07667731629392971, 0.07987220447284345, 0.054313099041533544, 0.07667731629392971, 0.12460063897763578, 0.08945686900958466, 0.09584664536741214, 0.10223642172523961, 0.13141025641025642, 0.09935897435897435, 0.1346153846153846, 0.10576923076923077, 0.09935897435897435, 0.11538461538461539, 0.08974358974358974, 0.1282051282051282, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.01282051282051282, 0.09935897435897435, 0.016025641025641024, 0.016025641025641024, 0.10256410256410256]"
8,"[0.07348242811501597, 0.04792332268370607, 0.08626198083067092, 0.0926517571884984, 0.08626198083067092, 0.0926517571884984, 0.09584664536741214, 0.08306709265175719, 0.09584664536741214, 0.09584664536741214, 0.08626198083067092, 0.13099041533546327, 0.09904153354632587, 0.10862619808306709, 0.07987220447284345, 0.09904153354632587, 0.08653846153846154, 0.11858974358974358, 0.08653846153846154, 0.10897435897435898, 0.11858974358974358, 0.028846153846153848, 0.08974358974358974, 0.08974358974358974, 0.10256410256410256, 0.11538461538461539, 0.08974358974358974, 0.10897435897435898, 0.10576923076923077, 0.12179487179487179, 0.07371794871794872, 0.08974358974358974]"
9,"[0.08945686900958466, 0.11182108626198083, 0.134185303514377, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.07348242811501597, 0.07987220447284345, 0.07667731629392971, 0.08626198083067092, 0.10543130990415335, 0.07667731629392971, 0.12460063897763578, 0.08945686900958466, 0.09584664536741214, 0.10223642172523961, 0.13141025641025642, 0.04487179487179487, 0.125, 0.10576923076923077, 0.05448717948717949, 0.11538461538461539, 0.10576923076923077, 0.1282051282051282, 0.0673076923076923, 0.10256410256410256, 0.10256410256410256, 0.09935897435897435, 0.09935897435897435, 0.035256410256410256, 0.09935897435897435, 0.10256410256410256]"
