betweeness_centrality,[ 2  7  5 13]
0,"[0.10778443113772455, 0.116, 0.1, 0.098, 0.118, 0.118, 0.124, 0.104, 0.112, 0.09, 0.134, 0.122, 0.088, 0.096, 0.11, 0.136, 0.106, 0.106, 0.104, 0.10420841683366733]"
1,"[0.21357285429141717, 0.098, 0.086, 0.098, 0.09, 0.118, 0.124, 0.118, 0.09, 0.076, 0.078, 0.084, 0.12, 0.096, 0.096, 0.168, 0.106, 0.098, 0.138, 0.10020040080160321]"
2,"[0.10778443113772455, 0.098, 0.1, 0.174, 0.164, 0.118, 0.124, 0.118, 0.112, 0.09, 0.128, 0.12, 0.15, 0.096, 0.112, 0.108, 0.106, 0.146, 0.104, 0.10420841683366733]"
3,"[0.10179640718562874, 0.306, 0.086, 0.106, 0.09, 0.102, 0.124, 0.118, 0.188, 0.078, 0.078, 0.084, 0.13, 0.096, 0.096, 0.08, 0.106, 0.13, 0.11, 0.13026052104208416]"
4,"[0.10778443113772455, 0.216, 0.1, 0.152, 0.138, 0.106, 0.124, 0.118, 0.216, 0.102, 0.224, 0.272, 0.08, 0.16, 0.19, 0.09, 0.106, 0.176, 0.104, 0.10420841683366733]"
5,"[0.281437125748503, 0.282, 0.12, 0.2, 0.206, 0.102, 0.126, 0.118, 0.218, 0.21, 0.078, 0.14, 0.17, 0.128, 0.164, 0.08, 0.164, 0.17, 0.236, 0.2625250501002004]"
6,"[0.10778443113772455, 0.164, 0.1, 0.1, 0.22, 0.212, 0.272, 0.118, 0.206, 0.236, 0.232, 0.22, 0.08, 0.12, 0.22, 0.108, 0.148, 0.274, 0.25, 0.10420841683366733]"
7,"[0.22554890219560877, 0.252, 0.162, 0.322, 0.278, 0.166, 0.338, 0.2, 0.268, 0.144, 0.078, 0.2, 0.238, 0.26, 0.256, 0.09, 0.192, 0.236, 0.262, 0.3346693386773547]"
8,"[0.17764471057884232, 0.2, 0.146, 0.13, 0.198, 0.324, 0.324, 0.178, 0.2, 0.174, 0.416, 0.188, 0.112, 0.216, 0.214, 0.18, 0.222, 0.302, 0.35, 0.10420841683366733]"
