none,[]
0,"[0.09580838323353294, 0.098, 0.094, 0.082, 0.09, 0.144, 0.078, 0.108, 0.1, 0.102, 0.092, 0.092, 0.106, 0.096, 0.13, 0.116, 0.102, 0.114, 0.104, 0.09819639278557114]"
1,"[0.09580838323353294, 0.108, 0.102, 0.126, 0.092, 0.102, 0.096, 0.118, 0.11, 0.076, 0.094, 0.092, 0.12, 0.084, 0.132, 0.082, 0.122, 0.12, 0.092, 0.10420841683366733]"
2,"[0.17564870259481039, 0.108, 0.1, 0.126, 0.132, 0.146, 0.114, 0.118, 0.11, 0.09, 0.094, 0.196, 0.08, 0.084, 0.116, 0.086, 0.134, 0.104, 0.092, 0.10220440881763528]"
3,"[0.18163672654690619, 0.086, 0.096, 0.126, 0.158, 0.102, 0.126, 0.118, 0.11, 0.076, 0.094, 0.084, 0.12, 0.084, 0.08, 0.12, 0.092, 0.12, 0.092, 0.10420841683366733]"
4,"[0.11776447105788423, 0.086, 0.14, 0.098, 0.134, 0.114, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.084, 0.098, 0.086, 0.092, 0.104, 0.092, 0.09018036072144289]"
5,"[0.11776447105788423, 0.086, 0.12, 0.098, 0.092, 0.102, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.142, 0.084, 0.116, 0.086, 0.092, 0.12, 0.092, 0.09018036072144289]"
6,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.128, 0.12, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.162, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
7,"[0.11776447105788423, 0.086, 0.136, 0.098, 0.09, 0.102, 0.126, 0.118, 0.098, 0.146, 0.094, 0.128, 0.122, 0.084, 0.116, 0.08, 0.092, 0.17, 0.092, 0.09018036072144289]"
8,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.142, 0.168, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
9,"[0.11776447105788423, 0.086, 0.138, 0.098, 0.09, 0.102, 0.126, 0.118, 0.138, 0.16, 0.094, 0.162, 0.12, 0.106, 0.116, 0.08, 0.092, 0.134, 0.092, 0.09018036072144289]"
10,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.134, 0.17, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
11,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.088, 0.18, 0.094, 0.168, 0.112, 0.076, 0.116, 0.08, 0.092, 0.092, 0.092, 0.12625250501002003]"
12,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.144, 0.178, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.108, 0.092, 0.104, 0.092, 0.09018036072144289]"
13,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.09, 0.178, 0.094, 0.15, 0.1, 0.076, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
14,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.156, 0.16, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.114, 0.092, 0.104, 0.092, 0.09018036072144289]"
15,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.094, 0.196, 0.094, 0.17, 0.1, 0.08, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
16,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.172, 0.112, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.09018036072144289]"
17,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.192, 0.194, 0.094, 0.166, 0.1, 0.084, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
18,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.166, 0.102, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.09018036072144289]"
19,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.118, 0.084, 0.188, 0.094, 0.192, 0.1, 0.084, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
20,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.196, 0.102, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.1062124248496994]"
21,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.15, 0.084, 0.136, 0.094, 0.186, 0.1, 0.084, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
22,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.204, 0.116, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.09018036072144289]"
23,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.154, 0.084, 0.182, 0.094, 0.188, 0.098, 0.084, 0.116, 0.08, 0.092, 0.092, 0.092, 0.09018036072144289]"
24,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.202, 0.154, 0.126, 0.118, 0.11, 0.09, 0.104, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.11022044088176353]"
25,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.154, 0.084, 0.198, 0.094, 0.138, 0.098, 0.084, 0.116, 0.08, 0.092, 0.092, 0.112, 0.09619238476953908]"
26,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.202, 0.17, 0.128, 0.118, 0.11, 0.09, 0.154, 0.118, 0.08, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.1523046092184369]"
27,"[0.11976047904191617, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.148, 0.084, 0.212, 0.094, 0.102, 0.098, 0.084, 0.116, 0.088, 0.13, 0.092, 0.186, 0.09619238476953908]"
28,"[0.11776447105788423, 0.092, 0.102, 0.098, 0.204, 0.178, 0.192, 0.118, 0.11, 0.09, 0.174, 0.118, 0.088, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.18036072144288579]"
29,"[0.12974051896207583, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.148, 0.084, 0.216, 0.094, 0.106, 0.098, 0.086, 0.116, 0.098, 0.172, 0.092, 0.21, 0.09018036072144289]"
30,"[0.11776447105788423, 0.108, 0.102, 0.098, 0.204, 0.184, 0.204, 0.118, 0.11, 0.094, 0.168, 0.124, 0.1, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.18036072144288579]"
31,"[0.13972055888223553, 0.086, 0.1, 0.142, 0.09, 0.102, 0.126, 0.146, 0.084, 0.218, 0.094, 0.136, 0.098, 0.1, 0.116, 0.112, 0.174, 0.092, 0.214, 0.09018036072144289]"
32,"[0.11776447105788423, 0.11, 0.102, 0.098, 0.206, 0.186, 0.204, 0.118, 0.11, 0.106, 0.174, 0.132, 0.11, 0.096, 0.116, 0.116, 0.092, 0.104, 0.092, 0.16633266533066132]"
33,"[0.1497005988023952, 0.086, 0.1, 0.182, 0.09, 0.102, 0.126, 0.156, 0.084, 0.22, 0.094, 0.096, 0.098, 0.096, 0.116, 0.128, 0.138, 0.092, 0.224, 0.09018036072144289]"
34,"[0.11776447105788423, 0.122, 0.106, 0.098, 0.204, 0.186, 0.218, 0.118, 0.11, 0.118, 0.192, 0.148, 0.126, 0.096, 0.124, 0.116, 0.092, 0.104, 0.092, 0.18236472945891782]"
35,"[0.1596806387225549, 0.086, 0.1, 0.198, 0.09, 0.102, 0.126, 0.156, 0.084, 0.21, 0.094, 0.11, 0.106, 0.108, 0.116, 0.13, 0.196, 0.092, 0.23, 0.09018036072144289]"
36,"[0.11776447105788423, 0.126, 0.134, 0.098, 0.204, 0.184, 0.214, 0.118, 0.11, 0.134, 0.192, 0.176, 0.132, 0.096, 0.132, 0.116, 0.092, 0.104, 0.092, 0.18236472945891782]"
37,"[0.17564870259481039, 0.086, 0.1, 0.198, 0.09, 0.102, 0.126, 0.158, 0.084, 0.198, 0.094, 0.106, 0.124, 0.12, 0.116, 0.136, 0.152, 0.092, 0.234, 0.09218436873747494]"
38,"[0.11776447105788423, 0.136, 0.148, 0.098, 0.206, 0.178, 0.208, 0.118, 0.11, 0.15, 0.204, 0.192, 0.144, 0.098, 0.142, 0.116, 0.092, 0.104, 0.092, 0.1523046092184369]"
39,"[0.18363273453093812, 0.086, 0.1, 0.198, 0.09, 0.102, 0.126, 0.158, 0.084, 0.188, 0.094, 0.132, 0.134, 0.134, 0.116, 0.138, 0.154, 0.11, 0.258, 0.09018036072144289]"
40,"[0.11776447105788423, 0.144, 0.15, 0.098, 0.224, 0.178, 0.2, 0.118, 0.11, 0.156, 0.218, 0.202, 0.158, 0.1, 0.162, 0.116, 0.092, 0.104, 0.092, 0.1903807615230461]"
41,"[0.18962075848303392, 0.086, 0.1, 0.194, 0.09, 0.102, 0.126, 0.162, 0.084, 0.188, 0.094, 0.158, 0.13, 0.14, 0.116, 0.144, 0.204, 0.104, 0.252, 0.09018036072144289]"
42,"[0.11776447105788423, 0.154, 0.16, 0.098, 0.21, 0.178, 0.19, 0.118, 0.11, 0.156, 0.214, 0.202, 0.174, 0.114, 0.176, 0.12, 0.092, 0.104, 0.092, 0.1402805611222445]"
43,"[0.18962075848303392, 0.088, 0.1, 0.244, 0.11, 0.102, 0.126, 0.166, 0.084, 0.184, 0.094, 0.148, 0.144, 0.152, 0.116, 0.15, 0.174, 0.136, 0.224, 0.09218436873747494]"
44,"[0.11776447105788423, 0.166, 0.168, 0.098, 0.212, 0.18, 0.184, 0.118, 0.11, 0.166, 0.222, 0.216, 0.19, 0.15, 0.19, 0.124, 0.092, 0.104, 0.092, 0.18637274549098196]"
