eigenvector_centrality,"[0, 14]"
0,"[0.08977556109725686, 0.095, 0.075, 0.0925, 0.095, 0.1, 0.1625, 0.165, 0.085, 0.0875, 0.1125, 0.115, 0.0725, 0.305, 0.085, 0.1075, 0.1075, 0.17, 0.1175, 0.1125, 0.1075, 0.115, 0.0725, 0.115, 0.12280701754385964]"
1,"[0.09975062344139651, 0.0975, 0.075, 0.0925, 0.095, 0.0775, 0.125, 0.0975, 0.085, 0.1125, 0.085, 0.115, 0.105, 0.1, 0.1075, 0.085, 0.0925, 0.0725, 0.0925, 0.1125, 0.1075, 0.115, 0.12, 0.1225, 0.10275689223057644]"
2,"[0.08229426433915212, 0.095, 0.075, 0.075, 0.095, 0.1, 0.08, 0.1225, 0.085, 0.0875, 0.1225, 0.115, 0.0725, 0.115, 0.085, 0.0875, 0.0925, 0.095, 0.0925, 0.1125, 0.1075, 0.115, 0.1025, 0.0875, 0.12280701754385964]"
3,"[0.09975062344139651, 0.0975, 0.075, 0.0925, 0.095, 0.13, 0.125, 0.0975, 0.085, 0.1125, 0.1125, 0.115, 0.105, 0.1, 0.105, 0.085, 0.0925, 0.1, 0.0925, 0.0875, 0.1075, 0.1025, 0.1025, 0.1225, 0.10275689223057644]"
4,"[0.08229426433915212, 0.1425, 0.075, 0.085, 0.095, 0.1, 0.08, 0.1225, 0.1825, 0.0875, 0.115, 0.115, 0.0725, 0.115, 0.085, 0.0875, 0.0925, 0.1075, 0.0925, 0.1275, 0.1075, 0.115, 0.1025, 0.0875, 0.12280701754385964]"
5,"[0.09975062344139651, 0.0975, 0.075, 0.0925, 0.095, 0.13, 0.125, 0.0975, 0.145, 0.1125, 0.1125, 0.115, 0.1375, 0.1, 0.105, 0.095, 0.165, 0.1, 0.0925, 0.0875, 0.1075, 0.1025, 0.1025, 0.1225, 0.10275689223057644]"
6,"[0.08229426433915212, 0.105, 0.075, 0.0975, 0.095, 0.1, 0.085, 0.2025, 0.215, 0.0875, 0.1425, 0.115, 0.09, 0.21, 0.13, 0.095, 0.205, 0.105, 0.2025, 0.16, 0.1075, 0.115, 0.16, 0.0875, 0.21804511278195488]"
7,"[0.1970074812967581, 0.1425, 0.085, 0.145, 0.1525, 0.1975, 0.15, 0.0975, 0.1725, 0.1125, 0.1475, 0.14, 0.1, 0.12, 0.1275, 0.16, 0.1475, 0.1325, 0.205, 0.1325, 0.2125, 0.1275, 0.155, 0.165, 0.10275689223057644]"
8,"[0.09226932668329177, 0.1625, 0.1475, 0.125, 0.1775, 0.12, 0.205, 0.23, 0.14, 0.1825, 0.145, 0.1525, 0.135, 0.21, 0.1025, 0.1125, 0.1425, 0.1375, 0.1725, 0.1425, 0.1625, 0.1175, 0.1, 0.0875, 0.19799498746867167]"
9,"[0.22194513715710723, 0.105, 0.2225, 0.2025, 0.1475, 0.1575, 0.3475, 0.18, 0.175, 0.1775, 0.13, 0.1375, 0.2125, 0.1725, 0.175, 0.2675, 0.2025, 0.155, 0.2375, 0.2975, 0.305, 0.2325, 0.23, 0.2875, 0.17794486215538846]"
10,"[0.2119700748129676, 0.4, 0.205, 0.185, 0.3125, 0.295, 0.2425, 0.2175, 0.345, 0.2725, 0.2925, 0.325, 0.23, 0.215, 0.2325, 0.1025, 0.15, 0.415, 0.2325, 0.1725, 0.285, 0.2575, 0.11, 0.0875, 0.17794486215538846]"
11,"[0.38154613466334164, 0.1225, 0.3525, 0.46, 0.18, 0.2025, 0.47, 0.3125, 0.2375, 0.3225, 0.3225, 0.175, 0.3875, 0.3125, 0.225, 0.35, 0.3725, 0.18, 0.3175, 0.4575, 0.375, 0.4675, 0.4525, 0.4375, 0.2606516290726817]"
12,"[0.33665835411471323, 0.45, 0.2075, 0.425, 0.3625, 0.38, 0.1825, 0.1825, 0.4075, 0.4475, 0.3025, 0.425, 0.285, 0.29, 0.395, 0.14, 0.265, 0.465, 0.43, 0.185, 0.2775, 0.3075, 0.1575, 0.1375, 0.2731829573934837]"
13,"[0.38902743142144636, 0.17, 0.3425, 0.4425, 0.1925, 0.3475, 0.4275, 0.4025, 0.3075, 0.32, 0.29, 0.1525, 0.35, 0.38, 0.305, 0.3725, 0.3175, 0.1775, 0.43, 0.405, 0.355, 0.345, 0.405, 0.415, 0.3583959899749373]"
14,"[0.34413965087281795, 0.4125, 0.1975, 0.3225, 0.3175, 0.4025, 0.2825, 0.1925, 0.315, 0.3875, 0.26, 0.305, 0.315, 0.3125, 0.2675, 0.2525, 0.1975, 0.3375, 0.33, 0.1625, 0.2775, 0.2675, 0.225, 0.1725, 0.3659147869674185]"
15,"[0.3640897755610973, 0.245, 0.305, 0.32, 0.235, 0.395, 0.38, 0.3525, 0.2, 0.3575, 0.155, 0.24, 0.2475, 0.3925, 0.3, 0.36, 0.3025, 0.1975, 0.3875, 0.3, 0.255, 0.225, 0.405, 0.37, 0.3508771929824561]"
16,"[0.26683291770573564, 0.3625, 0.1575, 0.3025, 0.285, 0.41, 0.3825, 0.2125, 0.2725, 0.365, 0.265, 0.27, 0.335, 0.265, 0.2175, 0.17, 0.16, 0.32, 0.295, 0.2, 0.2775, 0.2575, 0.3, 0.27, 0.3458646616541353]"
17,"[0.3092269326683292, 0.2025, 0.2975, 0.28, 0.2925, 0.355, 0.3575, 0.2875, 0.1975, 0.3675, 0.1675, 0.2725, 0.2575, 0.3775, 0.29, 0.3075, 0.27, 0.28, 0.3175, 0.2975, 0.235, 0.2275, 0.335, 0.3875, 0.3233082706766917]"
18,"[0.2718204488778055, 0.3175, 0.275, 0.3025, 0.285, 0.4425, 0.4125, 0.2225, 0.255, 0.37, 0.26, 0.27, 0.3325, 0.285, 0.235, 0.18, 0.1925, 0.32, 0.285, 0.255, 0.2825, 0.2575, 0.3625, 0.35, 0.3157894736842105]"
