eigenvector_centrality,"[4, 0]"
0,"[0.07481296758104738, 0.1075, 0.11, 0.09, 0.1, 0.1325, 0.0875, 0.0925, 0.1125, 0.085, 0.1275, 0.1975, 0.1075, 0.0875, 0.125, 0.1075, 0.09, 0.115, 0.08, 0.155, 0.2075, 0.09, 0.115, 0.21, 0.12030075187969924]"
1,"[0.08977556109725686, 0.0775, 0.1, 0.095, 0.0975, 0.085, 0.0675, 0.12, 0.12, 0.1175, 0.0775, 0.1, 0.1075, 0.0875, 0.12, 0.1075, 0.09, 0.1, 0.08, 0.08, 0.205, 0.1175, 0.115, 0.0925, 0.07769423558897243]"
2,"[0.07481296758104738, 0.1075, 0.11, 0.095, 0.225, 0.085, 0.0875, 0.0925, 0.12, 0.085, 0.1325, 0.1025, 0.1075, 0.0875, 0.12, 0.1075, 0.09, 0.1, 0.08, 0.08, 0.12, 0.09, 0.115, 0.0875, 0.07769423558897243]"
3,"[0.08977556109725686, 0.1, 0.11, 0.095, 0.0975, 0.085, 0.0675, 0.12, 0.12, 0.085, 0.0775, 0.1, 0.1075, 0.0875, 0.12, 0.115, 0.09, 0.1, 0.0625, 0.08, 0.18, 0.1025, 0.115, 0.065, 0.07769423558897243]"
4,"[0.1172069825436409, 0.1, 0.11, 0.095, 0.095, 0.08, 0.11, 0.0925, 0.12, 0.1525, 0.11, 0.1025, 0.1075, 0.0875, 0.12, 0.1175, 0.09, 0.1, 0.08, 0.08, 0.1025, 0.09, 0.115, 0.0875, 0.15789473684210525]"
5,"[0.11970074812967581, 0.1, 0.13, 0.0925, 0.095, 0.08, 0.11, 0.0875, 0.12, 0.1175, 0.11, 0.09, 0.1075, 0.0875, 0.12, 0.0775, 0.09, 0.1, 0.1175, 0.08, 0.1025, 0.09, 0.16, 0.0875, 0.09774436090225563]"
6,"[0.11970074812967581, 0.1, 0.095, 0.0925, 0.095, 0.08, 0.11, 0.1175, 0.12, 0.1175, 0.11, 0.09, 0.16, 0.0875, 0.12, 0.0775, 0.09, 0.1, 0.1175, 0.08, 0.1025, 0.09, 0.095, 0.0875, 0.09774436090225563]"
7,"[0.11970074812967581, 0.1, 0.095, 0.0925, 0.0975, 0.1325, 0.11, 0.14, 0.12, 0.1175, 0.11, 0.09, 0.1075, 0.0875, 0.12, 0.0775, 0.09, 0.1, 0.1175, 0.08, 0.1025, 0.105, 0.185, 0.0875, 0.09774436090225563]"
8,"[0.14214463840399003, 0.14, 0.1475, 0.17, 0.13, 0.0875, 0.195, 0.1175, 0.145, 0.1625, 0.165, 0.1025, 0.2125, 0.0875, 0.12, 0.1575, 0.09, 0.12, 0.1725, 0.1575, 0.1075, 0.1075, 0.18, 0.0875, 0.09774436090225563]"
9,"[0.14962593516209477, 0.1675, 0.11, 0.1525, 0.1625, 0.1, 0.205, 0.2925, 0.1575, 0.195, 0.155, 0.135, 0.16, 0.1875, 0.16, 0.1575, 0.17, 0.18, 0.18, 0.1375, 0.1725, 0.1375, 0.105, 0.1425, 0.18546365914786966]"
10,"[0.19950124688279303, 0.145, 0.1725, 0.1225, 0.1575, 0.155, 0.12, 0.1925, 0.1625, 0.1525, 0.13, 0.12, 0.1475, 0.1775, 0.185, 0.215, 0.1625, 0.16, 0.205, 0.1425, 0.2, 0.1225, 0.17, 0.175, 0.17543859649122806]"
11,"[0.2543640897755611, 0.1575, 0.1975, 0.1925, 0.3525, 0.3125, 0.2775, 0.2275, 0.1475, 0.175, 0.18, 0.3475, 0.1925, 0.1625, 0.35, 0.155, 0.3575, 0.175, 0.18, 0.2125, 0.34, 0.345, 0.33, 0.35, 0.3308270676691729]"
12,"[0.18204488778054864, 0.305, 0.1775, 0.365, 0.19, 0.15, 0.1325, 0.3175, 0.375, 0.235, 0.2825, 0.14, 0.2325, 0.335, 0.185, 0.25, 0.165, 0.295, 0.3275, 0.2975, 0.185, 0.155, 0.1625, 0.1525, 0.17794486215538846]"
13,"[0.2194513715710723, 0.17, 0.1125, 0.16, 0.2275, 0.2875, 0.35, 0.22, 0.19, 0.1925, 0.14, 0.3075, 0.2575, 0.18, 0.2325, 0.16, 0.2625, 0.19, 0.1875, 0.245, 0.28, 0.29, 0.295, 0.335, 0.2706766917293233]"
14,"[0.12967581047381546, 0.325, 0.1775, 0.355, 0.215, 0.0975, 0.1725, 0.39, 0.3075, 0.345, 0.3175, 0.14, 0.1875, 0.3175, 0.185, 0.3325, 0.17, 0.335, 0.28, 0.235, 0.1625, 0.1625, 0.1125, 0.1175, 0.18045112781954886]"
15,"[0.314214463840399, 0.1725, 0.13, 0.095, 0.285, 0.3525, 0.405, 0.18, 0.1825, 0.2225, 0.12, 0.3525, 0.3175, 0.185, 0.295, 0.2125, 0.315, 0.185, 0.2225, 0.1775, 0.33, 0.3225, 0.3425, 0.3375, 0.2882205513784461]"
