eigenvector_centrality,"[0, 14, 9, 15, 21]"
0,"[tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
1,"[tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
2,"[tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
3,"[tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
4,"[tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
5,"[tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
6,"[tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0058, device='cuda:1')]"
7,"[tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1')]"
8,"[tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1')]"
9,"[tensor(0.0056, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0057, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0057, device='cuda:1')]"
