eigenvector_centrality,"[23, 11]"
0,"[0.14463840399002495, 0.095, 0.095, 0.095, 0.095, 0.1025, 0.0875, 0.1175, 0.12, 0.085, 0.11, 0.12, 0.095, 0.11, 0.1225, 0.0775, 0.18, 0.1, 0.0925, 0.1325, 0.135, 0.105, 0.0725, 0.12, 0.10275689223057644]"
1,"[0.10473815461346633, 0.095, 0.11, 0.0925, 0.0825, 0.1025, 0.11, 0.1175, 0.12, 0.1125, 0.11, 0.1, 0.0725, 0.0875, 0.12, 0.0775, 0.1175, 0.11, 0.1175, 0.1325, 0.1025, 0.09, 0.12, 0.0875, 0.09523809523809523]"
2,"[0.11970074812967581, 0.095, 0.11, 0.0975, 0.095, 0.08, 0.0875, 0.1175, 0.12, 0.1, 0.11, 0.1, 0.1075, 0.11, 0.12, 0.0775, 0.075, 0.1, 0.1175, 0.1325, 0.1025, 0.09, 0.12, 0.0875, 0.10275689223057644]"
3,"[0.11970074812967581, 0.1, 0.11, 0.0925, 0.095, 0.1025, 0.11, 0.1175, 0.12, 0.085, 0.11, 0.1, 0.0625, 0.0875, 0.12, 0.0775, 0.09, 0.11, 0.1175, 0.08, 0.1025, 0.09, 0.12, 0.0875, 0.15288220551378445]"
4,"[0.11970074812967581, 0.045, 0.1, 0.095, 0.095, 0.08, 0.0875, 0.1175, 0.12, 0.1175, 0.11, 0.1, 0.1075, 0.0875, 0.12, 0.0775, 0.075, 0.1, 0.1175, 0.2, 0.1025, 0.09, 0.12, 0.0875, 0.14786967418546365]"
5,"[0.11970074812967581, 0.1, 0.115, 0.0925, 0.095, 0.08, 0.11, 0.1175, 0.12, 0.085, 0.11, 0.0525, 0.1075, 0.0875, 0.12, 0.0775, 0.09, 0.065, 0.1175, 0.08, 0.1025, 0.09, 0.12, 0.0875, 0.14035087719298245]"
6,"[0.1396508728179551, 0.1, 0.175, 0.095, 0.1625, 0.08, 0.11, 0.1175, 0.1275, 0.1175, 0.11, 0.1, 0.1075, 0.0875, 0.12, 0.0775, 0.075, 0.1, 0.1175, 0.12, 0.1025, 0.09, 0.1375, 0.0875, 0.15288220551378445]"
7,"[0.19201995012468828, 0.16, 0.12, 0.125, 0.1325, 0.09, 0.1275, 0.1725, 0.195, 0.125, 0.16, 0.1275, 0.0925, 0.1375, 0.0925, 0.155, 0.09, 0.155, 0.17, 0.1625, 0.185, 0.0825, 0.11, 0.1, 0.14285714285714285]"
8,"[0.11221945137157108, 0.0925, 0.15, 0.11, 0.16, 0.1625, 0.1225, 0.195, 0.105, 0.165, 0.1275, 0.08, 0.18, 0.125, 0.1075, 0.1275, 0.1025, 0.1425, 0.115, 0.0975, 0.1425, 0.1025, 0.15, 0.1125, 0.12531328320802004]"
9,"[0.1172069825436409, 0.1, 0.2125, 0.1425, 0.135, 0.09, 0.115, 0.185, 0.1125, 0.0925, 0.11, 0.1525, 0.08, 0.155, 0.0775, 0.1625, 0.1175, 0.1175, 0.1675, 0.1425, 0.1125, 0.08, 0.0925, 0.1425, 0.11528822055137844]"
10,"[0.1172069825436409, 0.1775, 0.125, 0.2175, 0.1525, 0.135, 0.16, 0.2425, 0.105, 0.085, 0.225, 0.08, 0.095, 0.1225, 0.3125, 0.1725, 0.1025, 0.19, 0.1425, 0.1875, 0.3075, 0.2225, 0.22, 0.1, 0.13032581453634084]"
11,"[0.23192019950124687, 0.0775, 0.35, 0.095, 0.3325, 0.145, 0.115, 0.245, 0.1175, 0.1275, 0.0975, 0.215, 0.1275, 0.295, 0.08, 0.4225, 0.1175, 0.1225, 0.32, 0.1475, 0.19, 0.08, 0.075, 0.465, 0.2631578947368421]"
12,"[0.22194513715710723, 0.34, 0.1125, 0.2975, 0.135, 0.1525, 0.2575, 0.3625, 0.1325, 0.085, 0.3475, 0.08, 0.095, 0.1225, 0.4225, 0.135, 0.1425, 0.43, 0.115, 0.2775, 0.4075, 0.37, 0.2025, 0.1575, 0.11027568922305764]"
13,"[0.3940149625935162, 0.0775, 0.3, 0.095, 0.305, 0.2275, 0.175, 0.39, 0.2175, 0.26, 0.0825, 0.275, 0.2475, 0.355, 0.08, 0.255, 0.12, 0.1275, 0.3, 0.1225, 0.1675, 0.1075, 0.075, 0.3425, 0.3283208020050125]"
14,"[0.24438902743142144, 0.3025, 0.1125, 0.2825, 0.155, 0.3225, 0.285, 0.3575, 0.2525, 0.1675, 0.24, 0.0825, 0.195, 0.14, 0.2375, 0.1175, 0.2775, 0.32, 0.1125, 0.2675, 0.26, 0.35, 0.235, 0.1525, 0.15538847117794485]"
15,"[0.28428927680798005, 0.13, 0.265, 0.1075, 0.29, 0.205, 0.345, 0.3475, 0.3275, 0.2925, 0.0825, 0.295, 0.3, 0.26, 0.0975, 0.2525, 0.2425, 0.15, 0.2175, 0.1875, 0.1975, 0.15, 0.0825, 0.2375, 0.3283208020050125]"
16,"[0.24438902743142144, 0.335, 0.1225, 0.335, 0.1875, 0.3475, 0.2675, 0.3525, 0.2575, 0.2525, 0.225, 0.15, 0.2825, 0.1325, 0.245, 0.1175, 0.27, 0.315, 0.1125, 0.3275, 0.2675, 0.34, 0.2575, 0.165, 0.19298245614035087]"
17,"[0.26932668329177056, 0.15, 0.2775, 0.16, 0.3, 0.1875, 0.3575, 0.3075, 0.3125, 0.2625, 0.0825, 0.3275, 0.2625, 0.275, 0.13, 0.2725, 0.275, 0.2025, 0.23, 0.195, 0.2375, 0.16, 0.1425, 0.225, 0.3032581453634085]"
18,"[0.22693266832917705, 0.345, 0.145, 0.3675, 0.1875, 0.325, 0.285, 0.3025, 0.2075, 0.2825, 0.2475, 0.1775, 0.3225, 0.1525, 0.2525, 0.1175, 0.225, 0.32, 0.1125, 0.3325, 0.265, 0.3225, 0.2975, 0.1875, 0.21303258145363407]"
19,"[0.286783042394015, 0.15, 0.295, 0.1625, 0.335, 0.1875, 0.3175, 0.335, 0.2725, 0.24, 0.0825, 0.345, 0.2375, 0.305, 0.17, 0.2775, 0.2325, 0.1775, 0.2525, 0.175, 0.245, 0.1525, 0.1625, 0.2375, 0.3007518796992481]"
20,"[0.20199501246882792, 0.3675, 0.1625, 0.395, 0.2325, 0.2775, 0.305, 0.3075, 0.205, 0.26, 0.2575, 0.17, 0.3075, 0.2475, 0.26, 0.1225, 0.215, 0.3075, 0.115, 0.355, 0.26, 0.295, 0.3075, 0.205, 0.3007518796992481]"
21,"[0.30423940149625933, 0.2325, 0.2875, 0.155, 0.3475, 0.1775, 0.2975, 0.3125, 0.2375, 0.23, 0.085, 0.3775, 0.24, 0.31, 0.21, 0.2775, 0.2275, 0.1825, 0.2725, 0.245, 0.1875, 0.2075, 0.1625, 0.25, 0.3383458646616541]"
22,"[0.19950124688279303, 0.395, 0.17, 0.4125, 0.2525, 0.27, 0.3525, 0.3375, 0.2, 0.2525, 0.2575, 0.1675, 0.28, 0.31, 0.2625, 0.14, 0.21, 0.315, 0.1275, 0.345, 0.26, 0.2875, 0.3175, 0.2425, 0.3032581453634085]"
23,"[0.29925187032418954, 0.265, 0.2975, 0.2375, 0.3575, 0.175, 0.2825, 0.31, 0.235, 0.23, 0.1125, 0.3925, 0.235, 0.31, 0.1775, 0.2775, 0.24, 0.195, 0.2825, 0.2825, 0.1375, 0.2075, 0.1525, 0.2475, 0.39348370927318294]"
24,"[0.20947630922693267, 0.3875, 0.2175, 0.3725, 0.2675, 0.2675, 0.425, 0.3025, 0.2, 0.255, 0.2625, 0.205, 0.28, 0.3525, 0.2725, 0.17, 0.1975, 0.32, 0.16, 0.285, 0.265, 0.29, 0.335, 0.27, 0.2781954887218045]"
25,"[0.2967581047381546, 0.285, 0.31, 0.2025, 0.33, 0.1775, 0.275, 0.32, 0.2275, 0.195, 0.15, 0.3475, 0.2175, 0.3, 0.15, 0.28, 0.2475, 0.215, 0.2825, 0.2925, 0.155, 0.215, 0.1875, 0.4375, 0.37844611528822053]"
26,"[0.20698254364089774, 0.445, 0.3025, 0.33, 0.2675, 0.2725, 0.4275, 0.2675, 0.2, 0.255, 0.2625, 0.41, 0.265, 0.33, 0.29, 0.205, 0.16, 0.33, 0.2175, 0.3175, 0.2725, 0.2925, 0.42, 0.5525, 0.2656641604010025]"
27,"[0.286783042394015, 0.2825, 0.355, 0.2475, 0.3475, 0.175, 0.2925, 0.3075, 0.235, 0.175, 0.1975, 0.44, 0.21, 0.3075, 0.22, 0.29, 0.235, 0.2325, 0.3025, 0.2725, 0.2425, 0.23, 0.19, 0.345, 0.3533834586466165]"
28,"[0.24438902743142144, 0.4175, 0.2875, 0.375, 0.2625, 0.27, 0.4225, 0.2875, 0.1775, 0.25, 0.27, 0.4225, 0.2625, 0.3, 0.285, 0.2025, 0.15, 0.33, 0.25, 0.295, 0.245, 0.275, 0.3825, 0.31, 0.2656641604010025]"
29,"[0.2793017456359102, 0.285, 0.3825, 0.295, 0.35, 0.19, 0.2975, 0.3, 0.235, 0.1925, 0.24, 0.4775, 0.205, 0.2875, 0.225, 0.2875, 0.2375, 0.4175, 0.2925, 0.2725, 0.31, 0.235, 0.3775, 0.5575, 0.3583959899749373]"
30,"[0.23192019950124687, 0.3725, 0.345, 0.35, 0.28, 0.2675, 0.395, 0.2975, 0.19, 0.2425, 0.2725, 0.3725, 0.2575, 0.3525, 0.2675, 0.2775, 0.165, 0.33, 0.325, 0.28, 0.2425, 0.2675, 0.3575, 0.325, 0.2781954887218045]"
31,"[0.2892768079800499, 0.32, 0.38, 0.3125, 0.3425, 0.22, 0.305, 0.2975, 0.235, 0.2, 0.2925, 0.43, 0.2225, 0.2975, 0.2425, 0.285, 0.245, 0.5175, 0.28, 0.2775, 0.2625, 0.2775, 0.3525, 0.53, 0.3383458646616541]"
32,"[0.256857855361596, 0.3425, 0.3475, 0.345, 0.2875, 0.2625, 0.4225, 0.2975, 0.195, 0.2475, 0.2625, 0.3725, 0.2775, 0.4575, 0.2775, 0.3, 0.18, 0.325, 0.4, 0.2975, 0.255, 0.2975, 0.33, 0.365, 0.2756892230576441]"
