eigenvector_centrality,"[6, 7]"
0,"[0.08977556109725686, 0.0775, 0.1125, 0.1075, 0.12, 0.085, 0.1275, 0.12, 0.085, 0.1075, 0.0875, 0.0875, 0.135, 0.0925, 0.085, 0.1075, 0.1175, 0.0475, 0.1075, 0.1125, 0.0975, 0.1025, 0.1, 0.0975, 0.10275689223057644]"
1,"[0.08728179551122195, 0.0875, 0.0975, 0.0975, 0.12, 0.085, 0.1275, 0.0975, 0.085, 0.1075, 0.1475, 0.035, 0.08, 0.115, 0.075, 0.1075, 0.1175, 0.1125, 0.0925, 0.1325, 0.085, 0.11, 0.07, 0.1, 0.10275689223057644]"
2,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1275, 0.12, 0.085, 0.0925, 0.1075, 0.0875, 0.0625, 0.115, 0.0575, 0.1075, 0.1025, 0.1125, 0.1, 0.1325, 0.085, 0.1025, 0.0725, 0.0975, 0.10275689223057644]"
3,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1275, 0.105, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.0925, 0.1325, 0.135, 0.1025, 0.075, 0.1, 0.10275689223057644]"
4,"[0.11471321695760599, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.175, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.1325, 0.115, 0.075, 0.2125, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.1025, 0.15, 0.0975, 0.10275689223057644]"
5,"[0.11221945137157108, 0.085, 0.115, 0.1125, 0.125, 0.085, 0.1425, 0.1225, 0.095, 0.0925, 0.1075, 0.0875, 0.0925, 0.115, 0.075, 0.1575, 0.1175, 0.075, 0.095, 0.1, 0.1425, 0.23, 0.06, 0.1475, 0.10275689223057644]"
6,"[0.0798004987531172, 0.085, 0.105, 0.115, 0.0925, 0.1275, 0.1075, 0.1225, 0.1225, 0.08, 0.0875, 0.0875, 0.195, 0.06, 0.065, 0.2175, 0.1175, 0.075, 0.1875, 0.105, 0.1425, 0.18, 0.0675, 0.0875, 0.07017543859649122]"
7,"[0.0773067331670823, 0.08, 0.1125, 0.075, 0.11, 0.165, 0.12, 0.0975, 0.1125, 0.085, 0.0975, 0.0775, 0.0975, 0.1375, 0.0725, 0.1775, 0.1175, 0.0725, 0.21, 0.115, 0.1475, 0.16, 0.08, 0.165, 0.14285714285714285]"
8,"[0.09725685785536159, 0.0825, 0.16, 0.105, 0.11, 0.13, 0.115, 0.1175, 0.115, 0.1125, 0.1075, 0.1525, 0.19, 0.0775, 0.09, 0.1625, 0.1175, 0.0725, 0.1825, 0.1625, 0.155, 0.17, 0.085, 0.12, 0.15789473684210525]"
9,"[0.09725685785536159, 0.1925, 0.1425, 0.2325, 0.16, 0.2, 0.1825, 0.19, 0.12, 0.085, 0.16, 0.0775, 0.1475, 0.21, 0.1925, 0.2275, 0.225, 0.2425, 0.2225, 0.17, 0.285, 0.1975, 0.1675, 0.1975, 0.19548872180451127]"
