eigenvector_centrality,"[19, 8, 16, 5]"
0,"[0.07784431137724551, 0.102, 0.074, 0.098, 0.13, 0.082, 0.15, 0.094, 0.07, 0.112, 0.134, 0.118, 0.11, 0.186, 0.102, 0.108, 0.098, 0.098, 0.206, 0.10420841683366733]"
1,"[0.09580838323353294, 0.088, 0.074, 0.082, 0.112, 0.118, 0.152, 0.086, 0.096, 0.09, 0.098, 0.12, 0.088, 0.096, 0.092, 0.118, 0.098, 0.098, 0.102, 0.10420841683366733]"
2,"[0.07784431137724551, 0.098, 0.074, 0.082, 0.122, 0.118, 0.174, 0.094, 0.11, 0.138, 0.12, 0.094, 0.11, 0.096, 0.116, 0.114, 0.088, 0.12, 0.102, 0.10420841683366733]"
3,"[0.09580838323353294, 0.088, 0.33, 0.138, 0.132, 0.118, 0.29, 0.094, 0.146, 0.09, 0.182, 0.216, 0.108, 0.096, 0.092, 0.082, 0.288, 0.092, 0.102, 0.10420841683366733]"
4,"[0.22355289421157684, 0.152, 0.258, 0.208, 0.186, 0.242, 0.188, 0.094, 0.14, 0.146, 0.12, 0.238, 0.248, 0.106, 0.192, 0.108, 0.338, 0.128, 0.102, 0.13026052104208416]"
5,"[0.20359281437125748, 0.152, 0.262, 0.122, 0.198, 0.274, 0.338, 0.094, 0.19, 0.134, 0.214, 0.196, 0.164, 0.258, 0.176, 0.23, 0.178, 0.142, 0.214, 0.14228456913827656]"
6,"[0.1277445109780439, 0.126, 0.31, 0.284, 0.212, 0.258, 0.154, 0.094, 0.304, 0.246, 0.198, 0.138, 0.224, 0.108, 0.192, 0.114, 0.476, 0.186, 0.102, 0.20440881763527055]"
7,"[0.18762475049900199, 0.174, 0.408, 0.132, 0.192, 0.282, 0.422, 0.156, 0.198, 0.256, 0.148, 0.22, 0.334, 0.492, 0.182, 0.396, 0.19, 0.18, 0.202, 0.20841683366733466]"
8,"[0.24550898203592814, 0.228, 0.322, 0.422, 0.294, 0.318, 0.14, 0.196, 0.35, 0.252, 0.292, 0.21, 0.378, 0.128, 0.234, 0.176, 0.454, 0.232, 0.124, 0.30861723446893785]"
9,"[0.10179640718562874, 0.256, 0.484, 0.14, 0.274, 0.31, 0.41, 0.246, 0.262, 0.26, 0.262, 0.204, 0.388, 0.462, 0.23, 0.46, 0.184, 0.198, 0.256, 0.342685370741483]"
10,"[0.25349301397205587, 0.296, 0.302, 0.426, 0.298, 0.238, 0.14, 0.42, 0.258, 0.256, 0.348, 0.186, 0.44, 0.182, 0.282, 0.182, 0.422, 0.308, 0.196, 0.3046092184368738]"
11,"[0.16167664670658682, 0.292, 0.4, 0.142, 0.386, 0.3, 0.352, 0.212, 0.298, 0.268, 0.314, 0.198, 0.342, 0.436, 0.242, 0.39, 0.224, 0.244, 0.362, 0.2985971943887776]"
12,"[0.21956087824351297, 0.228, 0.296, 0.388, 0.302, 0.234, 0.198, 0.444, 0.276, 0.25, 0.354, 0.21, 0.418, 0.246, 0.228, 0.282, 0.41, 0.366, 0.196, 0.2905811623246493]"
13,"[0.20359281437125748, 0.292, 0.244, 0.156, 0.328, 0.242, 0.328, 0.264, 0.346, 0.334, 0.248, 0.198, 0.31, 0.392, 0.248, 0.362, 0.24, 0.262, 0.414, 0.2545090180360721]"
14,"[0.2215568862275449, 0.194, 0.29, 0.374, 0.32, 0.224, 0.262, 0.396, 0.312, 0.326, 0.214, 0.27, 0.208, 0.282, 0.224, 0.254, 0.38, 0.298, 0.138, 0.20040080160320642]"
15,"[0.24151696606786427, 0.24, 0.258, 0.174, 0.232, 0.212, 0.316, 0.278, 0.344, 0.34, 0.264, 0.232, 0.298, 0.362, 0.248, 0.368, 0.252, 0.248, 0.408, 0.2685370741482966]"
16,"[0.21956087824351297, 0.294, 0.284, 0.366, 0.31, 0.21, 0.324, 0.396, 0.338, 0.35, 0.164, 0.318, 0.192, 0.33, 0.278, 0.296, 0.356, 0.312, 0.136, 0.17234468937875752]"
17,"[0.2654690618762475, 0.226, 0.28, 0.172, 0.21, 0.232, 0.302, 0.306, 0.348, 0.342, 0.294, 0.246, 0.29, 0.362, 0.252, 0.376, 0.32, 0.298, 0.42, 0.2725450901803607]"
18,"[0.2435129740518962, 0.268, 0.28, 0.336, 0.364, 0.212, 0.354, 0.408, 0.31, 0.318, 0.178, 0.304, 0.21, 0.302, 0.276, 0.272, 0.344, 0.33, 0.144, 0.17635270541082165]"
19,"[0.24550898203592814, 0.248, 0.314, 0.206, 0.242, 0.224, 0.286, 0.316, 0.348, 0.338, 0.308, 0.244, 0.274, 0.372, 0.256, 0.366, 0.324, 0.29, 0.436, 0.312625250501002]"
20,"[0.22355289421157684, 0.276, 0.266, 0.304, 0.372, 0.204, 0.382, 0.414, 0.316, 0.328, 0.218, 0.274, 0.256, 0.276, 0.29, 0.258, 0.332, 0.324, 0.162, 0.18837675350701402]"
21,"[0.24151696606786427, 0.262, 0.322, 0.214, 0.25, 0.23, 0.272, 0.318, 0.354, 0.336, 0.348, 0.284, 0.258, 0.368, 0.252, 0.35, 0.28, 0.256, 0.406, 0.32665330661322645]"
22,"[0.2275449101796407, 0.278, 0.226, 0.32, 0.386, 0.192, 0.46, 0.448, 0.344, 0.36, 0.244, 0.292, 0.28, 0.28, 0.302, 0.254, 0.336, 0.35, 0.21, 0.19238476953907815]"
23,"[0.23552894211576847, 0.252, 0.328, 0.182, 0.264, 0.244, 0.27, 0.328, 0.364, 0.354, 0.36, 0.292, 0.244, 0.38, 0.234, 0.346, 0.28, 0.22, 0.378, 0.3346693386773547]"
