none,[]
0,"[0.07784431137724551, 0.132, 0.104, 0.1, 0.09, 0.106, 0.078, 0.166, 0.11, 0.118, 0.084, 0.086, 0.098, 0.096, 0.11, 0.08, 0.106, 0.104, 0.098, 0.09018036072144289]"
1,"[0.11776447105788423, 0.132, 0.16, 0.234, 0.078, 0.118, 0.126, 0.076, 0.096, 0.112, 0.15, 0.09, 0.096, 0.096, 0.116, 0.136, 0.114, 0.08, 0.136, 0.09018036072144289]"
2,"[0.11776447105788423, 0.132, 0.102, 0.1, 0.09, 0.082, 0.078, 0.16, 0.106, 0.118, 0.084, 0.152, 0.09, 0.096, 0.198, 0.116, 0.188, 0.212, 0.17, 0.09619238476953908]"
3,"[0.11776447105788423, 0.116, 0.102, 0.214, 0.08, 0.16, 0.102, 0.184, 0.096, 0.084, 0.112, 0.106, 0.09, 0.096, 0.104, 0.116, 0.082, 0.174, 0.11, 0.12224448897795591]"
4,"[0.08383233532934131, 0.116, 0.102, 0.1, 0.16, 0.082, 0.078, 0.132, 0.096, 0.118, 0.084, 0.106, 0.09, 0.096, 0.13, 0.106, 0.136, 0.114, 0.174, 0.12224448897795591]"
5,"[0.07784431137724551, 0.116, 0.102, 0.232, 0.08, 0.082, 0.108, 0.108, 0.096, 0.138, 0.12, 0.106, 0.09, 0.096, 0.092, 0.106, 0.082, 0.114, 0.11, 0.12625250501002003]"
6,"[0.08383233532934131, 0.116, 0.102, 0.1, 0.08, 0.082, 0.078, 0.168, 0.096, 0.118, 0.084, 0.106, 0.09, 0.096, 0.13, 0.106, 0.144, 0.114, 0.152, 0.12224448897795591]"
7,"[0.07984031936127745, 0.116, 0.102, 0.234, 0.08, 0.082, 0.108, 0.102, 0.096, 0.156, 0.084, 0.106, 0.09, 0.096, 0.092, 0.106, 0.082, 0.142, 0.11, 0.19438877755511022]"
8,"[0.09780439121756487, 0.116, 0.102, 0.1, 0.164, 0.082, 0.176, 0.162, 0.096, 0.118, 0.084, 0.106, 0.09, 0.096, 0.13, 0.106, 0.138, 0.114, 0.106, 0.12224448897795591]"
9,"[0.11776447105788423, 0.116, 0.102, 0.236, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.148, 0.106, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.11, 0.10220440881763528]"
10,"[0.08383233532934131, 0.116, 0.102, 0.1, 0.112, 0.082, 0.098, 0.114, 0.096, 0.118, 0.084, 0.106, 0.09, 0.116, 0.13, 0.106, 0.104, 0.114, 0.08, 0.12224448897795591]"
11,"[0.11776447105788423, 0.116, 0.102, 0.226, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.1, 0.11, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.11, 0.10220440881763528]"
12,"[0.08383233532934131, 0.116, 0.102, 0.1, 0.112, 0.082, 0.098, 0.086, 0.096, 0.118, 0.084, 0.106, 0.09, 0.116, 0.13, 0.106, 0.102, 0.114, 0.08, 0.13627254509018036]"
13,"[0.17964071856287425, 0.116, 0.102, 0.116, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.1, 0.148, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.204, 0.10220440881763528]"
14,"[0.08383233532934131, 0.116, 0.102, 0.1, 0.112, 0.082, 0.098, 0.086, 0.11, 0.118, 0.084, 0.106, 0.09, 0.116, 0.13, 0.106, 0.102, 0.114, 0.08, 0.19438877755511022]"
15,"[0.14770459081836326, 0.116, 0.102, 0.114, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.1, 0.286, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.192, 0.10220440881763528]"
16,"[0.08383233532934131, 0.12, 0.102, 0.1, 0.112, 0.082, 0.098, 0.086, 0.158, 0.118, 0.084, 0.106, 0.09, 0.116, 0.13, 0.106, 0.102, 0.114, 0.08, 0.09018036072144289]"
17,"[0.17165668662674652, 0.116, 0.102, 0.114, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.194, 0.092, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.098, 0.10220440881763528]"
18,"[0.08383233532934131, 0.144, 0.102, 0.1, 0.112, 0.088, 0.142, 0.086, 0.166, 0.118, 0.084, 0.106, 0.09, 0.132, 0.13, 0.122, 0.102, 0.114, 0.08, 0.09018036072144289]"
19,"[0.2275449101796407, 0.116, 0.112, 0.114, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.186, 0.084, 0.09, 0.096, 0.092, 0.106, 0.082, 0.098, 0.098, 0.10220440881763528]"
20,"[0.08383233532934131, 0.14, 0.102, 0.128, 0.112, 0.162, 0.166, 0.086, 0.164, 0.118, 0.084, 0.106, 0.09, 0.198, 0.13, 0.204, 0.102, 0.114, 0.08, 0.09018036072144289]"
21,"[0.22954091816367264, 0.116, 0.192, 0.114, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.176, 0.084, 0.09, 0.096, 0.092, 0.126, 0.082, 0.098, 0.098, 0.10220440881763528]"
22,"[0.08383233532934131, 0.238, 0.102, 0.168, 0.112, 0.18, 0.172, 0.086, 0.164, 0.118, 0.084, 0.108, 0.09, 0.25, 0.13, 0.222, 0.102, 0.114, 0.08, 0.09018036072144289]"
23,"[0.24550898203592814, 0.116, 0.196, 0.114, 0.08, 0.082, 0.108, 0.102, 0.096, 0.082, 0.1, 0.084, 0.09, 0.096, 0.092, 0.172, 0.082, 0.098, 0.098, 0.10220440881763528]"
24,"[0.08383233532934131, 0.292, 0.102, 0.144, 0.114, 0.16, 0.174, 0.086, 0.166, 0.118, 0.084, 0.108, 0.124, 0.266, 0.13, 0.222, 0.102, 0.114, 0.08, 0.09619238476953908]"
25,"[0.24750499001996007, 0.116, 0.198, 0.114, 0.08, 0.082, 0.108, 0.102, 0.188, 0.082, 0.1, 0.084, 0.09, 0.096, 0.092, 0.158, 0.082, 0.098, 0.108, 0.10220440881763528]"
26,"[0.08383233532934131, 0.298, 0.102, 0.14, 0.116, 0.154, 0.174, 0.086, 0.166, 0.118, 0.084, 0.106, 0.184, 0.29, 0.13, 0.22, 0.102, 0.114, 0.08, 0.12024048096192384]"
27,"[0.27944111776447106, 0.116, 0.254, 0.114, 0.08, 0.082, 0.108, 0.102, 0.202, 0.082, 0.1, 0.084, 0.09, 0.096, 0.092, 0.188, 0.082, 0.098, 0.152, 0.10220440881763528]"
28,"[0.08383233532934131, 0.312, 0.102, 0.11, 0.14, 0.11, 0.176, 0.086, 0.166, 0.122, 0.084, 0.106, 0.214, 0.242, 0.13, 0.214, 0.102, 0.114, 0.08, 0.11823647294589178]"
29,"[0.26147704590818366, 0.116, 0.188, 0.114, 0.082, 0.106, 0.108, 0.102, 0.126, 0.082, 0.1, 0.084, 0.09, 0.096, 0.092, 0.22, 0.082, 0.098, 0.186, 0.1062124248496994]"
30,"[0.08383233532934131, 0.318, 0.108, 0.128, 0.112, 0.102, 0.176, 0.086, 0.166, 0.154, 0.086, 0.108, 0.248, 0.23, 0.15, 0.208, 0.102, 0.114, 0.08, 0.12224448897795591]"
31,"[0.23552894211576847, 0.118, 0.18, 0.114, 0.082, 0.134, 0.108, 0.102, 0.126, 0.082, 0.1, 0.084, 0.1, 0.096, 0.092, 0.222, 0.082, 0.098, 0.19, 0.1062124248496994]"
32,"[0.08383233532934131, 0.318, 0.132, 0.106, 0.114, 0.102, 0.176, 0.086, 0.164, 0.138, 0.088, 0.108, 0.192, 0.238, 0.18, 0.204, 0.102, 0.114, 0.086, 0.11823647294589178]"
33,"[0.2275449101796407, 0.118, 0.152, 0.114, 0.084, 0.12, 0.108, 0.102, 0.128, 0.082, 0.1, 0.084, 0.166, 0.096, 0.092, 0.22, 0.082, 0.098, 0.202, 0.13226452905811623]"
34,"[0.08383233532934131, 0.32, 0.14, 0.1, 0.118, 0.102, 0.176, 0.086, 0.156, 0.148, 0.088, 0.106, 0.204, 0.288, 0.224, 0.21, 0.102, 0.114, 0.12, 0.12224448897795591]"
35,"[0.2155688622754491, 0.118, 0.136, 0.114, 0.084, 0.12, 0.108, 0.102, 0.126, 0.082, 0.1, 0.088, 0.188, 0.096, 0.092, 0.218, 0.082, 0.098, 0.164, 0.15831663326653306]"
36,"[0.08383233532934131, 0.32, 0.176, 0.104, 0.112, 0.102, 0.176, 0.086, 0.15, 0.148, 0.092, 0.108, 0.22, 0.296, 0.228, 0.212, 0.102, 0.114, 0.132, 0.1062124248496994]"
37,"[0.2315369261477046, 0.118, 0.124, 0.114, 0.092, 0.138, 0.108, 0.102, 0.124, 0.082, 0.1, 0.098, 0.208, 0.096, 0.092, 0.208, 0.082, 0.098, 0.118, 0.17835671342685372]"
38,"[0.08383233532934131, 0.324, 0.204, 0.1, 0.112, 0.102, 0.176, 0.086, 0.142, 0.158, 0.1, 0.108, 0.218, 0.284, 0.23, 0.216, 0.102, 0.114, 0.154, 0.09619238476953908]"
39,"[0.23952095808383234, 0.118, 0.12, 0.114, 0.122, 0.142, 0.108, 0.102, 0.128, 0.082, 0.106, 0.144, 0.21, 0.096, 0.092, 0.172, 0.082, 0.098, 0.134, 0.18637274549098196]"
40,"[0.08582834331337326, 0.324, 0.204, 0.1, 0.112, 0.102, 0.176, 0.12, 0.14, 0.16, 0.136, 0.108, 0.216, 0.244, 0.23, 0.22, 0.102, 0.114, 0.162, 0.10420841683366733]"
41,"[0.24550898203592814, 0.12, 0.128, 0.114, 0.162, 0.146, 0.12, 0.102, 0.128, 0.082, 0.11, 0.17, 0.21, 0.096, 0.092, 0.142, 0.082, 0.098, 0.166, 0.18837675350701402]"
42,"[0.08782435129740519, 0.328, 0.202, 0.1, 0.12, 0.102, 0.174, 0.16, 0.138, 0.16, 0.144, 0.108, 0.208, 0.22, 0.242, 0.22, 0.102, 0.114, 0.168, 0.09619238476953908]"
43,"[0.2435129740518962, 0.134, 0.142, 0.114, 0.188, 0.146, 0.16, 0.102, 0.122, 0.082, 0.14, 0.178, 0.21, 0.096, 0.092, 0.144, 0.082, 0.098, 0.184, 0.17835671342685372]"
44,"[0.08782435129740519, 0.324, 0.192, 0.1, 0.124, 0.102, 0.172, 0.162, 0.142, 0.16, 0.144, 0.11, 0.216, 0.202, 0.244, 0.22, 0.102, 0.134, 0.174, 0.09218436873747494]"
45,"[0.2275449101796407, 0.142, 0.166, 0.114, 0.218, 0.164, 0.248, 0.102, 0.128, 0.082, 0.164, 0.182, 0.208, 0.096, 0.092, 0.156, 0.082, 0.098, 0.218, 0.17835671342685372]"
46,"[0.10778443113772455, 0.32, 0.17, 0.112, 0.13, 0.102, 0.168, 0.162, 0.152, 0.17, 0.11, 0.122, 0.22, 0.202, 0.23, 0.222, 0.102, 0.146, 0.178, 0.10420841683366733]"
