eigenvector_centrality,"[17, 18]"
0,"[0.07481296758104738, 0.135, 0.0975, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.085, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.0925, 0.1175, 0.11, 0.1, 0.2225, 0.145, 0.11, 0.125, 0.0925, 0.09523809523809523]"
1,"[0.07481296758104738, 0.16, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
5,"[0.13216957605985039, 0.11, 0.1725, 0.18, 0.2, 0.1025, 0.17, 0.19, 0.1575, 0.09, 0.1375, 0.1525, 0.1725, 0.1725, 0.0925, 0.1475, 0.12, 0.1575, 0.1525, 0.1825, 0.18, 0.1375, 0.115, 0.0975, 0.15037593984962405]"
6,"[0.11221945137157108, 0.0875, 0.11, 0.1075, 0.12, 0.085, 0.1075, 0.1275, 0.1075, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.1, 0.1075, 0.08, 0.0975, 0.0975, 0.10275689223057644]"
7,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.1, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
8,"[0.11471321695760599, 0.0875, 0.145, 0.1075, 0.12, 0.0875, 0.1075, 0.1825, 0.115, 0.0925, 0.1075, 0.0875, 0.0875, 0.125, 0.075, 0.0975, 0.1025, 0.1225, 0.1, 0.1, 0.1075, 0.08, 0.105, 0.0975, 0.10776942355889724]"
9,"[0.16957605985037408, 0.175, 0.2025, 0.19, 0.205, 0.1075, 0.23, 0.2, 0.15, 0.1825, 0.185, 0.21, 0.1725, 0.1725, 0.18, 0.175, 0.2175, 0.1625, 0.195, 0.1825, 0.2375, 0.16, 0.145, 0.18, 0.22807017543859648]"
10,"[0.314214463840399, 0.3675, 0.45, 0.3825, 0.27, 0.4425, 0.18, 0.4625, 0.3975, 0.3475, 0.26, 0.2425, 0.45, 0.5, 0.205, 0.44, 0.335, 0.4325, 0.26, 0.2775, 0.23, 0.3675, 0.3275, 0.3075, 0.3283208020050125]"
11,"[0.3516209476309227, 0.3375, 0.3075, 0.435, 0.435, 0.2025, 0.345, 0.2575, 0.3575, 0.4225, 0.475, 0.42, 0.4425, 0.255, 0.4, 0.425, 0.47, 0.33, 0.3975, 0.5, 0.455, 0.4075, 0.26, 0.505, 0.45363408521303256]"
12,"[0.4114713216957606, 0.4, 0.3025, 0.425, 0.3225, 0.25, 0.21, 0.305, 0.425, 0.48, 0.365, 0.2775, 0.465, 0.33, 0.1975, 0.485, 0.48, 0.3425, 0.2575, 0.3575, 0.2825, 0.4375, 0.385, 0.3875, 0.3007518796992481]"
13,"[0.24937655860349128, 0.31, 0.235, 0.5225, 0.36, 0.265, 0.25, 0.1625, 0.32, 0.4175, 0.3575, 0.35, 0.3525, 0.1625, 0.26, 0.4075, 0.4875, 0.2125, 0.2575, 0.41, 0.365, 0.4275, 0.3075, 0.395, 0.21804511278195488]"
14,"[0.3341645885286783, 0.36, 0.32, 0.4375, 0.38, 0.2925, 0.2625, 0.32, 0.34, 0.49, 0.2, 0.18, 0.39, 0.3475, 0.14, 0.415, 0.4225, 0.35, 0.2, 0.3225, 0.3075, 0.35, 0.3125, 0.4075, 0.24561403508771928]"
15,"[0.1396508728179551, 0.2825, 0.2975, 0.515, 0.4125, 0.385, 0.32, 0.1575, 0.3025, 0.315, 0.31, 0.3675, 0.3475, 0.2025, 0.285, 0.345, 0.4375, 0.1925, 0.315, 0.4425, 0.3675, 0.3225, 0.3925, 0.4425, 0.23308270676691728]"
16,"[0.30423940149625933, 0.35, 0.345, 0.4275, 0.435, 0.35, 0.3075, 0.3425, 0.3375, 0.4275, 0.1825, 0.2525, 0.3525, 0.37, 0.17, 0.37, 0.375, 0.3675, 0.165, 0.3075, 0.3825, 0.2625, 0.345, 0.345, 0.2832080200501253]"
17,"[0.1546134663341646, 0.29, 0.355, 0.41, 0.4375, 0.4025, 0.3925, 0.1775, 0.34, 0.32, 0.3025, 0.3125, 0.34, 0.255, 0.3, 0.3275, 0.43, 0.2375, 0.3375, 0.4475, 0.3875, 0.335, 0.3875, 0.4175, 0.2531328320802005]"
18,"[0.29925187032418954, 0.36, 0.3725, 0.425, 0.38, 0.345, 0.345, 0.325, 0.3425, 0.425, 0.1675, 0.2925, 0.3725, 0.39, 0.2175, 0.3825, 0.3725, 0.37, 0.21, 0.3175, 0.3725, 0.2675, 0.3375, 0.37, 0.2731829573934837]"
19,"[0.17206982543640897, 0.31, 0.3675, 0.265, 0.315, 0.36, 0.4475, 0.1875, 0.35, 0.3575, 0.285, 0.305, 0.3725, 0.3225, 0.2925, 0.335, 0.395, 0.3025, 0.325, 0.4225, 0.395, 0.32, 0.445, 0.3875, 0.2606516290726817]"
20,"[0.29177057356608477, 0.375, 0.4175, 0.38, 0.3275, 0.3625, 0.3325, 0.3, 0.39, 0.43, 0.1575, 0.2775, 0.375, 0.425, 0.2325, 0.3825, 0.365, 0.385, 0.24, 0.35, 0.3875, 0.26, 0.36, 0.3525, 0.2581453634085213]"
21,"[0.18453865336658354, 0.32, 0.3725, 0.2775, 0.28, 0.4, 0.475, 0.205, 0.3675, 0.4, 0.2775, 0.3225, 0.38, 0.4, 0.2975, 0.31, 0.37, 0.3425, 0.32, 0.415, 0.3975, 0.315, 0.4775, 0.365, 0.2606516290726817]"
22,"[0.2967581047381546, 0.38, 0.4625, 0.3825, 0.3175, 0.3675, 0.395, 0.2925, 0.4225, 0.4475, 0.2075, 0.3225, 0.4025, 0.475, 0.2725, 0.375, 0.3975, 0.4075, 0.255, 0.3675, 0.39, 0.2575, 0.3925, 0.345, 0.2656641604010025]"
23,"[0.18703241895261846, 0.335, 0.3775, 0.325, 0.27, 0.455, 0.345, 0.26, 0.3625, 0.465, 0.2775, 0.365, 0.385, 0.4525, 0.31, 0.2675, 0.37, 0.3725, 0.3225, 0.4, 0.4225, 0.3225, 0.4825, 0.36, 0.2581453634085213]"
24,"[0.30423940149625933, 0.385, 0.475, 0.3775, 0.3225, 0.36, 0.375, 0.31, 0.4, 0.4425, 0.2175, 0.3625, 0.4, 0.49, 0.2975, 0.37, 0.415, 0.435, 0.29, 0.375, 0.4175, 0.26, 0.4225, 0.315, 0.3007518796992481]"
25,"[0.19950124688279303, 0.335, 0.3775, 0.3575, 0.2725, 0.435, 0.32, 0.285, 0.385, 0.46, 0.2875, 0.365, 0.4, 0.4525, 0.3475, 0.2625, 0.365, 0.54, 0.48, 0.385, 0.445, 0.345, 0.52, 0.365, 0.2882205513784461]"
26,"[0.3341645885286783, 0.3925, 0.4425, 0.3875, 0.345, 0.3625, 0.3475, 0.375, 0.3975, 0.4325, 0.305, 0.375, 0.43, 0.5025, 0.3525, 0.3475, 0.44, 0.5075, 0.4575, 0.365, 0.435, 0.3125, 0.385, 0.3375, 0.3433583959899749]"
27,"[0.2518703241895262, 0.3725, 0.39, 0.345, 0.2875, 0.425, 0.3775, 0.3775, 0.44, 0.475, 0.305, 0.3525, 0.4075, 0.4075, 0.35, 0.28, 0.385, 0.45, 0.445, 0.395, 0.4225, 0.36, 0.415, 0.3625, 0.3132832080200501]"
28,"[0.32418952618453867, 0.3625, 0.345, 0.3925, 0.34, 0.4075, 0.32, 0.36, 0.4025, 0.3825, 0.305, 0.415, 0.4175, 0.5, 0.375, 0.3375, 0.48, 0.4925, 0.4425, 0.4075, 0.4025, 0.3625, 0.3925, 0.3875, 0.37343358395989973]"
29,"[0.32418952618453867, 0.415, 0.3425, 0.3625, 0.355, 0.3975, 0.4475, 0.445, 0.475, 0.505, 0.305, 0.35, 0.4525, 0.39, 0.3675, 0.325, 0.3975, 0.3725, 0.5, 0.3725, 0.3625, 0.34, 0.36, 0.3275, 0.3558897243107769]"
30,"[0.32169576059850374, 0.35, 0.32, 0.405, 0.315, 0.46, 0.3225, 0.3625, 0.4425, 0.36, 0.315, 0.4725, 0.3975, 0.4425, 0.41, 0.3225, 0.485, 0.4375, 0.3975, 0.435, 0.39, 0.38, 0.4375, 0.385, 0.44611528822055135]"
31,"[0.3566084788029925, 0.4475, 0.32, 0.3725, 0.35, 0.3775, 0.4675, 0.4925, 0.4275, 0.5525, 0.3225, 0.38, 0.4525, 0.3925, 0.3675, 0.4125, 0.4175, 0.3925, 0.4925, 0.3725, 0.3975, 0.3425, 0.3625, 0.32, 0.39348370927318294]"
32,"[0.32169576059850374, 0.3525, 0.335, 0.4225, 0.3125, 0.4825, 0.3475, 0.3475, 0.4725, 0.3775, 0.3375, 0.42, 0.4025, 0.5175, 0.45, 0.325, 0.485, 0.4525, 0.3825, 0.48, 0.38, 0.38, 0.4125, 0.4025, 0.42606516290726815]"
33,"[0.38403990024937656, 0.4425, 0.3125, 0.39, 0.36, 0.355, 0.4175, 0.475, 0.39, 0.52, 0.335, 0.3775, 0.475, 0.4125, 0.37, 0.4475, 0.4175, 0.39, 0.5025, 0.38, 0.4075, 0.3475, 0.3375, 0.315, 0.39097744360902253]"
34,"[0.341645885286783, 0.3625, 0.3775, 0.4575, 0.3175, 0.51, 0.36, 0.3375, 0.4675, 0.4025, 0.3475, 0.395, 0.445, 0.45, 0.45, 0.325, 0.48, 0.485, 0.3625, 0.48, 0.3625, 0.395, 0.4325, 0.4325, 0.42105263157894735]"
35,"[0.3865336658354115, 0.41, 0.3325, 0.4475, 0.38, 0.345, 0.4025, 0.455, 0.3675, 0.515, 0.3425, 0.415, 0.4575, 0.4425, 0.3825, 0.4825, 0.4375, 0.3675, 0.51, 0.3775, 0.4375, 0.3525, 0.3325, 0.3175, 0.39348370927318294]"
36,"[0.33915211970074816, 0.39, 0.4675, 0.5025, 0.32, 0.575, 0.3775, 0.34, 0.5175, 0.4025, 0.3675, 0.3725, 0.4925, 0.4125, 0.4575, 0.3325, 0.4725, 0.5625, 0.3675, 0.47, 0.3275, 0.44, 0.435, 0.4425, 0.41353383458646614]"
