eigenvector_centrality,"[0, 1]"
0,"[0.088, 0.093, 0.083, 0.107, 0.112, 0.207, 0.113, 0.089, 0.202, 0.12]"
1,"[0.095, 0.086, 0.106, 0.111, 0.112, 0.095, 0.092, 0.089, 0.169, 0.103]"
2,"[0.088, 0.085, 0.154, 0.13, 0.094, 0.134, 0.093, 0.089, 0.131, 0.12]"
3,"[0.276, 0.085, 0.106, 0.165, 0.095, 0.22, 0.092, 0.089, 0.103, 0.103]"
4,"[0.088, 0.188, 0.208, 0.315, 0.121, 0.234, 0.206, 0.227, 0.195, 0.249]"
5,"[0.254, 0.204, 0.106, 0.164, 0.207, 0.212, 0.217, 0.196, 0.208, 0.201]"
6,"[0.205, 0.222, 0.271, 0.216, 0.183, 0.183, 0.319, 0.244, 0.199, 0.233]"
7,"[0.275, 0.244, 0.222, 0.302, 0.358, 0.346, 0.3, 0.264, 0.32, 0.265]"
8,"[0.354, 0.475, 0.298, 0.433, 0.299, 0.325, 0.442, 0.431, 0.403, 0.355]"
9,"[0.331, 0.397, 0.327, 0.382, 0.448, 0.432, 0.355, 0.269, 0.468, 0.356]"
10,"[0.282, 0.454, 0.287, 0.381, 0.215, 0.402, 0.386, 0.425, 0.317, 0.376]"
11,"[0.306, 0.352, 0.283, 0.257, 0.363, 0.435, 0.259, 0.266, 0.466, 0.302]"
12,"[0.265, 0.353, 0.324, 0.31, 0.196, 0.367, 0.334, 0.361, 0.289, 0.35]"
13,"[0.4, 0.351, 0.29, 0.236, 0.329, 0.322, 0.289, 0.296, 0.454, 0.322]"
14,"[0.282, 0.309, 0.355, 0.358, 0.233, 0.29, 0.335, 0.351, 0.3, 0.373]"
15,"[0.427, 0.387, 0.319, 0.282, 0.316, 0.3, 0.315, 0.29, 0.441, 0.291]"
16,"[0.336, 0.319, 0.381, 0.373, 0.246, 0.266, 0.377, 0.349, 0.37, 0.451]"
17,"[0.428, 0.412, 0.375, 0.341, 0.314, 0.315, 0.306, 0.286, 0.436, 0.255]"
18,"[0.363, 0.319, 0.423, 0.381, 0.286, 0.286, 0.419, 0.374, 0.442, 0.414]"
19,"[0.424, 0.425, 0.396, 0.37, 0.331, 0.366, 0.274, 0.264, 0.429, 0.239]"
20,"[0.389, 0.319, 0.416, 0.403, 0.312, 0.314, 0.371, 0.428, 0.396, 0.358]"
21,"[0.415, 0.421, 0.41, 0.397, 0.343, 0.39, 0.241, 0.284, 0.364, 0.234]"
22,"[0.391, 0.326, 0.416, 0.421, 0.329, 0.321, 0.361, 0.407, 0.391, 0.345]"
23,"[0.411, 0.426, 0.391, 0.379, 0.371, 0.374, 0.258, 0.292, 0.357, 0.234]"
24,"[0.376, 0.334, 0.425, 0.393, 0.339, 0.338, 0.367, 0.397, 0.382, 0.35]"
25,"[0.497, 0.431, 0.376, 0.392, 0.393, 0.383, 0.291, 0.304, 0.357, 0.245]"
26,"[0.557, 0.538, 0.589, 0.434, 0.34, 0.376, 0.486, 0.396, 0.459, 0.469]"
27,"[0.557, 0.593, 0.533, 0.396, 0.42, 0.384, 0.387, 0.366, 0.32, 0.368]"
28,"[0.54, 0.488, 0.383, 0.413, 0.323, 0.315, 0.351, 0.341, 0.378, 0.355]"
29,"[0.485, 0.525, 0.396, 0.382, 0.29, 0.306, 0.486, 0.272, 0.296, 0.36]"
30,"[0.558, 0.487, 0.369, 0.366, 0.427, 0.278, 0.331, 0.3, 0.34, 0.327]"
31,"[0.486, 0.479, 0.315, 0.361, 0.295, 0.287, 0.427, 0.245, 0.336, 0.367]"
32,"[0.533, 0.464, 0.325, 0.375, 0.431, 0.363, 0.332, 0.292, 0.306, 0.32]"
33,"[0.505, 0.471, 0.322, 0.289, 0.294, 0.297, 0.385, 0.322, 0.35, 0.375]"
34,"[0.517, 0.468, 0.293, 0.336, 0.392, 0.385, 0.331, 0.298, 0.277, 0.305]"
35,"[0.502, 0.41, 0.322, 0.265, 0.298, 0.306, 0.36, 0.322, 0.36, 0.351]"
36,"[0.505, 0.47, 0.281, 0.308, 0.332, 0.339, 0.335, 0.299, 0.272, 0.306]"
37,"[0.507, 0.398, 0.308, 0.261, 0.297, 0.304, 0.344, 0.301, 0.341, 0.331]"
38,"[0.492, 0.476, 0.276, 0.301, 0.283, 0.3, 0.342, 0.294, 0.265, 0.3]"
39,"[0.496, 0.378, 0.307, 0.256, 0.299, 0.295, 0.33, 0.282, 0.316, 0.311]"
