eigenvector_centrality,[0]
0,"[0.176, 0.091, 0.097, 0.097, 0.083, 0.09, 0.109, 0.104, 0.117, 0.079]"
1,"[0.103, 0.109, 0.097, 0.097, 0.094, 0.107, 0.094, 0.119, 0.164, 0.103]"
2,"[0.08, 0.091, 0.097, 0.097, 0.168, 0.188, 0.135, 0.155, 0.155, 0.103]"
3,"[0.103, 0.109, 0.137, 0.104, 0.173, 0.107, 0.094, 0.119, 0.1, 0.146]"
4,"[0.08, 0.091, 0.156, 0.097, 0.084, 0.109, 0.175, 0.175, 0.179, 0.137]"
5,"[0.262, 0.111, 0.119, 0.097, 0.169, 0.296, 0.278, 0.262, 0.113, 0.154]"
6,"[0.119, 0.275, 0.247, 0.263, 0.19, 0.168, 0.168, 0.171, 0.238, 0.231]"
7,"[0.263, 0.159, 0.172, 0.19, 0.266, 0.261, 0.271, 0.308, 0.249, 0.162]"
8,"[0.187, 0.266, 0.231, 0.252, 0.191, 0.156, 0.114, 0.295, 0.265, 0.309]"
9,"[0.274, 0.138, 0.159, 0.168, 0.388, 0.256, 0.267, 0.392, 0.296, 0.194]"
10,"[0.175, 0.269, 0.338, 0.266, 0.208, 0.186, 0.125, 0.289, 0.258, 0.388]"
11,"[0.276, 0.159, 0.163, 0.177, 0.406, 0.294, 0.31, 0.443, 0.353, 0.234]"
12,"[0.186, 0.312, 0.414, 0.321, 0.236, 0.23, 0.138, 0.272, 0.264, 0.405]"
13,"[0.341, 0.192, 0.163, 0.183, 0.391, 0.333, 0.361, 0.444, 0.403, 0.263]"
14,"[0.197, 0.367, 0.426, 0.367, 0.274, 0.251, 0.148, 0.301, 0.279, 0.405]"
15,"[0.369, 0.206, 0.159, 0.191, 0.4, 0.349, 0.404, 0.434, 0.36, 0.338]"
16,"[0.222, 0.388, 0.421, 0.39, 0.322, 0.255, 0.167, 0.327, 0.274, 0.411]"
17,"[0.375, 0.218, 0.16, 0.195, 0.398, 0.367, 0.417, 0.427, 0.369, 0.357]"
18,"[0.254, 0.392, 0.403, 0.393, 0.333, 0.275, 0.172, 0.331, 0.281, 0.393]"
19,"[0.381, 0.226, 0.189, 0.202, 0.387, 0.418, 0.425, 0.431, 0.378, 0.337]"
20,"[0.287, 0.409, 0.398, 0.394, 0.315, 0.296, 0.178, 0.337, 0.291, 0.372]"
21,"[0.385, 0.239, 0.269, 0.225, 0.359, 0.446, 0.43, 0.435, 0.369, 0.303]"
22,"[0.324, 0.426, 0.395, 0.391, 0.276, 0.352, 0.191, 0.364, 0.299, 0.361]"
23,"[0.399, 0.262, 0.289, 0.279, 0.351, 0.451, 0.424, 0.437, 0.344, 0.265]"
24,"[0.386, 0.442, 0.382, 0.375, 0.238, 0.421, 0.239, 0.374, 0.31, 0.349]"
25,"[0.424, 0.306, 0.283, 0.323, 0.344, 0.456, 0.41, 0.43, 0.357, 0.264]"
26,"[0.419, 0.46, 0.351, 0.352, 0.253, 0.433, 0.329, 0.359, 0.321, 0.356]"
27,"[0.358, 0.363, 0.243, 0.299, 0.34, 0.454, 0.391, 0.423, 0.367, 0.288]"
28,"[0.446, 0.398, 0.309, 0.299, 0.228, 0.395, 0.287, 0.352, 0.333, 0.351]"
29,"[0.364, 0.302, 0.206, 0.215, 0.329, 0.414, 0.329, 0.415, 0.404, 0.263]"
30,"[0.461, 0.346, 0.288, 0.277, 0.217, 0.308, 0.209, 0.34, 0.354, 0.327]"
31,"[0.349, 0.263, 0.195, 0.196, 0.31, 0.372, 0.293, 0.384, 0.371, 0.245]"
32,"[0.448, 0.339, 0.286, 0.273, 0.209, 0.3, 0.208, 0.326, 0.366, 0.31]"
33,"[0.346, 0.253, 0.194, 0.197, 0.306, 0.349, 0.289, 0.366, 0.34, 0.244]"
34,"[0.446, 0.33, 0.293, 0.282, 0.217, 0.291, 0.212, 0.324, 0.376, 0.306]"
35,"[0.341, 0.253, 0.209, 0.208, 0.308, 0.342, 0.297, 0.364, 0.335, 0.248]"
36,"[0.425, 0.34, 0.307, 0.285, 0.233, 0.31, 0.218, 0.338, 0.337, 0.312]"
37,"[0.336, 0.307, 0.245, 0.24, 0.321, 0.353, 0.312, 0.373, 0.334, 0.281]"
38,"[0.438, 0.36, 0.326, 0.309, 0.286, 0.318, 0.261, 0.34, 0.338, 0.328]"
39,"[0.31, 0.319, 0.264, 0.266, 0.34, 0.37, 0.33, 0.382, 0.341, 0.285]"
40,"[0.443, 0.365, 0.34, 0.325, 0.276, 0.316, 0.269, 0.335, 0.336, 0.337]"
41,"[0.329, 0.317, 0.249, 0.252, 0.353, 0.375, 0.356, 0.384, 0.345, 0.278]"
42,"[0.444, 0.382, 0.352, 0.332, 0.267, 0.308, 0.257, 0.329, 0.331, 0.35]"
43,"[0.345, 0.306, 0.239, 0.241, 0.359, 0.377, 0.369, 0.385, 0.343, 0.26]"
44,"[0.432, 0.383, 0.353, 0.336, 0.249, 0.288, 0.243, 0.309, 0.324, 0.36]"
45,"[0.355, 0.289, 0.222, 0.222, 0.363, 0.373, 0.377, 0.387, 0.343, 0.242]"
46,"[0.434, 0.384, 0.355, 0.342, 0.236, 0.278, 0.222, 0.288, 0.321, 0.358]"
47,"[0.397, 0.274, 0.201, 0.208, 0.365, 0.37, 0.373, 0.384, 0.343, 0.22]"
48,"[0.441, 0.385, 0.357, 0.341, 0.215, 0.262, 0.205, 0.264, 0.312, 0.356]"
49,"[0.428, 0.263, 0.193, 0.196, 0.364, 0.369, 0.373, 0.385, 0.344, 0.21]"
50,"[0.532, 0.388, 0.357, 0.342, 0.196, 0.248, 0.196, 0.257, 0.287, 0.355]"
51,"[0.423, 0.236, 0.182, 0.185, 0.365, 0.37, 0.377, 0.385, 0.343, 0.198]"
52,"[0.529, 0.385, 0.355, 0.341, 0.192, 0.231, 0.194, 0.238, 0.279, 0.354]"
53,"[0.389, 0.222, 0.178, 0.179, 0.365, 0.371, 0.376, 0.384, 0.343, 0.189]"
