none,[]
0,"[0.06930693069306931, 0.13, 0.11, 0.08, 0.15, 0.06, 0.11, 0.11, 0.19, 0.11, 0.07, 0.09, 0.12, 0.1, 0.14, 0.08, 0.09, 0.11, 0.13, 0.14, 0.1, 0.09, 0.12, 0.12, 0.12, 0.12, 0.14, 0.08, 0.12, 0.09, 0.1, 0.07, 0.1, 0.11, 0.12, 0.12, 0.04, 0.16, 0.18, 0.09, 0.06, 0.14, 0.13, 0.13, 0.13, 0.14, 0.1, 0.1, 0.1, 0.09, 0.11, 0.11, 0.08, 0.06, 0.06, 0.1, 0.07, 0.15, 0.08, 0.09, 0.13, 0.12, 0.14, 0.12, 0.1, 0.09, 0.07, 0.1, 0.12, 0.06, 0.08, 0.13, 0.12, 0.12, 0.09, 0.12, 0.07, 0.08, 0.08, 0.09, 0.14, 0.07, 0.15, 0.12, 0.06, 0.09, 0.13, 0.13, 0.11, 0.14, 0.1, 0.1, 0.06, 0.1, 0.13, 0.08, 0.13, 0.17, 0.09, 0.1414141414141414]"
1,"[0.07920792079207921, 0.09, 0.07, 0.04, 0.07, 0.12, 0.11, 0.07, 0.07, 0.11, 0.13, 0.15, 0.12, 0.12, 0.07, 0.11, 0.09, 0.09, 0.13, 0.11, 0.13, 0.16, 0.12, 0.12, 0.12, 0.12, 0.13, 0.11, 0.12, 0.09, 0.07, 0.11, 0.1, 0.11, 0.14, 0.08, 0.11, 0.09, 0.18, 0.09, 0.06, 0.14, 0.08, 0.07, 0.13, 0.14, 0.08, 0.1, 0.1, 0.07, 0.08, 0.09, 0.06, 0.08, 0.06, 0.1, 0.08, 0.06, 0.11, 0.06, 0.17, 0.07, 0.14, 0.12, 0.1, 0.05, 0.11, 0.09, 0.1, 0.03, 0.09, 0.05, 0.12, 0.08, 0.08, 0.13, 0.07, 0.15, 0.11, 0.09, 0.14, 0.1, 0.15, 0.1, 0.09, 0.09, 0.13, 0.15, 0.11, 0.1, 0.1, 0.05, 0.06, 0.12, 0.11, 0.16, 0.11, 0.05, 0.08, 0.1414141414141414]"
2,"[0.12871287128712872, 0.09, 0.11, 0.08, 0.07, 0.12, 0.11, 0.07, 0.19, 0.07, 0.1, 0.15, 0.12, 0.12, 0.07, 0.07, 0.1, 0.07, 0.13, 0.11, 0.1, 0.16, 0.12, 0.14, 0.12, 0.12, 0.14, 0.06, 0.07, 0.09, 0.1, 0.11, 0.09, 0.08, 0.13, 0.08, 0.09, 0.12, 0.18, 0.08, 0.06, 0.09, 0.08, 0.1, 0.11, 0.14, 0.08, 0.12, 0.1, 0.09, 0.08, 0.09, 0.09, 0.11, 0.06, 0.11, 0.15, 0.06, 0.08, 0.06, 0.08, 0.08, 0.14, 0.12, 0.13, 0.09, 0.15, 0.1, 0.12, 0.03, 0.05, 0.08, 0.12, 0.12, 0.08, 0.13, 0.07, 0.15, 0.08, 0.05, 0.14, 0.11, 0.15, 0.11, 0.11, 0.07, 0.13, 0.13, 0.11, 0.08, 0.1, 0.13, 0.15, 0.15, 0.14, 0.08, 0.11, 0.05, 0.08, 0.13131313131313133]"
3,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.13, 0.15, 0.07, 0.12, 0.07, 0.07, 0.1, 0.09, 0.13, 0.11, 0.1, 0.06, 0.12, 0.14, 0.07, 0.12, 0.13, 0.06, 0.11, 0.13, 0.1, 0.11, 0.09, 0.08, 0.14, 0.08, 0.09, 0.09, 0.06, 0.14, 0.06, 0.09, 0.13, 0.07, 0.11, 0.1, 0.08, 0.1, 0.1, 0.09, 0.08, 0.09, 0.09, 0.11, 0.06, 0.11, 0.08, 0.06, 0.08, 0.11, 0.13, 0.08, 0.14, 0.12, 0.09, 0.09, 0.11, 0.09, 0.1, 0.08, 0.05, 0.08, 0.12, 0.12, 0.1, 0.13, 0.13, 0.15, 0.11, 0.05, 0.14, 0.11, 0.15, 0.11, 0.11, 0.07, 0.13, 0.11, 0.11, 0.08, 0.1, 0.07, 0.15, 0.15, 0.14, 0.08, 0.13, 0.05, 0.08, 0.1717171717171717]"
4,"[0.12871287128712872, 0.09, 0.07, 0.09, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.07, 0.14, 0.07, 0.16, 0.08, 0.08, 0.1, 0.07, 0.07, 0.11, 0.13, 0.06, 0.15, 0.14, 0.12, 0.12, 0.14, 0.05, 0.11, 0.13, 0.1, 0.11, 0.09, 0.08, 0.12, 0.08, 0.09, 0.12, 0.05, 0.14, 0.06, 0.09, 0.13, 0.1, 0.11, 0.1, 0.1, 0.12, 0.1, 0.09, 0.06, 0.09, 0.08, 0.11, 0.1, 0.11, 0.08, 0.05, 0.11, 0.11, 0.08, 0.05, 0.14, 0.12, 0.13, 0.1, 0.11, 0.09, 0.12, 0.08, 0.05, 0.08, 0.11, 0.12, 0.1, 0.12, 0.07, 0.08, 0.11, 0.09, 0.14, 0.11, 0.08, 0.11, 0.09, 0.09, 0.13, 0.13, 0.11, 0.08, 0.15, 0.1, 0.15, 0.1, 0.13, 0.08, 0.13, 0.1, 0.08, 0.1717171717171717]"
5,"[0.1485148514851485, 0.1, 0.11, 0.09, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.07, 0.14, 0.07, 0.16, 0.16, 0.08, 0.09, 0.07, 0.07, 0.09, 0.08, 0.11, 0.15, 0.14, 0.12, 0.12, 0.08, 0.05, 0.11, 0.13, 0.1, 0.11, 0.09, 0.1, 0.12, 0.08, 0.04, 0.12, 0.05, 0.14, 0.13, 0.14, 0.08, 0.1, 0.11, 0.14, 0.1, 0.12, 0.1, 0.09, 0.03, 0.09, 0.11, 0.11, 0.1, 0.1, 0.08, 0.05, 0.11, 0.11, 0.08, 0.05, 0.07, 0.11, 0.09, 0.09, 0.11, 0.09, 0.12, 0.08, 0.05, 0.08, 0.06, 0.08, 0.1, 0.12, 0.07, 0.12, 0.07, 0.09, 0.05, 0.11, 0.08, 0.11, 0.11, 0.09, 0.08, 0.15, 0.11, 0.08, 0.06, 0.06, 0.15, 0.12, 0.14, 0.08, 0.13, 0.1, 0.08, 0.1717171717171717]"
6,"[0.06930693069306931, 0.13, 0.11, 0.04, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.07, 0.14, 0.09, 0.16, 0.15, 0.08, 0.13, 0.07, 0.07, 0.09, 0.08, 0.09, 0.15, 0.14, 0.09, 0.12, 0.14, 0.05, 0.11, 0.13, 0.1, 0.05, 0.09, 0.1, 0.12, 0.08, 0.04, 0.12, 0.05, 0.14, 0.13, 0.09, 0.1, 0.07, 0.11, 0.1, 0.1, 0.13, 0.1, 0.09, 0.05, 0.09, 0.08, 0.11, 0.1, 0.1, 0.08, 0.05, 0.11, 0.11, 0.08, 0.05, 0.07, 0.1, 0.09, 0.1, 0.13, 0.09, 0.17, 0.08, 0.05, 0.08, 0.11, 0.12, 0.1, 0.12, 0.13, 0.12, 0.14, 0.09, 0.14, 0.11, 0.08, 0.11, 0.06, 0.09, 0.13, 0.15, 0.11, 0.08, 0.07, 0.1, 0.15, 0.1, 0.14, 0.08, 0.11, 0.1, 0.08, 0.1717171717171717]"
7,"[0.06930693069306931, 0.13, 0.11, 0.11, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.07, 0.14, 0.07, 0.16, 0.15, 0.09, 0.13, 0.07, 0.04, 0.09, 0.08, 0.16, 0.15, 0.14, 0.12, 0.12, 0.08, 0.05, 0.11, 0.13, 0.1, 0.11, 0.09, 0.08, 0.09, 0.08, 0.04, 0.06, 0.05, 0.14, 0.13, 0.09, 0.08, 0.1, 0.11, 0.09, 0.1, 0.13, 0.1, 0.09, 0.03, 0.09, 0.11, 0.11, 0.1, 0.1, 0.09, 0.05, 0.11, 0.11, 0.08, 0.05, 0.07, 0.1, 0.09, 0.09, 0.15, 0.11, 0.1, 0.08, 0.05, 0.08, 0.06, 0.12, 0.07, 0.12, 0.05, 0.12, 0.08, 0.09, 0.05, 0.11, 0.08, 0.11, 0.06, 0.09, 0.12, 0.17, 0.11, 0.08, 0.06, 0.06, 0.15, 0.12, 0.14, 0.08, 0.13, 0.1, 0.08, 0.1717171717171717]"
8,"[0.06930693069306931, 0.1, 0.11, 0.09, 0.15, 0.06, 0.11, 0.07, 0.1, 0.07, 0.07, 0.07, 0.07, 0.09, 0.08, 0.08, 0.12, 0.07, 0.13, 0.11, 0.08, 0.09, 0.09, 0.14, 0.09, 0.1, 0.13, 0.05, 0.11, 0.13, 0.1, 0.15, 0.09, 0.08, 0.09, 0.1, 0.04, 0.12, 0.05, 0.14, 0.13, 0.14, 0.11, 0.06, 0.11, 0.11, 0.09, 0.13, 0.1, 0.12, 0.14, 0.09, 0.08, 0.11, 0.1, 0.11, 0.07, 0.05, 0.11, 0.11, 0.08, 0.13, 0.07, 0.09, 0.08, 0.1, 0.07, 0.13, 0.17, 0.08, 0.05, 0.08, 0.11, 0.16, 0.1, 0.12, 0.05, 0.1, 0.08, 0.09, 0.08, 0.11, 0.08, 0.11, 0.13, 0.09, 0.15, 0.15, 0.11, 0.08, 0.07, 0.1, 0.15, 0.1, 0.06, 0.08, 0.08, 0.09, 0.08, 0.1717171717171717]"
9,"[0.06930693069306931, 0.13, 0.11, 0.09, 0.15, 0.11, 0.11, 0.12, 0.09, 0.13, 0.07, 0.1, 0.07, 0.09, 0.03, 0.11, 0.13, 0.07, 0.07, 0.09, 0.13, 0.15, 0.15, 0.14, 0.19, 0.05, 0.08, 0.15, 0.11, 0.13, 0.1, 0.15, 0.12, 0.08, 0.14, 0.08, 0.04, 0.06, 0.05, 0.14, 0.13, 0.09, 0.1, 0.07, 0.11, 0.09, 0.14, 0.13, 0.1, 0.09, 0.03, 0.09, 0.12, 0.11, 0.1, 0.13, 0.11, 0.08, 0.11, 0.06, 0.11, 0.07, 0.1, 0.1, 0.09, 0.09, 0.1, 0.11, 0.1, 0.08, 0.08, 0.14, 0.06, 0.16, 0.09, 0.12, 0.05, 0.12, 0.08, 0.09, 0.07, 0.11, 0.14, 0.11, 0.06, 0.09, 0.12, 0.15, 0.11, 0.08, 0.09, 0.07, 0.15, 0.12, 0.14, 0.08, 0.13, 0.1, 0.08, 0.1717171717171717]"
