out_deg_centrality,[ 0 14  8 21  5 20 31 29 51  7]
10,"[tensor(0.0152, device='cuda:2'), tensor(0.0123, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0236, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0160, device='cuda:2')]"
11,"[tensor(0.0126, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0121, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0124, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0151, device='cuda:2')]"
12,"[tensor(0.0211, device='cuda:2'), tensor(0.0122, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0123, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0124, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0183, device='cuda:2')]"
13,"[tensor(0.0130, device='cuda:2'), tensor(0.0295, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0124, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0208, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0195, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0195, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0123, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0217, device='cuda:2')]"
14,"[tensor(0.0229, device='cuda:2'), tensor(0.0120, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0351, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0123, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0205, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0124, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0140, device='cuda:2')]"
15,"[tensor(0.0144, device='cuda:2'), tensor(0.0347, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0124, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0228, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0162, device='cuda:2')]"
16,"[tensor(0.0211, device='cuda:2'), tensor(0.0122, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0354, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0194, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0172, device='cuda:2')]"
17,"[tensor(0.0141, device='cuda:2'), tensor(0.0295, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0310, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0205, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0195, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0186, device='cuda:2')]"
18,"[tensor(0.0218, device='cuda:2'), tensor(0.0121, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0300, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0185, device='cuda:2')]"
19,"[tensor(0.0131, device='cuda:2'), tensor(0.0284, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0255, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0220, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0196, device='cuda:2')]"
20,"[tensor(0.0324, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0364, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0278, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0200, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0212, device='cuda:2'), tensor(0.0197, device='cuda:2')]"
21,"[tensor(0.0155, device='cuda:2'), tensor(0.0484, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0209, device='cuda:2'), tensor(0.0226, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0225, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0290, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0302, device='cuda:2'), tensor(0.0226, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0220, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0250, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0245, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0209, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0214, device='cuda:2'), tensor(0.0229, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0238, device='cuda:2')]"
22,"[tensor(0.0341, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0503, device='cuda:2'), tensor(0.0215, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0318, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0231, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0190, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0182, device='cuda:2')]"
23,"[tensor(0.0146, device='cuda:2'), tensor(0.0589, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0208, device='cuda:2'), tensor(0.0208, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0223, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0278, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0225, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0270, device='cuda:2'), tensor(0.0274, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0266, device='cuda:2'), tensor(0.0272, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0202, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0200, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0175, device='cuda:2')]"
