none,[]
0,"[0.12871287128712872, 0.1, 0.1, 0.14, 0.14, 0.11, 0.1, 0.15, 0.12, 0.11, 0.15, 0.12, 0.08, 0.16, 0.17, 0.07, 0.09, 0.15, 0.14, 0.08, 0.11, 0.13, 0.1, 0.09, 0.04, 0.18, 0.14, 0.15, 0.09, 0.09, 0.15, 0.24, 0.11, 0.11, 0.03, 0.12, 0.11, 0.16, 0.14, 0.08, 0.08, 0.13, 0.13, 0.19, 0.1, 0.11, 0.12, 0.1, 0.04, 0.11, 0.18, 0.16, 0.23, 0.14, 0.11, 0.18, 0.12, 0.06, 0.11, 0.11, 0.09, 0.13, 0.13, 0.12, 0.13, 0.09, 0.06, 0.13, 0.07, 0.12, 0.08, 0.15, 0.15, 0.13, 0.14, 0.11, 0.24, 0.07, 0.1, 0.22, 0.14, 0.11, 0.12, 0.13, 0.13, 0.11, 0.05, 0.15, 0.03, 0.1, 0.12, 0.09, 0.07, 0.09, 0.14, 0.1, 0.19, 0.11, 0.2, 0.1717171717171717]"
1,"[0.12871287128712872, 0.1, 0.09, 0.1, 0.14, 0.13, 0.11, 0.07, 0.08, 0.12, 0.08, 0.05, 0.12, 0.16, 0.07, 0.08, 0.09, 0.09, 0.1, 0.06, 0.11, 0.11, 0.1, 0.07, 0.11, 0.18, 0.07, 0.09, 0.12, 0.09, 0.1, 0.07, 0.11, 0.11, 0.08, 0.23, 0.09, 0.07, 0.14, 0.09, 0.08, 0.23, 0.13, 0.12, 0.02, 0.14, 0.09, 0.1, 0.04, 0.08, 0.16, 0.12, 0.12, 0.11, 0.17, 0.12, 0.07, 0.13, 0.08, 0.07, 0.21, 0.05, 0.06, 0.08, 0.1, 0.1, 0.07, 0.13, 0.07, 0.03, 0.09, 0.13, 0.11, 0.13, 0.07, 0.23, 0.1, 0.06, 0.11, 0.09, 0.14, 0.07, 0.09, 0.1, 0.18, 0.13, 0.05, 0.08, 0.11, 0.14, 0.07, 0.09, 0.06, 0.1, 0.13, 0.09, 0.1, 0.1, 0.08, 0.06060606060606061]"
2,"[0.12871287128712872, 0.1, 0.09, 0.14, 0.14, 0.16, 0.08, 0.07, 0.12, 0.12, 0.1, 0.14, 0.1, 0.16, 0.09, 0.11, 0.09, 0.04, 0.09, 0.06, 0.08, 0.11, 0.1, 0.09, 0.09, 0.07, 0.08, 0.09, 0.09, 0.05, 0.13, 0.07, 0.11, 0.11, 0.08, 0.12, 0.13, 0.16, 0.14, 0.09, 0.08, 0.09, 0.04, 0.07, 0.05, 0.14, 0.1, 0.1, 0.14, 0.11, 0.16, 0.12, 0.13, 0.06, 0.1, 0.1, 0.12, 0.15, 0.07, 0.09, 0.21, 0.05, 0.13, 0.12, 0.1, 0.09, 0.07, 0.13, 0.07, 0.13, 0.14, 0.13, 0.11, 0.12, 0.09, 0.12, 0.1, 0.05, 0.11, 0.13, 0.12, 0.11, 0.09, 0.1, 0.09, 0.09, 0.08, 0.15, 0.11, 0.03, 0.06, 0.12, 0.08, 0.1, 0.09, 0.09, 0.08, 0.1, 0.12, 0.09090909090909091]"
3,"[0.12871287128712872, 0.1, 0.09, 0.14, 0.14, 0.05, 0.11, 0.07, 0.19, 0.12, 0.13, 0.07, 0.1, 0.16, 0.08, 0.08, 0.09, 0.09, 0.09, 0.06, 0.08, 0.11, 0.12, 0.07, 0.11, 0.07, 0.08, 0.09, 0.09, 0.09, 0.15, 0.07, 0.11, 0.11, 0.08, 0.12, 0.09, 0.06, 0.09, 0.09, 0.08, 0.07, 0.04, 0.05, 0.08, 0.14, 0.1, 0.1, 0.14, 0.13, 0.18, 0.12, 0.14, 0.06, 0.13, 0.1, 0.06, 0.15, 0.07, 0.09, 0.21, 0.05, 0.13, 0.09, 0.1, 0.1, 0.07, 0.13, 0.07, 0.06, 0.14, 0.13, 0.11, 0.08, 0.11, 0.12, 0.1, 0.06, 0.11, 0.13, 0.14, 0.07, 0.09, 0.1, 0.11, 0.09, 0.08, 0.13, 0.11, 0.17, 0.06, 0.12, 0.08, 0.1, 0.09, 0.09, 0.1, 0.1, 0.11, 0.09090909090909091]"
4,"[0.12871287128712872, 0.1, 0.09, 0.14, 0.14, 0.16, 0.11, 0.07, 0.19, 0.12, 0.1, 0.14, 0.0, 0.16, 0.08, 0.08, 0.09, 0.04, 0.09, 0.06, 0.08, 0.11, 0.1, 0.05, 0.11, 0.1, 0.08, 0.09, 0.09, 0.01, 0.11, 0.07, 0.11, 0.11, 0.08, 0.12, 0.09, 0.16, 0.1, 0.09, 0.08, 0.14, 0.04, 0.07, 0.13, 0.14, 0.1, 0.1, 0.14, 0.11, 0.16, 0.12, 0.14, 0.06, 0.15, 0.1, 0.11, 0.15, 0.04, 0.09, 0.21, 0.05, 0.13, 0.12, 0.1, 0.09, 0.07, 0.09, 0.07, 0.06, 0.14, 0.13, 0.11, 0.12, 0.09, 0.12, 0.1, 0.06, 0.11, 0.13, 0.05, 0.05, 0.08, 0.1, 0.11, 0.09, 0.08, 0.15, 0.11, 0.14, 0.06, 0.12, 0.08, 0.1, 0.09, 0.09, 0.1, 0.1, 0.11, 0.09090909090909091]"
5,"[0.12871287128712872, 0.1, 0.09, 0.14, 0.14, 0.05, 0.11, 0.07, 0.19, 0.12, 0.1, 0.14, 0.04, 0.16, 0.08, 0.08, 0.09, 0.08, 0.09, 0.06, 0.08, 0.06, 0.1, 0.09, 0.1, 0.12, 0.08, 0.05, 0.09, 0.09, 0.15, 0.07, 0.11, 0.11, 0.08, 0.12, 0.09, 0.16, 0.1, 0.09, 0.08, 0.14, 0.04, 0.07, 0.12, 0.14, 0.1, 0.1, 0.14, 0.17, 0.17, 0.12, 0.11, 0.06, 0.13, 0.1, 0.08, 0.13, 0.11, 0.08, 0.21, 0.05, 0.13, 0.12, 0.1, 0.09, 0.07, 0.09, 0.07, 0.06, 0.14, 0.13, 0.11, 0.08, 0.1, 0.12, 0.1, 0.06, 0.13, 0.13, 0.05, 0.07, 0.09, 0.1, 0.11, 0.07, 0.13, 0.15, 0.11, 0.19, 0.06, 0.12, 0.08, 0.1, 0.11, 0.16, 0.1, 0.1, 0.11, 0.1414141414141414]"
6,"[0.12871287128712872, 0.1, 0.1, 0.14, 0.14, 0.05, 0.11, 0.07, 0.19, 0.12, 0.1, 0.14, 0.04, 0.16, 0.08, 0.08, 0.09, 0.04, 0.09, 0.06, 0.08, 0.06, 0.1, 0.07, 0.07, 0.12, 0.08, 0.11, 0.09, 0.07, 0.1, 0.07, 0.11, 0.11, 0.08, 0.09, 0.09, 0.16, 0.1, 0.09, 0.08, 0.14, 0.04, 0.07, 0.13, 0.12, 0.1, 0.1, 0.14, 0.11, 0.16, 0.12, 0.11, 0.06, 0.12, 0.1, 0.11, 0.13, 0.03, 0.09, 0.21, 0.05, 0.13, 0.12, 0.1, 0.09, 0.07, 0.09, 0.07, 0.06, 0.08, 0.13, 0.11, 0.08, 0.09, 0.12, 0.1, 0.06, 0.11, 0.13, 0.05, 0.05, 0.08, 0.1, 0.11, 0.12, 0.07, 0.15, 0.11, 0.14, 0.06, 0.12, 0.08, 0.1, 0.09, 0.16, 0.1, 0.1, 0.11, 0.1414141414141414]"
7,"[0.1188118811881188, 0.1, 0.14, 0.14, 0.14, 0.05, 0.11, 0.07, 0.19, 0.12, 0.13, 0.14, 0.04, 0.16, 0.08, 0.08, 0.11, 0.11, 0.09, 0.06, 0.08, 0.06, 0.1, 0.09, 0.1, 0.12, 0.08, 0.11, 0.09, 0.09, 0.15, 0.07, 0.11, 0.11, 0.08, 0.12, 0.09, 0.16, 0.1, 0.09, 0.16, 0.08, 0.04, 0.07, 0.13, 0.12, 0.1, 0.1, 0.14, 0.11, 0.06, 0.23, 0.11, 0.06, 0.13, 0.1, 0.08, 0.13, 0.11, 0.1, 0.21, 0.05, 0.13, 0.11, 0.1, 0.15, 0.07, 0.09, 0.07, 0.06, 0.1, 0.13, 0.11, 0.08, 0.13, 0.18, 0.1, 0.06, 0.14, 0.13, 0.05, 0.07, 0.12, 0.1, 0.11, 0.07, 0.08, 0.15, 0.11, 0.26, 0.09, 0.12, 0.08, 0.1, 0.11, 0.16, 0.1, 0.1, 0.11, 0.1414141414141414]"
8,"[0.12871287128712872, 0.1, 0.1, 0.14, 0.14, 0.05, 0.11, 0.11, 0.19, 0.12, 0.1, 0.14, 0.04, 0.16, 0.08, 0.08, 0.09, 0.04, 0.09, 0.06, 0.14, 0.06, 0.1, 0.03, 0.07, 0.12, 0.08, 0.11, 0.09, 0.07, 0.1, 0.07, 0.11, 0.11, 0.08, 0.09, 0.09, 0.16, 0.1, 0.09, 0.08, 0.14, 0.04, 0.07, 0.13, 0.12, 0.1, 0.1, 0.14, 0.11, 0.16, 0.12, 0.14, 0.06, 0.12, 0.1, 0.11, 0.13, 0.04, 0.09, 0.21, 0.05, 0.13, 0.12, 0.1, 0.09, 0.07, 0.09, 0.07, 0.06, 0.08, 0.11, 0.11, 0.08, 0.09, 0.12, 0.13, 0.06, 0.11, 0.13, 0.05, 0.05, 0.08, 0.1, 0.11, 0.07, 0.07, 0.15, 0.11, 0.14, 0.09, 0.12, 0.08, 0.1, 0.11, 0.07, 0.1, 0.1, 0.11, 0.1414141414141414]"
9,"[0.1188118811881188, 0.1, 0.07, 0.14, 0.14, 0.05, 0.11, 0.07, 0.19, 0.12, 0.15, 0.14, 0.04, 0.16, 0.08, 0.08, 0.13, 0.11, 0.14, 0.06, 0.08, 0.06, 0.1, 0.09, 0.1, 0.12, 0.08, 0.11, 0.09, 0.09, 0.04, 0.1, 0.11, 0.09, 0.08, 0.12, 0.09, 0.16, 0.1, 0.09, 0.09, 0.09, 0.04, 0.07, 0.13, 0.12, 0.1, 0.1, 0.14, 0.17, 0.06, 0.07, 0.11, 0.06, 0.13, 0.1, 0.08, 0.17, 0.11, 0.1, 0.21, 0.05, 0.13, 0.13, 0.1, 0.12, 0.07, 0.09, 0.13, 0.06, 0.14, 0.13, 0.11, 0.08, 0.15, 0.12, 0.07, 0.06, 0.15, 0.13, 0.07, 0.07, 0.12, 0.1, 0.11, 0.07, 0.08, 0.15, 0.11, 0.26, 0.09, 0.12, 0.08, 0.1, 0.11, 0.16, 0.1, 0.1, 0.11, 0.1414141414141414]"
