none,[]
0,"[0.088, 0.153, 0.063, 0.13, 0.094, 0.095, 0.094, 0.119, 0.109, 0.079]"
1,"[0.103, 0.091, 0.094, 0.097, 0.103, 0.194, 0.094, 0.119, 0.088, 0.1]"
2,"[0.082, 0.112, 0.119, 0.105, 0.104, 0.107, 0.091, 0.194, 0.088, 0.1]"
3,"[0.103, 0.099, 0.189, 0.097, 0.104, 0.095, 0.173, 0.09, 0.088, 0.162]"
4,"[0.08, 0.099, 0.087, 0.105, 0.094, 0.095, 0.106, 0.113, 0.088, 0.221]"
5,"[0.162, 0.104, 0.087, 0.097, 0.17, 0.095, 0.103, 0.124, 0.099, 0.103]"
6,"[0.116, 0.104, 0.087, 0.105, 0.094, 0.211, 0.155, 0.182, 0.178, 0.199]"
7,"[0.088, 0.196, 0.083, 0.136, 0.112, 0.176, 0.103, 0.092, 0.106, 0.149]"
8,"[0.216, 0.104, 0.167, 0.105, 0.091, 0.112, 0.114, 0.165, 0.198, 0.129]"
9,"[0.088, 0.196, 0.083, 0.157, 0.112, 0.183, 0.103, 0.172, 0.106, 0.12]"
10,"[0.199, 0.13, 0.087, 0.105, 0.091, 0.112, 0.22, 0.194, 0.198, 0.148]"
11,"[0.088, 0.195, 0.083, 0.18, 0.112, 0.102, 0.106, 0.175, 0.106, 0.193]"
12,"[0.105, 0.186, 0.087, 0.105, 0.091, 0.112, 0.222, 0.113, 0.1, 0.132]"
13,"[0.088, 0.097, 0.083, 0.21, 0.112, 0.102, 0.092, 0.175, 0.106, 0.193]"
14,"[0.123, 0.187, 0.175, 0.105, 0.091, 0.112, 0.122, 0.113, 0.1, 0.132]"
15,"[0.088, 0.133, 0.195, 0.156, 0.145, 0.102, 0.092, 0.179, 0.106, 0.192]"
16,"[0.118, 0.143, 0.195, 0.105, 0.091, 0.115, 0.149, 0.113, 0.1, 0.14]"
17,"[0.088, 0.222, 0.116, 0.127, 0.136, 0.105, 0.092, 0.179, 0.106, 0.171]"
18,"[0.105, 0.165, 0.185, 0.105, 0.091, 0.213, 0.205, 0.228, 0.1, 0.168]"
19,"[0.088, 0.245, 0.116, 0.121, 0.16, 0.103, 0.092, 0.176, 0.106, 0.19]"
20,"[0.105, 0.157, 0.137, 0.185, 0.091, 0.213, 0.22, 0.207, 0.118, 0.103]"
21,"[0.088, 0.234, 0.116, 0.174, 0.16, 0.105, 0.092, 0.173, 0.106, 0.193]"
22,"[0.13, 0.163, 0.114, 0.18, 0.101, 0.195, 0.222, 0.155, 0.309, 0.103]"
23,"[0.088, 0.28, 0.116, 0.257, 0.159, 0.135, 0.092, 0.207, 0.106, 0.193]"
24,"[0.204, 0.156, 0.107, 0.127, 0.091, 0.187, 0.222, 0.152, 0.316, 0.117]"
25,"[0.088, 0.285, 0.172, 0.244, 0.166, 0.243, 0.092, 0.265, 0.124, 0.163]"
26,"[0.223, 0.156, 0.123, 0.126, 0.187, 0.164, 0.232, 0.154, 0.294, 0.15]"
27,"[0.237, 0.292, 0.205, 0.262, 0.175, 0.247, 0.092, 0.27, 0.205, 0.191]"
28,"[0.252, 0.158, 0.152, 0.13, 0.156, 0.18, 0.283, 0.146, 0.322, 0.157]"
