eigenvector_centrality,"[0, 7]"
0,"[0.103, 0.214, 0.109, 0.139, 0.112, 0.09, 0.103, 0.262, 0.099, 0.122]"
1,"[0.116, 0.132, 0.087, 0.105, 0.087, 0.14, 0.103, 0.217, 0.107, 0.101]"
2,"[0.205, 0.196, 0.109, 0.108, 0.094, 0.09, 0.213, 0.178, 0.099, 0.243]"
3,"[0.22, 0.301, 0.26, 0.246, 0.203, 0.095, 0.37, 0.245, 0.234, 0.183]"
4,"[0.392, 0.298, 0.369, 0.326, 0.294, 0.09, 0.394, 0.249, 0.2, 0.251]"
5,"[0.366, 0.319, 0.439, 0.344, 0.389, 0.184, 0.359, 0.325, 0.323, 0.265]"
6,"[0.431, 0.411, 0.531, 0.334, 0.353, 0.379, 0.492, 0.251, 0.284, 0.28]"
7,"[0.381, 0.421, 0.397, 0.546, 0.355, 0.339, 0.372, 0.478, 0.377, 0.448]"
8,"[0.452, 0.54, 0.429, 0.392, 0.47, 0.307, 0.458, 0.337, 0.277, 0.336]"
9,"[0.327, 0.389, 0.324, 0.445, 0.327, 0.296, 0.51, 0.413, 0.363, 0.462]"
10,"[0.316, 0.449, 0.319, 0.311, 0.359, 0.29, 0.413, 0.282, 0.28, 0.321]"
11,"[0.311, 0.393, 0.304, 0.376, 0.278, 0.287, 0.325, 0.328, 0.298, 0.362]"
12,"[0.3, 0.428, 0.32, 0.375, 0.332, 0.288, 0.325, 0.318, 0.287, 0.259]"
13,"[0.313, 0.385, 0.299, 0.448, 0.258, 0.298, 0.333, 0.377, 0.287, 0.368]"
14,"[0.234, 0.36, 0.313, 0.422, 0.37, 0.274, 0.318, 0.369, 0.295, 0.278]"
15,"[0.33, 0.452, 0.361, 0.465, 0.264, 0.331, 0.313, 0.406, 0.237, 0.425]"
16,"[0.2, 0.418, 0.309, 0.487, 0.398, 0.205, 0.417, 0.324, 0.366, 0.269]"
17,"[0.389, 0.405, 0.402, 0.481, 0.308, 0.389, 0.305, 0.448, 0.2, 0.434]"
18,"[0.222, 0.407, 0.308, 0.51, 0.434, 0.199, 0.426, 0.337, 0.357, 0.284]"
19,"[0.374, 0.373, 0.413, 0.506, 0.312, 0.404, 0.354, 0.469, 0.221, 0.458]"
20,"[0.261, 0.413, 0.31, 0.512, 0.448, 0.238, 0.451, 0.349, 0.408, 0.319]"
21,"[0.405, 0.381, 0.436, 0.515, 0.282, 0.463, 0.404, 0.475, 0.279, 0.444]"
22,"[0.317, 0.414, 0.322, 0.506, 0.465, 0.273, 0.47, 0.382, 0.45, 0.351]"
