eigenvector_centrality,[9]
0,"[0.088, 0.086, 0.108, 0.117, 0.1, 0.11, 0.093, 0.098, 0.113, 0.134]"
1,"[0.102, 0.142, 0.168, 0.097, 0.113, 0.102, 0.092, 0.104, 0.162, 0.102]"
2,"[0.08, 0.085, 0.116, 0.154, 0.083, 0.12, 0.093, 0.104, 0.099, 0.103]"
3,"[0.08, 0.182, 0.121, 0.17, 0.083, 0.114, 0.17, 0.104, 0.144, 0.192]"
4,"[0.08, 0.109, 0.23, 0.097, 0.084, 0.086, 0.109, 0.104, 0.113, 0.103]"
5,"[0.086, 0.109, 0.163, 0.097, 0.173, 0.086, 0.109, 0.108, 0.171, 0.273]"
6,"[0.328, 0.152, 0.158, 0.24, 0.19, 0.329, 0.141, 0.238, 0.313, 0.147]"
7,"[0.348, 0.284, 0.396, 0.271, 0.418, 0.432, 0.496, 0.366, 0.38, 0.384]"
8,"[0.463, 0.502, 0.422, 0.536, 0.333, 0.449, 0.286, 0.562, 0.489, 0.282]"
9,"[0.293, 0.341, 0.466, 0.3, 0.495, 0.469, 0.418, 0.452, 0.31, 0.515]"
10,"[0.37, 0.426, 0.398, 0.386, 0.29, 0.293, 0.215, 0.479, 0.589, 0.258]"
11,"[0.273, 0.237, 0.47, 0.258, 0.518, 0.407, 0.393, 0.341, 0.263, 0.442]"
12,"[0.44, 0.379, 0.428, 0.356, 0.218, 0.251, 0.238, 0.467, 0.532, 0.23]"
13,"[0.358, 0.174, 0.449, 0.354, 0.464, 0.381, 0.374, 0.327, 0.249, 0.408]"
14,"[0.521, 0.371, 0.511, 0.417, 0.192, 0.28, 0.283, 0.443, 0.55, 0.202]"
15,"[0.291, 0.185, 0.358, 0.282, 0.426, 0.375, 0.352, 0.318, 0.267, 0.389]"
16,"[0.481, 0.386, 0.519, 0.416, 0.313, 0.323, 0.321, 0.432, 0.463, 0.201]"
17,"[0.335, 0.274, 0.321, 0.322, 0.412, 0.357, 0.347, 0.36, 0.251, 0.421]"
18,"[0.474, 0.373, 0.517, 0.411, 0.349, 0.309, 0.292, 0.433, 0.407, 0.23]"
19,"[0.393, 0.351, 0.362, 0.372, 0.343, 0.324, 0.321, 0.357, 0.298, 0.386]"
20,"[0.508, 0.367, 0.533, 0.375, 0.349, 0.353, 0.319, 0.399, 0.401, 0.325]"
21,"[0.338, 0.289, 0.374, 0.366, 0.331, 0.304, 0.302, 0.28, 0.287, 0.357]"
22,"[0.493, 0.348, 0.511, 0.353, 0.338, 0.31, 0.292, 0.386, 0.414, 0.365]"
23,"[0.362, 0.296, 0.351, 0.347, 0.309, 0.333, 0.359, 0.208, 0.221, 0.321]"
24,"[0.5, 0.357, 0.395, 0.345, 0.222, 0.223, 0.195, 0.411, 0.382, 0.322]"
25,"[0.402, 0.286, 0.394, 0.294, 0.346, 0.355, 0.371, 0.21, 0.306, 0.428]"
26,"[0.46, 0.374, 0.42, 0.357, 0.193, 0.201, 0.168, 0.444, 0.438, 0.473]"
27,"[0.41, 0.243, 0.447, 0.285, 0.365, 0.376, 0.389, 0.262, 0.362, 0.552]"
28,"[0.516, 0.388, 0.45, 0.4, 0.365, 0.22, 0.174, 0.463, 0.453, 0.459]"
29,"[0.373, 0.285, 0.495, 0.33, 0.351, 0.414, 0.429, 0.388, 0.328, 0.582]"
30,"[0.557, 0.405, 0.47, 0.419, 0.503, 0.21, 0.187, 0.452, 0.354, 0.525]"
31,"[0.397, 0.373, 0.443, 0.407, 0.3, 0.421, 0.421, 0.438, 0.263, 0.54]"
32,"[0.502, 0.443, 0.411, 0.375, 0.447, 0.389, 0.358, 0.451, 0.326, 0.485]"
33,"[0.446, 0.433, 0.457, 0.442, 0.297, 0.382, 0.373, 0.418, 0.256, 0.549]"
34,"[0.511, 0.406, 0.418, 0.34, 0.393, 0.436, 0.418, 0.423, 0.306, 0.476]"
35,"[0.438, 0.452, 0.407, 0.349, 0.286, 0.347, 0.346, 0.365, 0.261, 0.491]"
36,"[0.452, 0.354, 0.519, 0.318, 0.376, 0.363, 0.365, 0.373, 0.304, 0.483]"
37,"[0.512, 0.374, 0.434, 0.357, 0.292, 0.312, 0.31, 0.4, 0.262, 0.527]"
