in_deg_centrality,[]
0,"[0.249, 0.292, 0.205, 0.273, 0.228, 0.225, 0.282, 0.285, 0.307, 0.287]"
1,"[0.245, 0.291, 0.203, 0.273, 0.211, 0.214, 0.286, 0.295, 0.309, 0.291]"
2,"[0.25, 0.294, 0.205, 0.273, 0.21, 0.215, 0.286, 0.299, 0.308, 0.283]"
3,"[0.249, 0.295, 0.203, 0.269, 0.238, 0.218, 0.287, 0.301, 0.31, 0.29]"
4,"[0.249, 0.294, 0.203, 0.271, 0.21, 0.228, 0.291, 0.304, 0.307, 0.29]"
5,"[0.248, 0.294, 0.203, 0.272, 0.248, 0.241, 0.288, 0.305, 0.31, 0.294]"
6,"[0.25, 0.295, 0.203, 0.27, 0.255, 0.281, 0.283, 0.308, 0.309, 0.291]"
7,"[0.251, 0.294, 0.205, 0.275, 0.228, 0.259, 0.281, 0.308, 0.31, 0.288]"
8,"[0.253, 0.298, 0.203, 0.271, 0.248, 0.309, 0.287, 0.309, 0.311, 0.292]"
9,"[0.248, 0.294, 0.205, 0.277, 0.25, 0.302, 0.291, 0.315, 0.311, 0.287]"
10,"[0.247, 0.333, 0.204, 0.274, 0.369, 0.33, 0.288, 0.331, 0.312, 0.292]"
11,"[0.248, 0.295, 0.204, 0.277, 0.257, 0.335, 0.293, 0.323, 0.311, 0.278]"
12,"[0.252, 0.374, 0.206, 0.273, 0.325, 0.342, 0.294, 0.339, 0.311, 0.291]"
13,"[0.25, 0.315, 0.205, 0.275, 0.237, 0.358, 0.286, 0.338, 0.312, 0.293]"
14,"[0.251, 0.394, 0.203, 0.277, 0.458, 0.349, 0.294, 0.348, 0.311, 0.271]"
15,"[0.251, 0.356, 0.209, 0.275, 0.261, 0.356, 0.295, 0.339, 0.313, 0.275]"
16,"[0.253, 0.394, 0.216, 0.275, 0.44, 0.359, 0.293, 0.337, 0.311, 0.293]"
17,"[0.259, 0.38, 0.211, 0.275, 0.257, 0.388, 0.294, 0.353, 0.312, 0.271]"
18,"[0.253, 0.392, 0.206, 0.278, 0.487, 0.416, 0.293, 0.342, 0.311, 0.28]"
19,"[0.257, 0.362, 0.205, 0.277, 0.252, 0.387, 0.296, 0.367, 0.312, 0.287]"
20,"[0.26, 0.37, 0.206, 0.277, 0.466, 0.382, 0.294, 0.36, 0.311, 0.286]"
21,"[0.255, 0.341, 0.211, 0.278, 0.252, 0.405, 0.296, 0.346, 0.312, 0.287]"
22,"[0.256, 0.404, 0.216, 0.277, 0.475, 0.397, 0.296, 0.364, 0.312, 0.284]"
23,"[0.256, 0.372, 0.211, 0.276, 0.257, 0.378, 0.297, 0.368, 0.313, 0.288]"
