none,[]
0,"[0.06930693069306931, 0.09, 0.11, 0.1, 0.12, 0.08, 0.1, 0.07, 0.06, 0.1, 0.08, 0.09, 0.07, 0.09, 0.15, 0.07, 0.09, 0.06, 0.07, 0.16, 0.11, 0.11, 0.08, 0.12, 0.11, 0.07, 0.1, 0.06, 0.11, 0.19, 0.07, 0.15, 0.12, 0.08, 0.12, 0.15, 0.09, 0.09, 0.1, 0.16, 0.09, 0.09, 0.17, 0.1, 0.08, 0.14, 0.08, 0.12, 0.14, 0.09, 0.14, 0.06, 0.12, 0.08, 0.08, 0.12, 0.07, 0.14, 0.13, 0.09, 0.04, 0.07, 0.11, 0.12, 0.09, 0.13, 0.12, 0.09, 0.09, 0.06, 0.09, 0.13, 0.1, 0.17, 0.09, 0.07, 0.1, 0.09, 0.08, 0.05, 0.11, 0.1, 0.09, 0.1, 0.1, 0.08, 0.08, 0.08, 0.03, 0.1, 0.12, 0.07, 0.06, 0.03, 0.14, 0.1, 0.1, 0.11, 0.1, 0.13131313131313133]"
1,"[0.07920792079207921, 0.13, 0.08, 0.1, 0.12, 0.08, 0.1, 0.07, 0.09, 0.13, 0.07, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.07, 0.16, 0.11, 0.11, 0.09, 0.12, 0.11, 0.05, 0.1, 0.09, 0.08, 0.19, 0.06, 0.1, 0.12, 0.09, 0.08, 0.09, 0.09, 0.09, 0.14, 0.16, 0.09, 0.05, 0.17, 0.1, 0.11, 0.09, 0.08, 0.12, 0.14, 0.04, 0.06, 0.09, 0.12, 0.08, 0.08, 0.12, 0.07, 0.14, 0.1, 0.09, 0.13, 0.07, 0.11, 0.12, 0.1, 0.09, 0.15, 0.09, 0.09, 0.06, 0.09, 0.13, 0.1, 0.1, 0.09, 0.07, 0.05, 0.09, 0.08, 0.13, 0.14, 0.1, 0.15, 0.1, 0.1, 0.09, 0.05, 0.07, 0.1, 0.1, 0.1, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.13131313131313133]"
2,"[0.06930693069306931, 0.13, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.12, 0.16, 0.11, 0.11, 0.08, 0.12, 0.11, 0.05, 0.14, 0.06, 0.08, 0.19, 0.06, 0.15, 0.12, 0.08, 0.07, 0.09, 0.11, 0.09, 0.14, 0.16, 0.09, 0.05, 0.17, 0.1, 0.11, 0.09, 0.08, 0.12, 0.06, 0.09, 0.09, 0.09, 0.12, 0.08, 0.08, 0.12, 0.07, 0.14, 0.08, 0.09, 0.13, 0.07, 0.11, 0.12, 0.09, 0.09, 0.15, 0.09, 0.09, 0.06, 0.09, 0.11, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.08, 0.12, 0.08, 0.1, 0.13, 0.1, 0.1, 0.09, 0.05, 0.07, 0.03, 0.09, 0.1, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
3,"[0.06930693069306931, 0.13, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.12, 0.16, 0.11, 0.11, 0.09, 0.1, 0.11, 0.05, 0.08, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.08, 0.14, 0.09, 0.11, 0.09, 0.14, 0.16, 0.09, 0.05, 0.17, 0.1, 0.11, 0.09, 0.08, 0.12, 0.06, 0.09, 0.08, 0.09, 0.12, 0.08, 0.08, 0.12, 0.06, 0.14, 0.08, 0.09, 0.13, 0.07, 0.11, 0.12, 0.09, 0.09, 0.15, 0.12, 0.09, 0.06, 0.09, 0.11, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.08, 0.09, 0.11, 0.1, 0.15, 0.1, 0.1, 0.09, 0.13, 0.07, 0.15, 0.1, 0.1, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
4,"[0.06930693069306931, 0.13, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.12, 0.14, 0.11, 0.11, 0.08, 0.1, 0.11, 0.05, 0.1, 0.06, 0.08, 0.19, 0.1, 0.13, 0.12, 0.08, 0.14, 0.09, 0.11, 0.09, 0.14, 0.16, 0.09, 0.05, 0.17, 0.1, 0.08, 0.09, 0.08, 0.12, 0.1, 0.09, 0.08, 0.09, 0.12, 0.08, 0.08, 0.12, 0.07, 0.14, 0.08, 0.09, 0.13, 0.07, 0.11, 0.12, 0.09, 0.09, 0.15, 0.09, 0.09, 0.06, 0.09, 0.11, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.08, 0.09, 0.13, 0.1, 0.15, 0.1, 0.1, 0.09, 0.13, 0.07, 0.03, 0.1, 0.12, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.13131313131313133]"
5,"[0.06930693069306931, 0.08, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.06, 0.16, 0.11, 0.11, 0.09, 0.1, 0.11, 0.05, 0.1, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.04, 0.14, 0.09, 0.11, 0.09, 0.14, 0.16, 0.13, 0.05, 0.17, 0.1, 0.08, 0.09, 0.08, 0.12, 0.06, 0.09, 0.08, 0.09, 0.12, 0.11, 0.08, 0.12, 0.07, 0.14, 0.08, 0.09, 0.13, 0.07, 0.12, 0.12, 0.16, 0.09, 0.15, 0.11, 0.09, 0.06, 0.09, 0.05, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.14, 0.09, 0.11, 0.1, 0.15, 0.1, 0.1, 0.09, 0.13, 0.07, 0.15, 0.1, 0.12, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
6,"[0.06930693069306931, 0.1, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.13, 0.05, 0.11, 0.11, 0.08, 0.1, 0.11, 0.05, 0.14, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.08, 0.14, 0.09, 0.11, 0.09, 0.14, 0.14, 0.09, 0.09, 0.11, 0.13, 0.08, 0.09, 0.08, 0.12, 0.1, 0.09, 0.08, 0.09, 0.12, 0.11, 0.08, 0.12, 0.07, 0.14, 0.08, 0.09, 0.13, 0.07, 0.11, 0.12, 0.09, 0.09, 0.15, 0.09, 0.09, 0.06, 0.11, 0.05, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.11, 0.09, 0.11, 0.1, 0.15, 0.1, 0.1, 0.09, 0.13, 0.07, 0.03, 0.1, 0.12, 0.1, 0.06, 0.03, 0.1, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
7,"[0.06930693069306931, 0.1, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.07, 0.16, 0.11, 0.11, 0.09, 0.1, 0.11, 0.05, 0.14, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.1, 0.14, 0.09, 0.11, 0.09, 0.14, 0.14, 0.13, 0.07, 0.17, 0.1, 0.08, 0.1, 0.08, 0.12, 0.12, 0.09, 0.08, 0.09, 0.12, 0.11, 0.08, 0.12, 0.11, 0.14, 0.08, 0.09, 0.13, 0.07, 0.08, 0.12, 0.16, 0.09, 0.08, 0.12, 0.09, 0.06, 0.09, 0.05, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.11, 0.09, 0.11, 0.1, 0.15, 0.14, 0.1, 0.09, 0.13, 0.07, 0.15, 0.1, 0.12, 0.1, 0.16, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
8,"[0.06930693069306931, 0.12, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.12, 0.16, 0.12, 0.09, 0.08, 0.1, 0.11, 0.05, 0.14, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.08, 0.14, 0.09, 0.11, 0.09, 0.14, 0.14, 0.09, 0.09, 0.1, 0.14, 0.11, 0.09, 0.08, 0.12, 0.1, 0.09, 0.08, 0.09, 0.12, 0.11, 0.08, 0.12, 0.07, 0.14, 0.08, 0.09, 0.14, 0.07, 0.11, 0.12, 0.09, 0.09, 0.16, 0.09, 0.09, 0.06, 0.12, 0.05, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.11, 0.09, 0.11, 0.1, 0.15, 0.1, 0.1, 0.09, 0.13, 0.07, 0.03, 0.1, 0.12, 0.1, 0.06, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.15151515151515152]"
9,"[0.06930693069306931, 0.1, 0.11, 0.1, 0.09, 0.08, 0.1, 0.07, 0.09, 0.1, 0.08, 0.07, 0.07, 0.09, 0.15, 0.12, 0.1, 0.07, 0.13, 0.16, 0.11, 0.11, 0.09, 0.1, 0.11, 0.05, 0.14, 0.06, 0.08, 0.19, 0.1, 0.09, 0.12, 0.1, 0.14, 0.09, 0.11, 0.09, 0.14, 0.13, 0.19, 0.07, 0.17, 0.14, 0.08, 0.09, 0.08, 0.12, 0.12, 0.09, 0.08, 0.09, 0.12, 0.11, 0.13, 0.12, 0.11, 0.14, 0.08, 0.09, 0.13, 0.07, 0.11, 0.11, 0.16, 0.09, 0.08, 0.09, 0.12, 0.06, 0.12, 0.05, 0.1, 0.12, 0.09, 0.07, 0.05, 0.09, 0.11, 0.09, 0.11, 0.1, 0.15, 0.17, 0.1, 0.09, 0.13, 0.07, 0.15, 0.1, 0.12, 0.1, 0.16, 0.03, 0.14, 0.1, 0.11, 0.11, 0.15, 0.0707070707070707]"
