eigenvector_centrality,"[3, 9]"
0,"[0.102, 0.167, 0.106, 0.123, 0.094, 0.177, 0.186, 0.272, 0.11, 0.1]"
1,"[0.102, 0.166, 0.096, 0.159, 0.125, 0.116, 0.111, 0.234, 0.098, 0.093]"
2,"[0.102, 0.108, 0.106, 0.122, 0.094, 0.112, 0.102, 0.154, 0.12, 0.141]"
3,"[0.115, 0.125, 0.096, 0.111, 0.154, 0.17, 0.162, 0.266, 0.098, 0.091]"
4,"[0.102, 0.307, 0.106, 0.182, 0.095, 0.326, 0.107, 0.176, 0.288, 0.22]"
5,"[0.333, 0.199, 0.21, 0.101, 0.316, 0.19, 0.178, 0.309, 0.153, 0.169]"
6,"[0.183, 0.296, 0.326, 0.411, 0.096, 0.384, 0.107, 0.185, 0.336, 0.37]"
7,"[0.253, 0.167, 0.18, 0.101, 0.419, 0.201, 0.379, 0.397, 0.192, 0.143]"
8,"[0.182, 0.309, 0.251, 0.45, 0.14, 0.389, 0.145, 0.191, 0.22, 0.287]"
9,"[0.214, 0.265, 0.186, 0.109, 0.409, 0.204, 0.43, 0.399, 0.211, 0.189]"
10,"[0.167, 0.243, 0.23, 0.343, 0.14, 0.346, 0.13, 0.198, 0.235, 0.203]"
11,"[0.21, 0.298, 0.268, 0.115, 0.372, 0.258, 0.37, 0.357, 0.259, 0.244]"
12,"[0.194, 0.215, 0.235, 0.274, 0.178, 0.348, 0.194, 0.263, 0.248, 0.215]"
13,"[0.208, 0.305, 0.307, 0.187, 0.39, 0.207, 0.4, 0.356, 0.296, 0.294]"
14,"[0.263, 0.213, 0.249, 0.251, 0.203, 0.348, 0.234, 0.203, 0.255, 0.231]"
15,"[0.216, 0.362, 0.377, 0.238, 0.333, 0.188, 0.346, 0.376, 0.381, 0.379]"
16,"[0.31, 0.211, 0.259, 0.256, 0.266, 0.399, 0.277, 0.185, 0.257, 0.248]"
17,"[0.234, 0.392, 0.393, 0.27, 0.322, 0.165, 0.328, 0.414, 0.408, 0.402]"
18,"[0.344, 0.196, 0.268, 0.258, 0.313, 0.411, 0.304, 0.179, 0.263, 0.255]"
19,"[0.254, 0.389, 0.417, 0.308, 0.339, 0.127, 0.337, 0.418, 0.412, 0.417]"
20,"[0.373, 0.178, 0.274, 0.252, 0.33, 0.407, 0.331, 0.244, 0.27, 0.257]"
21,"[0.233, 0.387, 0.415, 0.343, 0.375, 0.122, 0.364, 0.453, 0.412, 0.413]"
22,"[0.362, 0.193, 0.269, 0.237, 0.385, 0.418, 0.414, 0.345, 0.265, 0.266]"
23,"[0.204, 0.413, 0.473, 0.394, 0.377, 0.183, 0.382, 0.491, 0.444, 0.451]"
24,"[0.416, 0.192, 0.271, 0.217, 0.415, 0.463, 0.401, 0.324, 0.267, 0.268]"
25,"[0.191, 0.454, 0.421, 0.475, 0.341, 0.285, 0.321, 0.471, 0.433, 0.507]"
26,"[0.421, 0.194, 0.275, 0.541, 0.543, 0.407, 0.572, 0.3, 0.271, 0.603]"
27,"[0.267, 0.393, 0.437, 0.559, 0.442, 0.321, 0.424, 0.404, 0.432, 0.45]"
28,"[0.424, 0.238, 0.317, 0.452, 0.441, 0.344, 0.44, 0.256, 0.31, 0.49]"
29,"[0.447, 0.352, 0.428, 0.425, 0.361, 0.308, 0.348, 0.382, 0.431, 0.393]"
30,"[0.463, 0.355, 0.435, 0.414, 0.293, 0.332, 0.266, 0.256, 0.481, 0.409]"
31,"[0.296, 0.326, 0.403, 0.466, 0.321, 0.226, 0.295, 0.395, 0.399, 0.473]"
32,"[0.405, 0.198, 0.319, 0.472, 0.248, 0.34, 0.24, 0.234, 0.274, 0.374]"
33,"[0.283, 0.33, 0.29, 0.469, 0.326, 0.173, 0.309, 0.415, 0.286, 0.445]"
34,"[0.314, 0.166, 0.318, 0.472, 0.245, 0.364, 0.218, 0.193, 0.27, 0.354]"
35,"[0.287, 0.315, 0.251, 0.425, 0.261, 0.16, 0.243, 0.379, 0.232, 0.457]"
36,"[0.223, 0.196, 0.228, 0.518, 0.243, 0.291, 0.216, 0.179, 0.182, 0.382]"
