eigenvector_centrality,[4]
0,"[0.102, 0.086, 0.138, 0.122, 0.174, 0.238, 0.109, 0.103, 0.093, 0.174]"
1,"[0.102, 0.213, 0.105, 0.122, 0.083, 0.108, 0.102, 0.245, 0.322, 0.103]"
2,"[0.199, 0.086, 0.096, 0.122, 0.11, 0.257, 0.089, 0.104, 0.093, 0.091]"
3,"[0.102, 0.132, 0.153, 0.171, 0.083, 0.103, 0.099, 0.171, 0.21, 0.303]"
4,"[0.106, 0.086, 0.096, 0.122, 0.246, 0.15, 0.109, 0.104, 0.137, 0.163]"
5,"[0.162, 0.107, 0.112, 0.108, 0.083, 0.103, 0.308, 0.326, 0.281, 0.34]"
6,"[0.103, 0.086, 0.32, 0.322, 0.256, 0.192, 0.12, 0.111, 0.132, 0.191]"
7,"[0.168, 0.111, 0.105, 0.102, 0.115, 0.146, 0.376, 0.278, 0.315, 0.325]"
8,"[0.103, 0.129, 0.291, 0.328, 0.33, 0.229, 0.176, 0.121, 0.113, 0.203]"
9,"[0.19, 0.158, 0.164, 0.138, 0.1, 0.226, 0.35, 0.334, 0.355, 0.363]"
10,"[0.113, 0.193, 0.299, 0.32, 0.385, 0.309, 0.176, 0.168, 0.164, 0.165]"
11,"[0.317, 0.251, 0.25, 0.254, 0.143, 0.359, 0.399, 0.379, 0.392, 0.397]"
12,"[0.23, 0.358, 0.384, 0.371, 0.39, 0.307, 0.196, 0.185, 0.172, 0.178]"
13,"[0.405, 0.292, 0.259, 0.29, 0.169, 0.376, 0.367, 0.361, 0.359, 0.36]"
14,"[0.26, 0.376, 0.367, 0.342, 0.38, 0.254, 0.226, 0.19, 0.187, 0.181]"
15,"[0.357, 0.236, 0.228, 0.271, 0.178, 0.39, 0.36, 0.346, 0.353, 0.356]"
16,"[0.208, 0.342, 0.349, 0.313, 0.348, 0.243, 0.228, 0.225, 0.242, 0.237]"
17,"[0.319, 0.217, 0.226, 0.248, 0.131, 0.37, 0.369, 0.351, 0.359, 0.366]"
18,"[0.199, 0.335, 0.347, 0.315, 0.328, 0.258, 0.258, 0.239, 0.248, 0.241]"
19,"[0.312, 0.207, 0.256, 0.265, 0.122, 0.372, 0.376, 0.365, 0.357, 0.366]"
