betweeness_centrality,[ 3 10  6 11]
0,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
1,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
2,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
3,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
4,"[tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
5,"[tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
6,"[tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0')]"
7,"[tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
8,"[tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0')]"
9,"[tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
