eigenvector_centrality,"[3, 8]"
0,"[0.103, 0.091, 0.097, 0.09, 0.1, 0.112, 0.094, 0.129, 0.099, 0.102]"
1,"[0.103, 0.091, 0.097, 0.101, 0.104, 0.092, 0.089, 0.103, 0.093, 0.189]"
2,"[0.103, 0.091, 0.097, 0.148, 0.21, 0.188, 0.094, 0.119, 0.142, 0.102]"
3,"[0.103, 0.102, 0.163, 0.101, 0.104, 0.092, 0.089, 0.102, 0.149, 0.103]"
4,"[0.103, 0.107, 0.252, 0.177, 0.094, 0.217, 0.137, 0.119, 0.093, 0.102]"
5,"[0.227, 0.146, 0.253, 0.101, 0.242, 0.092, 0.102, 0.102, 0.238, 0.19]"
6,"[0.205, 0.107, 0.203, 0.278, 0.187, 0.3, 0.267, 0.22, 0.168, 0.102]"
7,"[0.246, 0.254, 0.233, 0.12, 0.189, 0.12, 0.124, 0.182, 0.295, 0.301]"
8,"[0.272, 0.185, 0.239, 0.271, 0.201, 0.311, 0.404, 0.306, 0.213, 0.107]"
9,"[0.279, 0.259, 0.239, 0.246, 0.254, 0.143, 0.186, 0.187, 0.383, 0.299]"
10,"[0.22, 0.285, 0.251, 0.281, 0.203, 0.319, 0.408, 0.269, 0.29, 0.261]"
11,"[0.301, 0.263, 0.182, 0.286, 0.241, 0.229, 0.197, 0.14, 0.343, 0.3]"
12,"[0.201, 0.314, 0.247, 0.286, 0.135, 0.362, 0.355, 0.251, 0.358, 0.295]"
13,"[0.247, 0.31, 0.177, 0.328, 0.243, 0.252, 0.229, 0.144, 0.267, 0.309]"
14,"[0.261, 0.333, 0.238, 0.299, 0.18, 0.35, 0.3, 0.252, 0.302, 0.287]"
15,"[0.28, 0.394, 0.219, 0.29, 0.254, 0.259, 0.278, 0.202, 0.307, 0.365]"
16,"[0.286, 0.317, 0.267, 0.365, 0.245, 0.358, 0.342, 0.288, 0.286, 0.29]"
17,"[0.306, 0.415, 0.345, 0.282, 0.292, 0.276, 0.31, 0.255, 0.335, 0.379]"
18,"[0.381, 0.305, 0.321, 0.412, 0.356, 0.37, 0.364, 0.317, 0.33, 0.3]"
19,"[0.346, 0.424, 0.333, 0.282, 0.326, 0.335, 0.34, 0.372, 0.35, 0.39]"
20,"[0.347, 0.3, 0.3, 0.427, 0.355, 0.376, 0.399, 0.344, 0.364, 0.351]"
21,"[0.313, 0.43, 0.318, 0.285, 0.294, 0.359, 0.42, 0.367, 0.362, 0.392]"
22,"[0.321, 0.307, 0.317, 0.429, 0.328, 0.38, 0.44, 0.303, 0.374, 0.362]"
23,"[0.313, 0.428, 0.307, 0.293, 0.304, 0.379, 0.435, 0.349, 0.373, 0.405]"
24,"[0.315, 0.311, 0.349, 0.43, 0.313, 0.386, 0.457, 0.328, 0.381, 0.365]"
25,"[0.333, 0.427, 0.308, 0.506, 0.323, 0.386, 0.435, 0.339, 0.512, 0.419]"
26,"[0.314, 0.357, 0.377, 0.482, 0.31, 0.397, 0.435, 0.361, 0.557, 0.463]"
27,"[0.353, 0.416, 0.307, 0.488, 0.342, 0.395, 0.458, 0.333, 0.46, 0.404]"
28,"[0.303, 0.351, 0.376, 0.545, 0.304, 0.388, 0.431, 0.372, 0.508, 0.408]"
29,"[0.357, 0.415, 0.311, 0.435, 0.353, 0.399, 0.468, 0.325, 0.403, 0.407]"
