eigenvector_centrality,"[5, 6]"
0,"[0.095, 0.107, 0.108, 0.093, 0.109, 0.158, 0.178, 0.111, 0.093, 0.103]"
1,"[0.088, 0.072, 0.105, 0.118, 0.188, 0.09, 0.109, 0.102, 0.103, 0.079]"
2,"[0.103, 0.172, 0.108, 0.108, 0.109, 0.092, 0.154, 0.104, 0.1, 0.102]"
3,"[0.102, 0.076, 0.104, 0.101, 0.094, 0.09, 0.109, 0.102, 0.093, 0.079]"
4,"[0.103, 0.237, 0.11, 0.152, 0.178, 0.092, 0.102, 0.136, 0.1, 0.112]"
5,"[0.148, 0.085, 0.092, 0.21, 0.094, 0.218, 0.245, 0.102, 0.112, 0.299]"
6,"[0.175, 0.278, 0.256, 0.163, 0.291, 0.156, 0.133, 0.184, 0.149, 0.105]"
7,"[0.232, 0.176, 0.188, 0.313, 0.155, 0.225, 0.227, 0.185, 0.414, 0.272]"
8,"[0.225, 0.304, 0.4, 0.213, 0.318, 0.251, 0.333, 0.271, 0.208, 0.184]"
9,"[0.28, 0.194, 0.281, 0.401, 0.197, 0.283, 0.228, 0.251, 0.412, 0.234]"
10,"[0.367, 0.285, 0.421, 0.203, 0.307, 0.416, 0.437, 0.258, 0.227, 0.216]"
11,"[0.294, 0.203, 0.354, 0.384, 0.211, 0.25, 0.287, 0.418, 0.366, 0.257]"
12,"[0.385, 0.395, 0.382, 0.227, 0.33, 0.429, 0.431, 0.254, 0.258, 0.213]"
13,"[0.276, 0.211, 0.379, 0.349, 0.288, 0.286, 0.317, 0.399, 0.36, 0.348]"
14,"[0.371, 0.397, 0.326, 0.227, 0.319, 0.392, 0.41, 0.259, 0.26, 0.271]"
15,"[0.26, 0.234, 0.379, 0.331, 0.368, 0.282, 0.311, 0.388, 0.345, 0.348]"
16,"[0.363, 0.369, 0.277, 0.239, 0.25, 0.354, 0.39, 0.256, 0.269, 0.289]"
17,"[0.208, 0.247, 0.388, 0.315, 0.343, 0.242, 0.281, 0.36, 0.343, 0.317]"
18,"[0.362, 0.354, 0.2, 0.256, 0.145, 0.33, 0.382, 0.213, 0.284, 0.362]"
19,"[0.169, 0.269, 0.391, 0.308, 0.315, 0.205, 0.231, 0.342, 0.336, 0.287]"
20,"[0.347, 0.357, 0.154, 0.281, 0.11, 0.314, 0.375, 0.176, 0.307, 0.366]"
21,"[0.137, 0.305, 0.379, 0.311, 0.321, 0.188, 0.214, 0.333, 0.334, 0.28]"
22,"[0.335, 0.353, 0.15, 0.318, 0.149, 0.308, 0.362, 0.138, 0.316, 0.373]"
23,"[0.134, 0.33, 0.38, 0.308, 0.33, 0.163, 0.222, 0.324, 0.33, 0.302]"
24,"[0.332, 0.349, 0.205, 0.368, 0.206, 0.31, 0.345, 0.135, 0.34, 0.371]"
25,"[0.15, 0.338, 0.384, 0.307, 0.338, 0.387, 0.451, 0.325, 0.332, 0.327]"
26,"[0.332, 0.362, 0.284, 0.359, 0.489, 0.451, 0.455, 0.502, 0.338, 0.375]"
27,"[0.319, 0.334, 0.39, 0.436, 0.378, 0.419, 0.449, 0.47, 0.329, 0.38]"
28,"[0.419, 0.363, 0.409, 0.365, 0.341, 0.338, 0.352, 0.353, 0.328, 0.356]"
