eigenvector_centrality,[6]
0,"[0.116, 0.107, 0.084, 0.106, 0.1, 0.105, 0.106, 0.104, 0.138, 0.12]"
1,"[0.06, 0.093, 0.092, 0.182, 0.094, 0.144, 0.094, 0.119, 0.151, 0.103]"
2,"[0.116, 0.091, 0.104, 0.105, 0.1, 0.105, 0.102, 0.102, 0.108, 0.1]"
3,"[0.103, 0.107, 0.104, 0.193, 0.094, 0.14, 0.094, 0.221, 0.183, 0.177]"
4,"[0.103, 0.191, 0.104, 0.263, 0.094, 0.092, 0.102, 0.102, 0.098, 0.199]"
5,"[0.103, 0.107, 0.104, 0.115, 0.094, 0.155, 0.129, 0.206, 0.302, 0.102]"
6,"[0.125, 0.122, 0.104, 0.103, 0.107, 0.092, 0.102, 0.102, 0.115, 0.102]"
7,"[0.103, 0.128, 0.281, 0.188, 0.094, 0.168, 0.176, 0.338, 0.152, 0.144]"
8,"[0.45, 0.252, 0.112, 0.142, 0.375, 0.104, 0.188, 0.112, 0.301, 0.11]"
9,"[0.134, 0.39, 0.273, 0.486, 0.144, 0.305, 0.401, 0.503, 0.297, 0.575]"
10,"[0.297, 0.367, 0.132, 0.147, 0.284, 0.125, 0.473, 0.113, 0.309, 0.139]"
11,"[0.122, 0.452, 0.27, 0.279, 0.137, 0.293, 0.442, 0.378, 0.162, 0.309]"
12,"[0.28, 0.21, 0.117, 0.12, 0.282, 0.103, 0.396, 0.111, 0.296, 0.159]"
13,"[0.111, 0.41, 0.264, 0.308, 0.111, 0.273, 0.358, 0.41, 0.166, 0.306]"
14,"[0.273, 0.159, 0.112, 0.174, 0.281, 0.098, 0.324, 0.206, 0.327, 0.177]"
15,"[0.108, 0.402, 0.272, 0.336, 0.142, 0.274, 0.305, 0.388, 0.209, 0.349]"
16,"[0.274, 0.171, 0.126, 0.195, 0.299, 0.127, 0.332, 0.241, 0.304, 0.194]"
17,"[0.109, 0.388, 0.31, 0.348, 0.189, 0.311, 0.279, 0.397, 0.269, 0.33]"
18,"[0.289, 0.183, 0.199, 0.202, 0.347, 0.177, 0.352, 0.254, 0.298, 0.218]"
19,"[0.169, 0.371, 0.324, 0.353, 0.197, 0.348, 0.281, 0.404, 0.283, 0.291]"
20,"[0.317, 0.189, 0.196, 0.195, 0.372, 0.182, 0.368, 0.275, 0.319, 0.227]"
21,"[0.183, 0.349, 0.322, 0.352, 0.168, 0.356, 0.267, 0.411, 0.288, 0.293]"
22,"[0.32, 0.197, 0.178, 0.225, 0.375, 0.172, 0.369, 0.308, 0.3, 0.214]"
23,"[0.213, 0.347, 0.324, 0.352, 0.177, 0.356, 0.275, 0.404, 0.31, 0.308]"
24,"[0.328, 0.209, 0.158, 0.26, 0.372, 0.154, 0.349, 0.336, 0.315, 0.202]"
25,"[0.174, 0.348, 0.325, 0.351, 0.216, 0.353, 0.387, 0.413, 0.335, 0.33]"
26,"[0.337, 0.274, 0.186, 0.306, 0.373, 0.182, 0.456, 0.374, 0.33, 0.475]"
27,"[0.148, 0.358, 0.325, 0.353, 0.231, 0.349, 0.425, 0.404, 0.369, 0.392]"
28,"[0.339, 0.282, 0.183, 0.39, 0.374, 0.186, 0.459, 0.415, 0.347, 0.327]"
29,"[0.203, 0.361, 0.34, 0.307, 0.331, 0.362, 0.214, 0.406, 0.391, 0.353]"
30,"[0.307, 0.275, 0.29, 0.484, 0.384, 0.286, 0.48, 0.45, 0.333, 0.285]"
31,"[0.244, 0.351, 0.307, 0.28, 0.333, 0.323, 0.194, 0.367, 0.316, 0.317]"
32,"[0.276, 0.242, 0.305, 0.444, 0.331, 0.295, 0.48, 0.447, 0.298, 0.249]"
33,"[0.292, 0.371, 0.25, 0.249, 0.15, 0.267, 0.192, 0.314, 0.242, 0.254]"
34,"[0.205, 0.219, 0.237, 0.422, 0.272, 0.244, 0.469, 0.452, 0.281, 0.176]"
35,"[0.287, 0.416, 0.194, 0.191, 0.138, 0.216, 0.206, 0.247, 0.247, 0.25]"
