eigenvector_centrality,"[1, 3, 7, 4, 16]"
0,"[0.08229426433915212, 0.0975, 0.08, 0.095, 0.095, 0.0925, 0.1, 0.0975, 0.195, 0.1025, 0.2325, 0.2075, 0.1275, 0.2375, 0.1075, 0.145, 0.1025, 0.09, 0.1, 0.1125, 0.1075, 0.1175, 0.1, 0.18, 0.08020050125313283]"
1,"[0.08728179551122195, 0.095, 0.0975, 0.085, 0.055, 0.0875, 0.08, 0.2125, 0.095, 0.135, 0.095, 0.18, 0.095, 0.17, 0.27, 0.1575, 0.165, 0.2, 0.155, 0.24, 0.17, 0.08, 0.1025, 0.0925, 0.11027568922305764]"
2,"[0.12219451371571072, 0.095, 0.1575, 0.095, 0.085, 0.1125, 0.1625, 0.0975, 0.24, 0.0875, 0.1125, 0.1175, 0.2375, 0.1875, 0.1075, 0.115, 0.1025, 0.0725, 0.1425, 0.1425, 0.2225, 0.1, 0.1, 0.1525, 0.18546365914786966]"
3,"[0.08728179551122195, 0.0975, 0.085, 0.085, 0.0875, 0.125, 0.11, 0.215, 0.1875, 0.0925, 0.095, 0.215, 0.115, 0.1, 0.095, 0.1625, 0.1, 0.18, 0.26, 0.2225, 0.1975, 0.07, 0.1025, 0.095, 0.2706766917293233]"
4,"[0.2817955112219451, 0.135, 0.1725, 0.1475, 0.1775, 0.18, 0.1575, 0.135, 0.2825, 0.0875, 0.1125, 0.28, 0.22, 0.2225, 0.1075, 0.1775, 0.1025, 0.0775, 0.215, 0.195, 0.225, 0.17, 0.1, 0.1475, 0.23057644110275688]"
5,"[0.1396508728179551, 0.0975, 0.1225, 0.085, 0.145, 0.315, 0.1275, 0.215, 0.1325, 0.0925, 0.105, 0.2325, 0.24, 0.2175, 0.23, 0.195, 0.14, 0.1875, 0.37, 0.2725, 0.26, 0.1075, 0.125, 0.2025, 0.3082706766917293]"
6,"[0.3491271820448878, 0.1075, 0.1725, 0.18, 0.0975, 0.2275, 0.16, 0.24, 0.4175, 0.09, 0.1125, 0.2625, 0.1375, 0.2425, 0.28, 0.24, 0.1025, 0.0775, 0.235, 0.1975, 0.2275, 0.2875, 0.1, 0.12, 0.2606516290726817]"
7,"[0.14214463840399003, 0.1325, 0.15, 0.085, 0.2275, 0.38, 0.1125, 0.2125, 0.1625, 0.0925, 0.3025, 0.29, 0.2325, 0.3775, 0.275, 0.2175, 0.205, 0.2825, 0.4475, 0.39, 0.285, 0.2675, 0.1675, 0.2025, 0.40601503759398494]"
8,"[0.30423940149625933, 0.1125, 0.255, 0.345, 0.205, 0.3375, 0.1625, 0.245, 0.4225, 0.1625, 0.1125, 0.3075, 0.115, 0.315, 0.33, 0.2925, 0.1025, 0.08, 0.3175, 0.285, 0.2275, 0.3175, 0.1, 0.12, 0.3283208020050125]"
9,"[0.22443890274314215, 0.2675, 0.21, 0.09, 0.2225, 0.3875, 0.11, 0.225, 0.205, 0.0925, 0.22, 0.3525, 0.2175, 0.4475, 0.3475, 0.2775, 0.22, 0.3475, 0.4625, 0.3575, 0.2975, 0.3775, 0.1875, 0.2025, 0.43358395989974935]"
10,"[0.2793017456359102, 0.105, 0.315, 0.245, 0.255, 0.3925, 0.165, 0.2775, 0.395, 0.27, 0.1875, 0.3375, 0.165, 0.325, 0.23, 0.305, 0.1275, 0.1675, 0.295, 0.3575, 0.275, 0.27, 0.145, 0.135, 0.3208020050125313]"
11,"[0.26683291770573564, 0.3625, 0.2825, 0.2, 0.26, 0.375, 0.145, 0.3075, 0.25, 0.1125, 0.2, 0.4175, 0.25, 0.385, 0.225, 0.375, 0.3575, 0.2175, 0.4325, 0.3325, 0.3475, 0.2925, 0.3875, 0.25, 0.3659147869674185]"
12,"[0.26932668329177056, 0.09, 0.335, 0.2575, 0.2825, 0.3975, 0.225, 0.3, 0.2575, 0.4175, 0.2375, 0.37, 0.2275, 0.2775, 0.29, 0.35, 0.1575, 0.215, 0.265, 0.375, 0.4, 0.295, 0.19, 0.215, 0.2756892230576441]"
13,"[0.33665835411471323, 0.37, 0.2925, 0.1575, 0.2775, 0.3375, 0.25, 0.3875, 0.205, 0.135, 0.185, 0.3975, 0.26, 0.3225, 0.2375, 0.35, 0.455, 0.22, 0.3625, 0.32, 0.365, 0.27, 0.4675, 0.205, 0.3057644110275689]"
14,"[0.32917705735660846, 0.1275, 0.3075, 0.275, 0.2725, 0.405, 0.2275, 0.29, 0.24, 0.465, 0.2075, 0.3875, 0.2875, 0.2375, 0.2825, 0.36, 0.18, 0.1825, 0.2175, 0.35, 0.415, 0.285, 0.1625, 0.315, 0.24310776942355888]"
15,"[0.341645885286783, 0.3025, 0.33, 0.1075, 0.28, 0.3425, 0.28, 0.3625, 0.135, 0.0975, 0.2175, 0.3425, 0.2525, 0.305, 0.255, 0.32, 0.4875, 0.24, 0.3375, 0.32, 0.345, 0.2725, 0.4925, 0.2025, 0.2982456140350877]"
16,"[0.30423940149625933, 0.1475, 0.26, 0.255, 0.2725, 0.485, 0.235, 0.3, 0.2375, 0.4775, 0.125, 0.325, 0.285, 0.2525, 0.2675, 0.2875, 0.205, 0.1125, 0.205, 0.4475, 0.3775, 0.2925, 0.17, 0.31, 0.19799498746867167]"
17,"[0.29177057356608477, 0.2725, 0.2125, 0.085, 0.285, 0.295, 0.2725, 0.2425, 0.12, 0.16, 0.225, 0.2925, 0.265, 0.31, 0.2575, 0.2725, 0.46, 0.2475, 0.36, 0.2675, 0.31, 0.2725, 0.4675, 0.2075, 0.3308270676691729]"
18,"[0.29925187032418954, 0.0975, 0.225, 0.2425, 0.2675, 0.3775, 0.245, 0.255, 0.2425, 0.405, 0.1125, 0.315, 0.275, 0.205, 0.2775, 0.2525, 0.1775, 0.0825, 0.195, 0.3075, 0.315, 0.2925, 0.1475, 0.295, 0.18796992481203006]"
19,"[0.1745635910224439, 0.2425, 0.1775, 0.085, 0.2925, 0.27, 0.245, 0.24, 0.1225, 0.0875, 0.22, 0.28, 0.275, 0.3925, 0.2575, 0.2775, 0.42, 0.25, 0.3775, 0.2475, 0.285, 0.2675, 0.435, 0.2225, 0.40100250626566414]"
20,"[0.2967581047381546, 0.0975, 0.2125, 0.2325, 0.265, 0.28, 0.26, 0.24, 0.3, 0.345, 0.1175, 0.3125, 0.275, 0.2025, 0.305, 0.2525, 0.175, 0.085, 0.2, 0.22, 0.2925, 0.295, 0.165, 0.2825, 0.19298245614035087]"
21,"[0.17206982543640897, 0.2175, 0.1825, 0.085, 0.2925, 0.2725, 0.2375, 0.24, 0.1225, 0.1375, 0.2225, 0.2875, 0.285, 0.395, 0.2525, 0.28, 0.375, 0.255, 0.3925, 0.245, 0.2625, 0.265, 0.3725, 0.2375, 0.40350877192982454]"
22,"[0.2892768079800499, 0.1575, 0.21, 0.22, 0.2325, 0.3025, 0.27, 0.2425, 0.325, 0.32, 0.1575, 0.3175, 0.26, 0.1975, 0.31, 0.2675, 0.1975, 0.1175, 0.2025, 0.2325, 0.2875, 0.3175, 0.185, 0.275, 0.19298245614035087]"
23,"[0.1970074812967581, 0.2025, 0.1925, 0.085, 0.28, 0.2775, 0.2, 0.235, 0.1225, 0.17, 0.2225, 0.285, 0.305, 0.39, 0.225, 0.28, 0.325, 0.26, 0.395, 0.26, 0.265, 0.245, 0.3575, 0.2725, 0.40852130325814534]"
24,"[0.2593516209476309, 0.2025, 0.21, 0.2175, 0.2175, 0.3425, 0.285, 0.2425, 0.32, 0.295, 0.175, 0.32, 0.2425, 0.2, 0.3, 0.2675, 0.2125, 0.1775, 0.205, 0.31, 0.29, 0.315, 0.2225, 0.26, 0.19298245614035087]"
25,"[0.24688279301745636, 0.2525, 0.2025, 0.2425, 0.1125, 0.2825, 0.1675, 0.475, 0.1325, 0.1775, 0.225, 0.2875, 0.34, 0.3875, 0.1925, 0.2825, 0.38, 0.265, 0.4, 0.2625, 0.2625, 0.22, 0.355, 0.315, 0.42606516290726815]"
26,"[0.3690773067331671, 0.2675, 0.4225, 0.2425, 0.2625, 0.3575, 0.2725, 0.3825, 0.365, 0.54, 0.4925, 0.335, 0.25, 0.205, 0.395, 0.27, 0.475, 0.5175, 0.2125, 0.35, 0.535, 0.45, 0.24, 0.29, 0.19298245614035087]"
27,"[0.30423940149625933, 0.3625, 0.4425, 0.1725, 0.3675, 0.3475, 0.1675, 0.3525, 0.1775, 0.6025, 0.3825, 0.4075, 0.3325, 0.41, 0.445, 0.3975, 0.435, 0.41, 0.4075, 0.325, 0.3975, 0.465, 0.445, 0.345, 0.42105263157894735]"
28,"[0.39650872817955113, 0.335, 0.35, 0.1575, 0.34, 0.385, 0.26, 0.425, 0.355, 0.4325, 0.2025, 0.4325, 0.2775, 0.2075, 0.3475, 0.41, 0.455, 0.185, 0.2225, 0.385, 0.245, 0.35, 0.4775, 0.2525, 0.19548872180451127]"
29,"[0.4763092269326683, 0.315, 0.415, 0.095, 0.365, 0.3575, 0.2875, 0.3, 0.19, 0.335, 0.1125, 0.3125, 0.375, 0.3825, 0.2975, 0.2775, 0.335, 0.0825, 0.375, 0.34, 0.2575, 0.2575, 0.2975, 0.3675, 0.42355889724310775]"
30,"[0.26683291770573564, 0.1275, 0.19, 0.0975, 0.215, 0.4975, 0.2425, 0.255, 0.27, 0.22, 0.1125, 0.5075, 0.28, 0.2175, 0.245, 0.4575, 0.4225, 0.0775, 0.2275, 0.5125, 0.19, 0.2075, 0.3875, 0.2675, 0.21303258145363407]"
